plot_label	plot_universe_id	corpus_database_id	name	record_kind	inventory_status	current_scope_roles	plot_relevance_field	plot_relevance_value	access_status	host	landing_url	raw_url	existing_local_paths	result_fields_available	has_d_or_convertible_effect	has_n	has_replication_pair_mapping	result_artifact_acquisition_state	acquisition_route_type	acceptable_result_artifact_classes	target_local_root	priority	blocker_codes	next_action	notes	last_seen
figure2	plot2_published_paper_d_vs_n	corpus_db_havranek_armington	Havránek Armington meta-analysis	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 24 paper units, 1,383 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (24); paper D/N: yes (24); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/havranek_armington	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_havranek_eis	Havránek EIS	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 169 paper units, 2,717 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (169); paper D/N: yes (169); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/havranek_eis	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_havranek_frisch_extensive	Havránek Frisch extensive-margin meta-analysis	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 16 paper units, 367 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (16); paper D/N: yes (16); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/havranek_frisch_extensive	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_havranek_frisch_intensive	Havránek Frisch intensive-margin meta-analysis	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 4 paper units, 36 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (4); paper D/N: yes (4); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/havranek_frisch_intensive	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_havranek_gasoline_income	Havránek gasoline-income meta-analysis	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 50 paper units, 286 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (50); paper D/N: yes (50); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/havranek_gasoline_income	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_havranek_substitution	Havránek substitution meta-analysis	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 33 paper units, 566 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (33); paper D/N: yes (33); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/havranek_substitution	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_kuhberger_2014_main_results	Kühberger psychology main results	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 472 paper units, 472 test/effect rows. Confirmed: journal provenance: yes (472); paper grouping: yes (472); paper D/N: yes (472); main selector: yes (472).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/kuhberger_2014_main_results	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_linden_2024_focal_effects	Linden focal effects	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 158 paper units, 158 test/effect rows. Confirmed: journal provenance: yes (158); paper grouping: yes (158); paper D/N: yes (158); main selector: yes (158).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/linden_2024_focal_effects	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_linden_2024_random_effects	Linden random-effect comparator rows	corpus_or_database	not_included	figure2_source	figure2_published_relevance	yes						Known: 158 paper units, 158 test/effect rows. Confirmed: journal provenance: yes (158); paper grouping: yes (158); paper D/N: yes (158); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/linden_2024_random_effects	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_metabus_open_bosco	metaBUS open Bosco subset	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 1,999 paper units, 169,135 test/effect rows. Confirmed: journal provenance: yes (1,999); paper grouping: yes (1,999); paper D/N: yes (1,999); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/metabus_open_bosco	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_motyl_2017_critical_tests	Motyl social/personality critical tests	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 540 paper units, 1,305 test/effect rows. Confirmed: journal provenance: yes (540); paper grouping: yes (540); paper D/N: yes (540); main selector: yes (540).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/motyl_2017_critical_tests	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_olivier_2024_cardio_rcts	Olivier 2024 cardiovascular RCTs	corpus_or_database	not_included	figure2_source	figure2_published_relevance	yes						Known: 344 paper units. Confirmed: journal provenance: yes (344); paper grouping: yes (344); paper D/N: 263/344; main selector: yes (344).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/olivier_2024_cardio_rcts	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_olsson_sundell_2023_social_interventions	Olsson/Sundell social interventions	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 250 paper units, 250 test/effect rows. Confirmed: journal provenance: yes (250); paper grouping: yes (250); paper D/N: yes (250); main selector: yes (250).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/olsson_sundell_2023_social_interventions	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_replication_pair_originals_bridge	replication-pair original-side bridge	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 431 paper units, 635 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (431); paper D/N: yes (431); main selector: yes (431).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/replication_pair_originals_bridge	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_rpcb_cancer_biology	RPCB cancer biology original effects	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 20 paper units, 135 test/effect rows. Confirmed: journal provenance: yes (20); paper grouping: yes (20); paper D/N: yes (20); main selector: yes (20).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/rpcb_cancer_biology	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_schaefer_schwarz_2019_with_prereg	Schäfer/Schwarz preregistered psychology articles	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 89 paper units, 89 test/effect rows. Confirmed: journal provenance: yes (89); paper grouping: yes (89); paper D/N: yes (89); main selector: yes (89).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/schaefer_schwarz_2019_with_prereg	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_schaefer_schwarz_2019_without_prereg	Schäfer/Schwarz psychology articles (without preregistration)	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 682 paper units, 682 test/effect rows. Confirmed: journal provenance: yes (682); paper grouping: yes (682); paper D/N: yes (682); main selector: yes (682).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/schaefer_schwarz_2019_without_prereg	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_psychology_statcheck	statcheck psychology	corpus_or_database	not_included	figure2_source	figure2_published_relevance	yes						Known: 13,889 paper units. Confirmed: journal provenance: yes (13,889); paper grouping: yes (13,889); paper D/N: yes (13,889); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/psychology_statcheck	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_ctgov_finer_grained_kg	ClinicalTrials.gov registry-results comparator	registry_database	not_included	figure2_source	figure2_published_relevance	yes						Known: 7,722 paper units, 108,196 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (7,722); paper D/N: yes (7,722); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/ctgov_finer_grained_kg	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_clinifact_published_primary_pairs	CliniFact published primary pairs	registry_database	included	figure2_source	figure2_published_relevance	yes						Known: 339 paper units, 339 test/effect rows. Confirmed: journal provenance: yes (339); paper grouping: yes (339); paper D/N: yes (339); main selector: yes (339).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/clinifact_published_primary_pairs	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_button_nord_neuroscience	Button/Nord neuroscience	corpus_or_database	raw_available	figure2_source | future_seed	figure2_published_relevance	yes	local_raw_dir_present				data/raw/corpus_candidates/button_nord_neuroscience	Known: 649 paper units, 688 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (649); paper D/N: yes (649); main selector: no.	yes	yes		local_result_artifact_candidate_present	local_inventory	existing local table/workbook/archive/code/PDF/website snapshot; identify result-bearing member	data/raw/source_artifacts/figure2/button_nord_neuroscience	lower		inventory_local_paths_and_promote_result_bearing_members_to_SOURCE_ARTIFACTS	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_gwas_catalog	GWAS Catalog	corpus_or_database	raw_available	figure2_source | future_seed	figure2_published_relevance	yes	local_raw_dir_present				data/raw/corpus_candidates/gwas_catalog	Known: 6,711 paper units, 1,090,919 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (6,711); paper D/N: yes (6,711); main selector: no.	yes	yes		local_result_artifact_candidate_present	local_inventory	existing local table/workbook/archive/code/PDF/website snapshot; identify result-bearing member	data/raw/source_artifacts/figure2/gwas_catalog	lower		inventory_local_paths_and_promote_result_bearing_members_to_SOURCE_ARTIFACTS	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_metalab	MetaLab	corpus_or_database	raw_available	figure2_source | future_seed	figure2_published_relevance	yes	local_raw_dir_present				data/raw/corpus_candidates/metalab	Known: 202 paper units, 926 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (202); paper D/N: yes (202); main selector: no.	yes	yes		local_result_artifact_candidate_present	local_inventory	existing local table/workbook/archive/code/PDF/website snapshot; identify result-bearing member	data/raw/source_artifacts/figure2/metalab	lower		inventory_local_paths_and_promote_result_bearing_members_to_SOURCE_ARTIFACTS	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_szucs_ioannidis_2017	Szucs & Ioannidis 2017	corpus_or_database	raw_available	figure2_source | future_seed	figure2_published_relevance	yes	local_raw_dir_present				data/raw/corpus_candidates/szucs_ioannidis_2017	Known: 0 paper units, 26,796 test/effect rows. Confirmed: journal provenance: no; paper grouping: no; paper D/N: no; main selector: no.	no	no		local_result_artifact_candidate_present	local_inventory	existing local table/workbook/archive/code/PDF/website snapshot; identify result-bearing member	data/raw/source_artifacts/figure2/szucs_ioannidis_2017	lower		inventory_local_paths_and_promote_result_bearing_members_to_SOURCE_ARTIFACTS	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_yun_llm_meta_analysis	Yun RCT numerical extraction	corpus_or_database	raw_available	figure2_source | future_seed	figure2_published_relevance	yes	local_raw_dir_present				data/raw/corpus_candidates/yun_llm_meta_analysis	Known: 85 paper units, 401 test/effect rows. Confirmed: journal provenance: yes (85); paper grouping: yes (85); paper D/N: yes (85); main selector: no.	yes	yes		local_result_artifact_candidate_present	local_inventory	existing local table/workbook/archive/code/PDF/website snapshot; identify result-bearing member	data/raw/source_artifacts/figure2/yun_llm_meta_analysis	lower		inventory_local_paths_and_promote_result_bearing_members_to_SOURCE_ARTIFACTS	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
