citekey,in_text,in_bibliography,status
freedman1987equipoise,False,True,orphan_bib
fritz2007mediation,False,True,orphan_bib
ftc2018mlm,False,True,orphan_bib
funder2019,True,True,ok
gechert2022,True,True,ok
gehr2006fading,False,True,orphan_bib
gelman2014beyondpower,False,True,orphan_bib
gelman2018interactions,False,True,orphan_bib
gignac2016,True,True,ok
giudice2012,True,True,ok
goyal2014,True,True,ok
greenwald1998,True,True,ok
gutenberg1944earthquake,False,True,orphan_bib
gwi2023wellness,False,True,orphan_bib
hagger2010,True,True,ok
hamory2021,True,True,ok
hanselman2016,True,True,ok
hartgerink2016,True,True,ok
havranek2015,True,True,ok
hedge2018reliability,False,True,orphan_bib
hemila2017,True,True,ok
henrich2010,True,True,ok
herxheimer2002,True,True,ok
holmes2014,True,True,ok
huhn2019,True,True,ok
hyde2005,True,True,ok
ineichen2024,True,True,ok
investigators2002,True,True,ok
ioannidis2005contradicted,False,True,orphan_bib
ioannidis2005proteus,False,True,orphan_bib
ioannidis2008inflation,False,True,orphan_bib
ioannidis2017,True,True,ok
jachimowicz2019,True,True,ok
jaeggi2008,True,True,ok
jefferson2023,True,True,ok
johnson2003,True,True,ok
jonas2014,True,True,ok
jonas2015,True,True,ok
kaiser2022,True,True,ok
kalla2018,True,True,ok
kaplan2015,True,True,ok
kenny2019heterogeneity,False,True,orphan_bib
kievit2013simpson,False,True,orphan_bib
klein2018,True,True,ok
kraft2020,True,True,ok
kraft2020effectsize,False,True,orphan_bib
kraft2024,True,True,ok
lacerenza2017,True,True,ok
lacour2014,True,True,ok
lauersen2014,True,True,ok
lee2010,True,True,ok
lee2012,True,True,ok
lee2018ea,False,True,orphan_bib
lerner1980just,False,True,orphan_bib
leucht2012,True,True,ok
leucht2015,True,True,ok
lewis2015,True,True,ok
lipsey2007,True,True,ok
loken2017measurement,False,True,orphan_bib
lortieforgues2019,True,True,ok
lovakov2021,True,True,ok
machado2015,True,True,ok
machado2017,True,True,ok
mackinnon2002mediation,False,True,orphan_bib
macnamara2014,True,True,ok
macnamara2023,True,True,ok
madrian2001,True,True,ok
marek2022,True,True,ok
mccambridge2014hawthorne,False,True,orphan_bib
molenaar2004,False,True,orphan_bib
moseley2002,True,True,ok
nhmrc2015,True,True,ok
nickow2024,True,True,ok
nisa2019,True,True,ok
npr2022astrology,False,True,orphan_bib
nuijten2016,True,True,ok
olssoncollentine2020,False,True,orphan_bib
orben2019,True,True,ok
orne1962demand,False,True,orphan_bib
owen2010,True,True,ok
pauling1970,True,True,ok
pearl2001mediation,False,True,orphan_bib
pelham2002,True,True,ok
pereira2012,True,True,ok
pereira2012largeeffects,False,True,orphan_bib
petrosino2013,True,True,ok
polderman2015,True,True,ok
quillian2017,True,True,ok
rauscher1993,True,True,ok
richard2003,True,True,ok
ritchie2012esp,False,True,orphan_bib
rivkin2005,True,True,ok
robinson1950ecological,False,True,orphan_bib
ronksley2011,True,True,ok
sackett2022,True,True,ok
sala2019,True,True,ok
scannell2012eroom,False,True,orphan_bib
scheel2021,True,True,ok
schmidt1998,True,True,ok
schnall2008,True,True,ok
schoenfeld2013,True,True,ok
schooler2011decline,False,True,orphan_bib
sena2010,True,True,ok
sethuraman2011,True,True,ok
shah2007,True,True,ok
shang2005,True,True,ok
shih1999,True,True,ok
silberzahn2018,True,True,ok
sisk2018,True,True,ok
smith1977,True,True,ok
sordo2017,True,True,ok
spearman1904,False,True,orphan_bib
stanley2018metaanalyses,False,True,orphan_bib
steele1995,True,True,ok
strack1988,True,True,ok
straten2017,True,True,ok
szaszi2022nudges,False,True,orphan_bib
szucs2017,True,True,ok
taleb2007blackswan,False,True,orphan_bib
tosh2024,False,True,orphan_bib
tse2009,False,True,orphan_bib
turkheimer2000,False,True,orphan_bib
turner2008,True,True,ok
tyner2026,True,True,ok
uttl2005,False,True,orphan_bib
vanzwet2021,True,True,ok
vanzwet2026,True,True,ok
vivalt2020,True,True,ok
vohs2006,True,True,ok
vul2009,True,True,ok
wampold2019,True,True,ok
webb2006intention,False,True,orphan_bib
williams2008,True,True,ok
wong2019clinical,False,True,orphan_bib
yap2013,True,True,ok
yengo2022,False,True,orphan_bib
zarin2019,False,True,orphan_bib
zhong2006,True,True,ok
zhong2010,True,True,ok
zhong2010lamps,True,True,ok
zwet2021,True,True,ok
