stage_key	stage_path	scan_status	rows	promoted_or_related	obvious_complete_dn_rows	effect_nish_column_count	first_columns	notes
li_2024_pd1_pdl1_phase2_phase3_orr	data/derived/replication_pairs/harvest/staged/li_2024_pd1_pdl1_phase2_phase3_orr__stage.csv	read_ok	51	False	0	7	source_dataset,source_paper,pair_id,regimen,cancer_type,line,biomarker,phase2_study,phase3_study,outcome,N_original,N_replication	No obvious complete D/N columns found.
linguistic_frame_liability	data/derived/replication_pairs/harvest/staged/linguistic_frame_liability__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
manybabies_3	data/derived/replication_pairs/harvest/staged/manybabies_3__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
manyclasses_2	data/derived/replication_pairs/harvest/staged/manyclasses_2__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
media_priming_2017	data/derived/replication_pairs/harvest/staged/media_priming_2017__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
metaketa_i_2019	data/derived/replication_pairs/harvest/staged/metaketa_i_2019__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
metaketa_iii_2021	data/derived/replication_pairs/harvest/staged/metaketa_iii_2021__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
metaketa_iv_2021	data/derived/replication_pairs/harvest/staged/metaketa_iv_2021__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
msrp_om_2023	data/derived/replication_pairs/harvest/staged/msrp_om_2023__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
mullinix_2015	data/derived/replication_pairs/harvest/staged/mullinix_2015__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
musicianship_eeg_2025	data/derived/replication_pairs/harvest/staged/musicianship_eeg_2025__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
news_discernment_replication	data/derived/replication_pairs/harvest/staged/news_discernment_replication__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
nieuwland_2018_delong	data/derived/replication_pairs/harvest/staged/nieuwland_2018_delong__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
protzko_2023_nhb	data/derived/replication_pairs/harvest/staged/protzko_2023_nhb__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
psa_002_object_orientation	data/derived/replication_pairs/harvest/staged/psa_002_object_orientation__stage.csv	read_ok	1	True	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
psa_004_turri	data/derived/replication_pairs/harvest/staged/psa_004_turri__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
psa_006_trolley	data/derived/replication_pairs/harvest/staged/psa_006_trolley__stage.csv	read_ok	1	True	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
public_admin_blame	data/derived/replication_pairs/harvest/staged/public_admin_blame__stage.csv	read_ok	1	True	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
rescue17_28classics	data/derived/replication_pairs/harvest/staged/rescue17_28classics__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
retrieval_extinction_rats_2017	data/derived/replication_pairs/harvest/staged/retrieval_extinction_rats_2017__stage.csv	read_ok	1	True	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
rpcb_e5nvr	data/derived/replication_pairs/harvest/staged/rpcb_e5nvr__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
rrr_bouwmeester_2017	data/derived/replication_pairs/harvest/staged/rrr_bouwmeester_2017__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
rrr_cheung_2016	data/derived/replication_pairs/harvest/staged/rrr_cheung_2016__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
rrr_colling_2020	data/derived/replication_pairs/harvest/staged/rrr_colling_2020__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
rrr_elliott_2021	data/derived/replication_pairs/harvest/staged/rrr_elliott_2021__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
rrr_mccarthy_2018	data/derived/replication_pairs/harvest/staged/rrr_mccarthy_2018__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
rrr_verschuere_2018	data/derived/replication_pairs/harvest/staged/rrr_verschuere_2018__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
self_control_fmri_2022	data/derived/replication_pairs/harvest/staged/self_control_fmri_2022__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
strategy_fit_2025	data/derived/replication_pairs/harvest/staged/strategy_fit_2025__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
tpp_bem	data/derived/replication_pairs/harvest/staged/tpp_bem__stage.csv	read_ok	1	True	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
tyner_nosek_2026	data/derived/replication_pairs/harvest/staged/tyner_nosek_2026__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
wils_2023_ibd_phase2_phase3_response_rates	data/derived/replication_pairs/harvest/staged/wils_2023_ibd_phase2_phase3_response_rates__stage.csv	read_ok	37	False	0	5	source_dataset,source_paper,pair_id,analysis_set,drug_trial,phase3_trial_label,outcome,N_original,N_replication,phase2_successes,phase3_successes,phase2_response_rate	No obvious complete D/N columns found.
wood_porter_2019	data/derived/replication_pairs/harvest/staged/wood_porter_2019__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
wood_scaffolding_2025	data/derived/replication_pairs/harvest/staged/wood_scaffolding_2025__stage.csv	read_ok	1	True	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
ying_2023_pair_roster	data/derived/replication_pairs/harvest/staged/ying_2023_pair_roster__stage.csv	read_ok	248	False	0	2	source_dataset,source_paper,pair_id,pair_number,pilot_citation_text,pilot_doi,full_scale_citation_text,full_scale_doi,start_page_num,stage_status,analytic_row_status,public_source_path	No obvious complete D/N columns found.
ying_2023_partial_reconstruction	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	read_ok	7	True	6	5	source_dataset,source_paper,pair_id,pair_number,original_title,replication_title,original_doi,replication_doi,outcome,N_original,N_replication,D_original	Contains complete D/N-shaped columns; inspect before assuming eligible.
