30,"Death (cardiac, vascular, non-cardiovascular) 30 days",,,,,,,No,,,,
31,Death: cardiac,30days,,,,,,No,,,,
32,Death: vascular,30days,,,,,,No,,,,
33,Death: non-cardiovascular,,30days,,,,,No,,,,
34,Myocardial Infarction (MI: QMI and NQMI per Modified ARC definition),,,,30days,,,No,,,,
35,MI: QMI,30days,,,,,,No,,,,
36,MI: NQMI,30days,,,,,,No,,,,
37,Attributable to target vessel (TV-MI),,30days,,,,,No,,,,
38,Not attributable to target vessel (NTV-MI),,30days,,,,,No,,,,
39,"Target Lesion Revascularization (TLR, per ARC definition)",,,30days,,,,No,,,,
40,Clinically-indicated TLR (CI-TLR),,30days,,,,,No,,,,
41,Not clinically-indicated TLR (NCI-TLR),,30days,,,,,No,,,,
42,"Target Vessel Revascularization (TVR, per ARC definition)",,,30days,,,,No,,,,
43,Clinically-indicated TVR (CI-TVR),,30days,,,,,No,,,,
44,Not clinically-indicated TVR (NCI-TVR),,30days,,,,,No,,,,
45,All coronary revascularization,,30days,,,,,No,,,,
46,Composite: Death/All MI,,30days,,,,,No,,,,
47,Composite: Cardiac Death/TV-MI/CI-TLR (TLF),,,30days,,,,No,,,,
48,Composite: Death/All MI/All revascularization,,,30days,,,,No,,,,
49,"Composite: Cardiac Death, all MI, CI-TLR, CI-TVR, non-target lesion",,,,30days,,,No,,,,
50,"Scaffold/stent thrombosis: Timing (acute, sub-acute, late and very late)",,,,30days,,,No,,,,
51,Scaffold/stent thrombosis: acute,,30days,,,,,No,,,,
52,Scaffold/stent thrombosis: sub-acute,,30days,,,,,No,,,,
53,Scaffold/stent thrombosis: late,,30days,,,,,No,,,,
54,"Scaffold/stent thrombosis: Evidence (Definite, Probable and Possible)",,,,30days,,,No,,,,
55,Scaffold/stent thrombosis: Probable,,30days,,,,,No,,,,
56,Scaffold/stent thrombosis: Possible,,30days,,,,,No,,,,
57,"Death (cardiac, vascular, non-cardiovascular) 180 days",,,,,,,No,,,,
58,Death: cardiac,180 days,,,,,,No,,,,
59,Death: vascular,180 days,,,,,,No,,,,
60,Death: non-cardiovascular,,180 days,,,,,No,,,,
61,Myocardial Infarction (MI: QMI and NQMI per Modified ARC definition),,,,180 days,,,No,,,,
62,MI: QMI,180 days,,,,,,No,,,,
63,MI: NQMI,180 days,,,,,,No,,,,
64,Attributable to target vessel (TV-MI),,,,,,,No,,,,
65,Not attributable to target vessel (NTV-MI),,180 days,,,,,No,,,,
66,"Target Lesion Revascularization (TLR, per ARC definition)",,,180 days,,,,No,,,,
67,Clinically-indicated TLR (CI-TLR),,180 days,,,,,No,,,,
68,Not clinically-indicated TLR (NCI-TLR),,180 days,,,,,No,,,,
69,"Target Vessel Revascularization (TVR, per ARC definition)",,,180 days,,,,No,,,,
70,Clinically-indicated TVR (CI-TVR),,180 days,,,,,No,,,,
71,Not clinically-indicated TVR (NCI-TVR),,180 days,,,,,No,,,,
72,All coronary revascularization,,180 days,,,,,No,,,,
73,Composite: Death/All MI,,180 days,,,,,No,,,,
74,Composite: Cardiac Death/TV-MI/CI-TLR (TLF),,,180 days,,,,No,,,,
75,Composite: Death/All MI/All revascularization,,,180 days,,,,No,,,,
76,"Composite: Cardiac Death, all MI, CI-TLR, CI-TVR, non-target lesion",,,,180 days,,,No,,,,
77,"Scaffold/stent thrombosis: Timing (acute, sub-acute, late and very late)",,,,180 days,,,No,,,,
78,Scaffold/stent thrombosis: acute,,180 days,,,,,No,,,,
79,Scaffold/stent thrombosis: sub-acute,,180 days,,,,,No,,,,
80,Scaffold/stent thrombosis: late,,180 days,,,,,No,,,,
81,"Scaffold/stent thrombosis: Evidence (Definite, Probable and Possible)",,,,180 days,,,No,,,,
82,Scaffold/stent thrombosis: Probable,,180 days,,,,,No,,,,
83,Scaffold/stent thrombosis: Possible,,180 days,,,,,No,,,,
,I read 'Landmark analysis 1-5 years on TLF and components' as to be analysed at 5 years.,,,,,,,,,,,
,,,,,,,,,,,,
Total,83,,,,,,TOTALS,15,,,68,
,,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not declared as non-prespecified,
1,Patient reported angina,,,,,,,No,,,Yes,
2,periprocedural MI,,,,,,,No,,,Yes,
3,non-periprocedural MI,,,,,,,No,,,Yes,
4,ID - NTVR,,,,,,,No,,,Yes,
5,Non-ID NTVR,,,,,,,No,,,Yes,
6,Scaffold/stent thrombosis: Early (acute + sub-acute),,,,,,,No,,,Yes,
7,Ischaemia-driven revascularization,,,,,,,No,,,Yes,
8,Non-ischaemia-driven revascularization,,,,,,,No,,,Yes,
,,,,,,,,,,,,
Total,8,,,,,,TOTALS,0,,,8,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
