Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified?,,,Not declared as non-prespecified,
1,"Infant: Composite of neonatal morbidity and mortality (sepsis, ventilation â¥24 h, or death)",,,,,,,,,,Yes,
2,Perinatal or infant mortality,,,,,,,,,,Yes,
3,Pneumonia,,,,,,,,,,Yes,
4,Mechanical ventilation for â¥ 24 h,,,,,,,,,,Yes,
5,SGA (<10th percentile size),,,,,,,,,,Yes,
6,Apgar score <7 at 5 min,,,,,,,,,,Yes,
7,Antibiotics in first 48 h,,,,,,,,,,Yes,
8,Lumbar puncture,,,,,,,,,,Yes,
9,Circulatory compromise,,,,,,,,,,Yes,
10,Maternal: Antepartum or intrapartum haemorrhage [combined],,,,,,,,,,Yes,
11,Intrapartum fever,,,,,,,,,,Yes,
12,Post-partum haemorrhage,,,,,,,,,,Yes,
13,Duration of hospital stay,,,,,,,,,,Yes,
14,Caesarean delivery - after spontaneuous labour,,,,,,,,,,Yes,
15,Caesarean delivery - after labour induction,,,,,,,,,,Yes,
16,Caesarean delivery - before labour,,,,,,,,,,Yes,
17,Onset of labour,,,,,,,,,,Yes,
,,,,,,,,,,,,
Total,17,,,,,,TOTALS,,,,17,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
They incorrectly report many of their secondary outcomes as pre-specified.,,,,,,,,,,,,
Annotation of report text detailing outcome measures can be found at the two links below.,,,,,,,,,,,,
https://drive.google.com/open?id=0B2r5CjEdwpx_ak5tQjNzQUx5a3M,,,,,,,,,,,,
https://drive.google.com/open?id=0B2r5CjEdwpx_djJLZHUxM0VVeFE,,,,,,,,,,,,
"P indicates prespecified, U unspecified",,,,,,,,,,,,
