field_name	allowed_value	definition	coding_notes
search_lead_type	individual_replication_paper	Controlled value `individual_replication_paper` for `search_lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_type	replication_project	Controlled value `replication_project` for `search_lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_type	preregistration_or_pap	Controlled value `preregistration_or_pap` for `search_lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_type	repository_package	Controlled value `repository_package` for `search_lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_type	candidate_result_table	Controlled value `candidate_result_table` for `search_lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_type	raw_data_or_code_package	Controlled value `raw_data_or_code_package` for `search_lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_type	manual_source_suggestion	Controlled value `manual_source_suggestion` for `search_lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_status	not_started	Controlled value `not_started` for `search_lead_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_status	seeded_from_existing_artifact	Controlled value `seeded_from_existing_artifact` for `search_lead_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_status	candidate_found	Controlled value `candidate_found` for `search_lead_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_status	candidate_rejected	Controlled value `candidate_rejected` for `search_lead_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_status	staged_for_parser	Controlled value `staged_for_parser` for `search_lead_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_status	promoted_to_result_target	Controlled value `promoted_to_result_target` for `search_lead_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_status	blocked_access	Controlled value `blocked_access` for `search_lead_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_status	blocked_no_result_fields	Controlled value `blocked_no_result_fields` for `search_lead_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_status	blocked_scope_mismatch	Controlled value `blocked_scope_mismatch` for `search_lead_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_status	deprecated_duplicate	Controlled value `deprecated_duplicate` for `search_lead_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_decision	not_triaged	Controlled value `not_triaged` for `lead_decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_decision	promote_to_source	Controlled value `promote_to_source` for `lead_decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_decision	promote_to_source_result	Controlled value `promote_to_source_result` for `lead_decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_decision	stage_for_parser	Controlled value `stage_for_parser` for `lead_decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_decision	catalog_only	Controlled value `catalog_only` for `lead_decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_decision	reject_scope_mismatch	Controlled value `reject_scope_mismatch` for `lead_decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_decision	reject_duplicate	Controlled value `reject_duplicate` for `lead_decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_decision	blocked_access	Controlled value `blocked_access` for `lead_decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_decision	blocked_missing_fields	Controlled value `blocked_missing_fields` for `lead_decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_decision	manual_review_required	Controlled value `manual_review_required` for `lead_decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
plot_scope_role	current_figure	Controlled value `current_figure` for `plot_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
plot_scope_role	current_diagnostic	Controlled value `current_diagnostic` for `plot_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
plot_scope_role	catalog_only_future_plot_seed	Controlled value `catalog_only_future_plot_seed` for `plot_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
plot_scope_role	future_plot_candidate	Controlled value `future_plot_candidate` for `plot_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
plot_scope_role	sensitivity_view	Controlled value `sensitivity_view` for `plot_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
plot_scope_role	deprecated	Controlled value `deprecated` for `plot_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
eligibility_status	included	Controlled value `included` for `eligibility_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
eligibility_status	excluded	Controlled value `excluded` for `eligibility_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
eligibility_status	catalog_only	Controlled value `catalog_only` for `eligibility_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
eligibility_status	diagnostic_only	Controlled value `diagnostic_only` for `eligibility_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
eligibility_status	sensitivity_only	Controlled value `sensitivity_only` for `eligibility_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
eligibility_status	pending	Controlled value `pending` for `eligibility_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
eligibility_status	blocked	Controlled value `blocked` for `eligibility_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision_context_type	current_plot	Controlled value `current_plot` for `decision_context_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision_context_type	diagnostic_view	Controlled value `diagnostic_view` for `decision_context_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision_context_type	sensitivity_view	Controlled value `sensitivity_view` for `decision_context_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision_context_type	future_plot_draft	Controlled value `future_plot_draft` for `decision_context_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision_context_type	manual_review	Controlled value `manual_review` for `decision_context_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision_context_type	automated_rule	Controlled value `automated_rule` for `decision_context_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
identifier_type	doi	Digital Object Identifier for an article, report, dataset, package, or other DOI object.	Normalize without https://doi.org/ in identifier_value; put full resolver URL in identifier_url.
identifier_type	pmid	PubMed identifier.	Use numeric PMID only.
identifier_type	pmcid	PubMed Central identifier.	Use PMC-prefixed identifier when available.
identifier_type	nct	ClinicalTrials.gov NCT identifier.	Use NCT######## format.
identifier_type	aea_trial	AEA RCT Registry trial identifier.	Use trials/#### or AEARCTR form if available.
identifier_type	egap_registration	EGAP registration or PAP identifier.	Use the most stable EGAP/OSF registration identifier available.
identifier_type	ridie	RIDIE registration identifier.	Use the source-native RIDIE ID.
identifier_type	osf	OSF project, registration, preprint, or file identifier.	Use the OSF GUID or stable URL.
identifier_type	dataverse_doi	Dataverse dataset or file DOI.	Use for Dataverse persistent IDs.
identifier_type	zenodo_doi	Zenodo DOI or record DOI.	Use DOI value; record URL can go in identifier_url.
identifier_type	openicpsr	OpenICPSR project or version identifier.	Use project/version ID or stable URL.
identifier_type	openalex	OpenAlex work/source identifier.	Use OpenAlex ID or URL.
identifier_type	semantic_scholar	Semantic Scholar paper identifier.	Use S2 paper ID or URL.
identifier_type	arxiv	arXiv identifier.	Use arXiv ID without URL wrapper when possible.
identifier_type	ssrn	SSRN identifier.	Use SSRN abstract/paper ID.
identifier_type	url	Stable URL that is not better represented by a narrower identifier type.	Prefer DOI/registry/repository identifiers when available.
identifier_type	other	Other external identifier.	Explain identifier system in notes.
access_role	landing_page	Controlled value `landing_page` for `access_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_role	direct_download	Controlled value `direct_download` for `access_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_role	api	Controlled value `api` for `access_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_role	mirrored_file	Controlled value `mirrored_file` for `access_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_role	file_member	Controlled value `file_member` for `access_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_role	source_file_or_catalog	Controlled value `source_file_or_catalog` for `access_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_role	user_upload	Controlled value `user_upload` for `access_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_role	derived_table	Controlled value `derived_table` for `access_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
retrieval_method	automated_download	Controlled value `automated_download` for `retrieval_method`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
retrieval_method	api_download	Controlled value `api_download` for `retrieval_method`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
retrieval_method	osf_clone	Controlled value `osf_clone` for `retrieval_method`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
retrieval_method	dataverse_api	Controlled value `dataverse_api` for `retrieval_method`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
retrieval_method	github_clone	Controlled value `github_clone` for `retrieval_method`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
retrieval_method	user_upload	Controlled value `user_upload` for `retrieval_method`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
retrieval_method	browser_manual_download	Controlled value `browser_manual_download` for `retrieval_method`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
retrieval_method	existing_local_file	Controlled value `existing_local_file` for `retrieval_method`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
retrieval_method	code_execution_output	Controlled value `code_execution_output` for `retrieval_method`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
retrieval_method	not_retrieved	Controlled value `not_retrieved` for `retrieval_method`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_status	local_file_found	Controlled value `local_file_found` for `access_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_status	downloaded	Controlled value `downloaded` for `access_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_status	remote_url_not_cached	Controlled value `remote_url_not_cached` for `access_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_status	local_path_missing	Controlled value `local_path_missing` for `access_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_status	login_required	Controlled value `login_required` for `access_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_status	access_denied	Controlled value `access_denied` for `access_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_status	missing_locator	Controlled value `missing_locator` for `access_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_status	unresolved_locator	Controlled value `unresolved_locator` for `access_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_status	blocked	Controlled value `blocked` for `access_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
access_status	not_applicable	Controlled value `not_applicable` for `access_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
attempt_decision	source_object_mirrored	A value-bearing source object was mirrored or already exists locally.	Can support level 5 after identity and policy checks.
attempt_decision	metadata_only	Only metadata was obtained.	Supports grounding/resolution, not original-number verification unless metadata contains the value.
attempt_decision	abstract_or_landing_only	Only an abstract or publisher/detail landing page was obtained.	Use as proof of location; promote only if the value appears there.
attempt_decision	paywall_or_login	The route reached a paywall, subscription, or login artifact.	Keep as blocker evidence and do not promote as value-bearing bytes.
attempt_decision	captcha_or_bot_block	The route reached a CAPTCHA or bot-check artifact.	Stop automated retries for this route/host.
attempt_decision	access_denied	The route returned access denied, 403, or equivalent.	Record as blocked unless another lawful route succeeds.
attempt_decision	blocked	The attempt was blocked by policy, robots, missing permissions, missing key, or similar.	Needs manual review or different route.
attempt_decision	not_retrieved	No network/file retrieval was attempted or completed.	Use for locator-only rows.
attempt_decision	manual_review	Attempt outcome needs human judgment.	Use for ambiguous candidates or multiple possible targets.
attempt_decision	candidate_rejected	Candidate route was checked and rejected.	Explain mismatch or rejection in decision_reason.
access_strategy	registry_clinicaltrials	ClinicalTrials.gov API or registry route.	Use for NCT JSON/XML/HTML records and related registry result pulls.
access_strategy	pubmed_bridge	PubMed metadata or ID-bridging route.	Use when PMID metadata is used to discover DOI/PMCID/full text; this is not full text by itself.
access_strategy	pmc_fulltext	PubMed Central full-text route.	Use for PMC OA XML, BioC, OAI, PDF, or OA package retrieval.
access_strategy	crossref_metadata	Crossref metadata route.	Use for DOI metadata, license, references, and TDM/full-text candidate links.
access_strategy	datacite_metadata	DataCite metadata route.	Use for dataset/repository DOI metadata and file discovery.
access_strategy	unpaywall_metadata	Unpaywall OA discovery route.	Use for OA location/PDF/manuscript candidate discovery.
access_strategy	openalex_metadata	OpenAlex metadata/OA discovery route.	Use for DOI/PMID/PMCID resolution and OA location discovery.
access_strategy	semantic_scholar_metadata	Semantic Scholar metadata/OA discovery route.	Use for external IDs, openAccessPdf, and candidate URLs.
access_strategy	europepmc_metadata	Europe PMC metadata/OA discovery route.	Use for life-science metadata, PMCID bridging, and full-text candidate URLs.
access_strategy	oa_candidate_url	A candidate open-access URL discovered by a resolver.	Use for the candidate route; classify the bytes separately with source_byte_class.
access_strategy	preprint_repository_candidate	A preprint, author manuscript, institutional repository, or repository copy candidate.	Use when the candidate may be a lawful non-VOR source object.
access_strategy	direct_journal_or_doi_landing	Direct request to DOI redirect or publisher landing page.	Use for final-host page attempts, including paywall/abstract/CAPTCHA outcomes.
access_strategy	stable_url	A stable URL route not covered by a specialized resolver.	Use for official project pages, direct dataset URLs, or stable archive URLs.
access_strategy	other	An access route not covered by the controlled list.	Explain the route in access_notes.
source_byte_class	full_article_pdf	Full article PDF bytes for the target work.	Level 5 eligible if identity matches and access/mirroring is lawful.
source_byte_class	full_article_xml	Full article XML/JATS/NLM-style bytes for the target work.	Level 5 eligible if identity matches and the value could plausibly appear there.
source_byte_class	full_article_html	Full article HTML bytes, not just a landing page or abstract.	Level 5 eligible only when actual full text is present.
source_byte_class	author_manuscript_fulltext	Author accepted manuscript, preprint, or repository manuscript full text.	Level 5 eligible but flag source_version as manuscript/preprint when available.
source_byte_class	supplement_file	Supplementary material used to support extraction.	Level 5 eligible if it could contain the value, table, appendix, or methods.
source_byte_class	dataset_file	Data or analytic table file.	Level 5 eligible if it can support the value or recomputation.
source_byte_class	code_file	Script, notebook, log, or code output.	Level 5 eligible if it generates or contains the value.
source_byte_class	registry_record_full	Full registry/API record.	Level 5 eligible when the registry record is the source for the value or selector.
source_byte_class	pmc_fulltext_xml	PMC full-text XML/BioC/OAI record.	Level 5 eligible under PMC OA/usage constraints.
source_byte_class	pubmed_record_or_abstract	PubMed citation/abstract metadata.	Usually level 4/metadata only; level 5 only if the plotted value is actually in the abstract/record.
source_byte_class	metadata_record	Metadata-only API response.	Use for grounding and resolver provenance; not level 5 for D/N values.
source_byte_class	publisher_landing_or_abstract	Publisher landing page, title page, or abstract page.	Not level 5 unless the exact plotted value appears on that page.
source_byte_class	paywall_or_login_page	Paywall, subscription, sign-in, or institutional-access page.	Never promote as value-bearing evidence; keep as access evidence.
source_byte_class	captcha_page	CAPTCHA, bot-check, or anti-automation page.	Never promote; stop automated retries for the route.
source_byte_class	access_denied_page	403/access-denied page or equivalent.	Never promote; record blocker.
source_byte_class	blocked_no_source_object	No usable object was obtained.	Use with extraction_problem/manual to-do.
source_byte_class	source_object_unclassified	Bytes were obtained but not classified.	Manual review required before promotion.
source_byte_class	not_retrieved	No bytes were retrieved for this access row.	Use when the row documents a locator or attempted route only.
license_category	open	Open or public license/access appears to allow local mirroring for this use.	Still preserve license_url and policy notes when available.
license_category	restricted	Access is public or obtained, but reuse/storage terms are restricted or unclear.	Use when manual/legal review may be needed.
license_category	subscription	Access appears to require subscription/institutional entitlement.	Do not treat as open mirroring.
license_category	unknown	License or storage policy has not been determined.	Default when no policy was captured.
license_category	not_applicable	License category is not applicable to this access row.	Use for failed/nonretrieved routes or purely internal derived files.
source_version	version_of_record	Publisher version of record.	Use for final published article/full text.
source_version	accepted_manuscript	Accepted manuscript after peer review but before publisher formatting.	Flag as not VOR.
source_version	author_manuscript	Author manuscript or institutional repository copy.	Flag as not VOR.
source_version	preprint	Preprint or working-paper version.	Flag as pre-publication/non-VOR.
source_version	supplement	Supplementary material associated with another source.	Use for appendices and supporting files.
source_version	registry_record	Registry/API record version.	Use for NCT/AEA/EGAP/RIDIE/OSF registry records.
source_version	dataset	Dataset or data table version.	Use for source data files.
source_version	code	Code/script/output version.	Use for computational source objects.
source_version	metadata	Metadata-only record.	Not value-bearing unless the value appears in metadata.
source_version	unknown	Source version has not been determined.	Use until a narrower version can be coded.
file_role	full_article	Full article object.	Use for VOR/AAM/preprint article files when narrower manuscript/preprint roles are not used.
file_role	author_manuscript	Author manuscript or accepted manuscript artifact.	Flag version/source separately.
file_role	preprint	Preprint artifact.	Record preprint version when available.
file_role	registry_record	Registry/API record artifact.	Use for NCT/AEA/EGAP/RIDIE/OSF registry JSON/XML/pages.
file_role	supplement	Supplementary material or appendix file.	Use for article supplements and supporting packages.
file_role	dataset	Data or analysis table artifact.	Use for CSV/TSV/DTA/RDS/XLSX/SAV and similar files.
file_role	code	Code, notebook, log, or generated output artifact.	Use for scripts and code execution outputs.
file_role	metadata	Metadata-only artifact.	Grounding/resolution only unless values are present in metadata.
file_role	screenshot	Screenshot artifact.	Use for manual visual capture of pages/tables/blockers.
file_role	abstract_page	Abstract-only page artifact.	Do not promote unless exact value is present.
file_role	landing_page	Landing page artifact.	Use for DOI/publisher/repository landing pages.
file_role	derived_table	Internal derived table artifact.	Useful for corpus assertions but not original-source evidence.
file_role	archive	Archive file such as zip/tar/tgz.	Inventory extracted members separately when used.
file_role	archive_member	File member inside an archive.	Set parent_file_id to the archive file.
file_role	other	Other artifact role.	Explain in notes.
file_origin	automated_download	Automatically downloaded from a URL/API.	Record attempt/access route.
file_origin	api_response	API response stored as an artifact.	Use for registry/metadata JSON/XML.
file_origin	repository_file	Downloaded from a repository platform.	Examples: OSF, Dataverse, Zenodo, Figshare, openICPSR.
file_origin	publisher_file	Downloaded from a publisher route.	Use only for lawful/allowed access.
file_origin	existing_local_file	File already existed locally before this run.	Preserve checksum and path.
file_origin	user_upload	Provided manually by the user.	Keep original path/source when known.
file_origin	manual_browser	Manually obtained through a browser.	Record operator/access notes and rights decision.
file_origin	code_execution_output	Generated by running analysis code.	Record command in extraction_event.
file_origin	internal_derived	Produced by this repo's derived-data pipeline.	Not original-source evidence unless backed by support rows.
file_origin	archive_member	Extracted from an archive artifact.	Link to parent_file_id.
file_origin	unknown	Origin not yet determined.	Use until backfilled.
rights_decision	open_allowed	Mirroring/text extraction appears allowed for this project use.	Keep license/terms evidence.
rights_decision	internal_only	Local/internal use only; do not redistribute bytes.	Expose metadata/snippets only as allowed.
rights_decision	restricted	Access/reuse is restricted or unclear.	Manual/legal review may be needed.
rights_decision	subscription_required	Source appears to require subscription/institutional entitlement.	Do not treat as public OA.
rights_decision	not_applicable	Rights decision is not applicable.	Use for failed attempts or internal derived artifacts.
rights_decision	unknown	Rights have not been assessed.	Default for pilot backfills.
rights_decision	needs_review	Rights need human review before promotion/use.	Use for publisher/repository/manual routes with unclear terms.
target_acquisition_state	unanchored	No external target identity has been established.	Danger level: number cannot be tied to a real source.
target_acquisition_state	external_assertion_only	An external corpus/database asserts the row, but target identity is weak or incomplete.	Needs source identification before acquisition.
target_acquisition_state	target_identity_known	The represented source can be identified bibliographically or by registry/repository ID.	Identity exists but source object not yet located/mirrored.
target_acquisition_state	target_located	A DOI, registry, repository, or landing page locates the target.	Located is not mirrored.
target_acquisition_state	source_object_mirrorable	A lawful/plausible source object route appears available.	Next action is selective mirroring.
target_acquisition_state	source_object_mirrored	A plausible source object has been mirrored with checksum/path.	Next action is extraction/verification.
target_acquisition_state	text_or_data_extracted	Text/data were extracted from a mirrored object.	Next action is value-specific verification.
value_verification_state	not_checked	Value has not been checked against source text/data.	Default for unanchored or unresolved rows.
value_verification_state	corpus_assertion_only	Value is currently supported only by corpus/database assertion.	Do not count as original-source verification.
value_verification_state	source_object_obtained_not_parsed	A source object was obtained but not yet parsed for the value.	Level 5 but not level 6.
value_verification_state	text_or_data_extracted	Text/data were extracted but exact D/N support is not confirmed.	Needs value search and support rows.
value_verification_state	value_bearing_source_text_found	Relevant text/table/data for the value was found.	Needs parsed transformation check.
value_verification_state	d_n_verified_from_source	D/N or native values were verified from source text/data.	Strict level 6/7 depending on recomputation.
manual_task_status	open	Controlled value `open` for `manual_task_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
manual_task_status	in_progress	Controlled value `in_progress` for `manual_task_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
manual_task_status	blocked	Controlled value `blocked` for `manual_task_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
manual_task_status	closed	Controlled value `closed` for `manual_task_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
manual_task_status	not_needed	Controlled value `not_needed` for `manual_task_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	original_source_object	Controlled value `original_source_object` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	full_article	Controlled value `full_article` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	registry_record	Controlled value `registry_record` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	supplement	Controlled value `supplement` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	dataset_or_code	Controlled value `dataset_or_code` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	prereg_artifact	Controlled value `prereg_artifact` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	replication_evidence	Controlled value `replication_evidence` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	effect_text	Controlled value `effect_text` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	n_text	Controlled value `n_text` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	license_review	Controlled value `license_review` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	identity_disambiguation	Controlled value `identity_disambiguation` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
needed_artifact_type	other	Controlled value `other` for `needed_artifact_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
relationship_type	extraction_source_reports_result_for_represented_source	The extraction source directly reports a result about the represented source/work.	Default direct assertion relationship when no narrower type applies.
relationship_type	corpus_contains_paper	A corpus or collection includes a paper.	Use for paper membership independent of a specific result value.
relationship_type	database_reports_paper_result	A database/registry row reports a result or metadata for a paper/study/trial.	Use when the database is the literal source of copied numbers/text.
relationship_type	repository_supports_paper	A package/repository supplies data, code, outputs, or supplements for a paper.	Use for replication-package support links.
relationship_type	registry_preregisters_study	A registry record preregisters or records the study/trial/protocol.	Use for actual registry/PAP artifacts, not vague corpus claims.
relationship_type	registry_links_publication	A registry record links to a paper/report/results source.	Use for post-trial publication/data/program URLs.
relationship_type	pre_analysis_plan_supports_study	A PAP/MPAP/protocol supports the study/result selector.	Use when a PAP artifact is available outside a registry row.
relationship_type	registered_report_protocol_for_paper	A registered-report Stage 1/protocol source supports the final paper.	Use for registered-report protocol relationships.
relationship_type	publication_reports_registered_study	A publication reports results for a registered study.	Use from article to registry when the article itself documents registration.
relationship_type	replication_of	A source or result is a replication of another source/result.	Use when original and replication sources are known, not only corpus-level assertion.
