plot_name,display_family_key,display_label,source_key,citation_key,plot_inclusion_status,audit_row_count,source_materials,canonical_source_labels,corpus_what_it_is,plot_rows_made_in,kept_for_figure,blocked_no_DZ,blocked_no_N,blocked_N_lt_10,blocked_replication_N_le_original_N,live_pair_rows,expected_candidate_rows,audit_statuses,normalization_issues,corpus_what_it_is_why_possible_candidate,why_in_out
Plot 1,eprp::cova2021estimating,EPRP,eprp::cova2021estimating,cova2021estimating,included,1,EPRP,EPRP,Experimental Philosophy Replicability Project: coordinated replications of experimental-philosophy findings. Local rows use the project complete-data file and recover effect sizes from reported statistics where needed.,27,27,0,0,2,5,34,0,integrated_live,,Experimental Philosophy Replicability Project: coordinated replications of experimental-philosophy findings. Local rows use the project complete-data file and recover effect sizes from reported statistics where needed. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 34 structured local original/replication row(s) are in the live build; 27 pass the current Figure 2 rule.,Confirmed usable with exclusions: 34 structured local pair row(s) were present and 27 pass the Figure 2 rule; rows outside the plot fail because some rows are below the minimum-N floor; some follow-up samples are not larger than the original. Source-specific note: Direct project CSV; effect sizes are parsed directly or recovered from numeric analysis strings.
Plot 1,decision_market_replication_project::holzmeister2025decisionmarket,Decision-Market Replication Project,decision_market_replication_project::holzmeister2025decisionmarket,holzmeister2025decisionmarket,included,1,Decision-Market Replication Project,Decision-Market Replication Project,Decision-market replication project in experimental economics and behavioral science. The public table contains original and replication D/N fields plus market forecasts.,26,26,0,0,0,0,26,0,integrated_live,,Decision-market replication project in experimental economics and behavioral science. The public table contains original and replication D/N fields plus market forecasts. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 26 structured local original/replication row(s) are in the live build; 26 pass the current Figure 2 rule.,Confirmed usable: 26 structured local pair row(s) were present and 26 pass the Figure 2 rule. Source-specific note: Uses the harmonized public decision-market replication table with original and replication d and N columns.
Plot 1,social_sciences_replication_project::camerer2018,Social Sciences Replication Project,social_sciences_replication_project::camerer2018,camerer2018,included,5,Social Sciences Replication Project; SSRP 2018 supplement (manual); SSRP D3; SSRP D6 beliefs,Social Sciences Replication Project; SSRP 2018 supplement (manual); SSRP D3; SSRP D6 beliefs,Social Sciences Replication Project: coordinated replications of social-science studies from high-profile journals. Local rows use ReplicationSuccess plus a few manual/support rows.,23,23,0,0,0,3,26,0,integrated_live; catalog_not_integrated,artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family; aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family; aliased_to_source_family; multiple_audit_rows_roll_up_to_family,Social Sciences Replication Project: coordinated replications of social-science studies from high-profile journals. Local rows use ReplicationSuccess plus a few manual/support rows. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 26 structured local original/replication row(s) are in the live build; 23 pass the current Figure 2 rule.,"Confirmed usable with exclusions: 26 structured local pair row(s) were present and 23 pass the Figure 2 rule; rows outside the plot fail because some follow-up samples are not larger than the original. Source-specific note: Full 21-row SSRP object with original and replication r, Fisher-z, p-values, and Ns."
Plot 1,brazilian_reproducibility_initiative::amaral2019brazilian,Brazilian Reproducibility Initiative,brazilian_reproducibility_initiative::amaral2019brazilian,amaral2019brazilian,included,1,Brazilian Reproducibility Initiative,Brazilian Reproducibility Initiative,Brazilian Reproducibility Initiative: coordinated replications of experimental psychology findings by Brazilian labs. Local rows use project primary-analysis outputs and exclude sensitivity variants.,21,21,0,0,20,4,45,0,integrated_live,,Brazilian Reproducibility Initiative: coordinated replications of experimental psychology findings by Brazilian labs. Local rows use project primary-analysis outputs and exclude sensitivity variants. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 45 structured local original/replication row(s) are in the live build; 21 pass the current Figure 2 rule.,Confirmed usable with exclusions: 45 structured local pair row(s) were present and 21 pass the Figure 2 rule; rows outside the plot fail because some rows are below the minimum-N floor; some follow-up samples are not larger than the original. Source-specific note: Built from the public BRI repo plus locally generated primary-analysis output; excludes `ALT*` sensitivity variants and preserves the project-native experiment effect metric (`ROM`/`MD`).
Plot 1,management_science_replication_project::davis2023managementscience,Management Science Replication Project,management_science_replication_project::davis2023managementscience,davis2023managementscience,included,1,Management Science Replication Project,Management Science Replication Project,Management Science Replication Project: replications of operations and management-science experiments. Local rows are parsed from project report tables into original-versus-replication effect pairs.,20,20,0,0,4,2,26,20,integrated_live,,Management Science Replication Project: replications of operations and management-science experiments. Local rows are parsed from project report tables into original-versus-replication effect pairs. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 26 structured local original/replication row(s) are in the live build; 20 pass the current Figure 2 rule.,Confirmed usable with exclusions: 26 structured local pair row(s) were present and 20 pass the Figure 2 rule; rows outside the plot fail because some rows are below the minimum-N floor; some follow-up samples are not larger than the original. Source-specific note: Public harvested source was staged and promoted into live D/N pair rows after source-specific parsing.
Plot 1,many_labs_5::ebersole2020manylabs5,Many Labs 5,many_labs_5::ebersole2020manylabs5,ebersole2020manylabs5,included,1,Many Labs 5,Many Labs 5,Many Labs 5 multi-lab psychology replication project. Local rows use the public figure data and single-effect files for version-specific sample sizes.,20,20,0,0,0,0,20,0,integrated_live,,Many Labs 5 multi-lab psychology replication project. Local rows use the public figure data and single-effect files for version-specific sample sizes. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 20 structured local original/replication row(s) are in the live build; 20 pass the current Figure 2 rule.,Confirmed usable: 20 structured local pair row(s) were present and 20 pass the Figure 2 rule. Source-specific note: Build uses `ML5FigureData.csv` for ES and the single-effects file for version-specific Ns; adds ML5 RP:P and ML5 Revised arrows.
Plot 1,experimental_economics_replication_project::camerer2016,Experimental Economics Replication Project,experimental_economics_replication_project::camerer2016,camerer2016,included,5,Experimental Economics Replication Project; EERP 2016 supplement (manual); EERP effectdata.py; EERP marketdata.zip,Experimental Economics Replication Project; EERP 2016 supplement (manual); EERP effectdata.py; EERP marketdata.zip,"Experimental Economics Replication Project, a coordinated replication of laboratory economics findings. Local rows use the Experimental Economics subset of the ReplicationSuccess RProjects object plus manual supplement rows.",18,18,0,0,2,5,25,0,integrated_live; catalog_not_integrated,artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family; aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family; aliased_to_source_family; multiple_audit_rows_roll_up_to_family,"Experimental Economics Replication Project, a coordinated replication of laboratory economics findings. Local rows use the Experimental Economics subset of the ReplicationSuccess RProjects object plus manual supplement rows. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 25 structured local original/replication row(s) are in the live build; 18 pass the current Figure 2 rule.",Confirmed usable with exclusions: 25 structured local pair row(s) were present and 18 pass the Figure 2 rule; rows outside the plot fail because some rows are below the minimum-N floor; some follow-up samples are not larger than the original. Source-specific note: Uses the Experimental Economics subset of the harmonized 143-row RProjects object.
Plot 1,251_rescue_projects::boyce2024rescue,251 Rescue Projects,251_rescue_projects::boyce2024rescue,boyce2024rescue,included,1,251 Rescue Projects,251 Rescue Projects,Rescue-project corpus of classic psychology findings and replication attempts. Local rows come from parsed rescue files after removing exact overlap with the Boyce student-replication source.,17,17,0,0,0,13,30,0,integrated_live,,Rescue-project corpus of classic psychology findings and replication attempts. Local rows come from parsed rescue files after removing exact overlap with the Boyce student-replication source. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 30 structured local original/replication row(s) are in the live build; 17 pass the current Figure 2 rule.,"Confirmed usable with exclusions: 30 structured local pair row(s) were present and 17 pass the Figure 2 rule; rows outside the plot fail because some follow-up samples are not larger than the original. Source-specific note: Built from parsed and combined rescue files, then de-duplicated against exact Boyce overlap keys before integration."
Plot 1,sports_science_replications::murphy2025sportsReplication,Sports science replications,sports_science_replications::murphy2025sportsReplication,murphy2025sportsReplication,included,1,Sports science replications,Sports science replications,Sports-science replication corpus. Public supplemental reported-effect tables are joined to sample-size workbooks and kept where both original and replication sides are numeric.,16,16,0,0,2,1,19,0,integrated_live,artifact_label_retained_in_full_audit,Sports-science replication corpus. Public supplemental reported-effect tables are joined to sample-size workbooks and kept where both original and replication sides are numeric. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 19 structured local original/replication row(s) are in the live build; 16 pass the current Figure 2 rule.,Confirmed usable with exclusions: 19 structured local pair row(s) were present and 16 pass the Figure 2 rule; rows outside the plot fail because some rows are below the minimum-N floor; some follow-up samples are not larger than the original. Source-specific note: Build joins the public reported-effect supplemental table to the public sample-size workbook and retains only rows with numeric original and replication effect values; partial eta squared is converted onto the common D-like axis and standardized-mean-difference variants are preserved on that scale.
Plot 1,awesome_replicability_data_repository::jinAwesomeReplicabilityData,Awesome replicability-data repository,awesome_replicability_data_repository::jinAwesomeReplicabilityData,jinAwesomeReplicabilityData,included,1,Awesome replicability-data repository,Awesome replicability-data repository,"Jin/Ying awesome-replicability-data is a GitHub collection of cleaned paired original-and-replication raw datasets for individual direct-replication examples. Local rows use source-specific parsers for the paired CSVs that expose a clear condition, outcome, original sample, and replication sample.",11,11,0,0,0,1,12,21,integrated_live,,"Jin/Ying awesome-replicability-data is a GitHub collection of cleaned paired original-and-replication raw datasets for individual direct-replication examples. Local rows use source-specific parsers for the paired CSVs that expose a clear condition, outcome, original sample, and replication sample. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 12 structured local original/replication row(s) are in the live build; 11 pass the current Figure 2 rule.",Confirmed usable with exclusions: 12 structured local pair row(s) were present and 11 pass the Figure 2 rule; rows outside the plot fail because some follow-up samples are not larger than the original. Source-specific note: Public harvested source was staged and promoted into live D/N pair rows after source-specific parsing.
Plot 1,independent_replication_initiative::schweinsberg2016pipeline,Independent Replication Initiative,independent_replication_initiative::schweinsberg2016pipeline,schweinsberg2016pipeline,included,1,Pipeline supplement + packet data,Pipeline supplement + packet data,"Independent Replication Initiative source family, a collection of independently run psychology/social-science direct replications.",10,10,0,0,0,0,10,10,integrated_live,aliased_to_source_family; artifact_label_retained_in_full_audit,"Independent Replication Initiative source family, a collection of independently run psychology/social-science direct replications. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 10 structured local original/replication row(s) are in the live build; 10 pass the current Figure 2 rule.",Confirmed usable: 10 structured local pair row(s) were present and 10 pass the Figure 2 rule. Source-specific note: Nine rows are converted from supplement-reported key-test statistics; Intuitive Economics uses the packet CSV to recover the replication-side correlation directly.
Plot 1,many_labs_1::klein2014manylabs1,Many Labs 1,many_labs_1::klein2014manylabs1,klein2014manylabs1,included,2,Altmejd harmonized Many Labs 1; ML1 summary workbook,Altmejd harmonized Many Labs 1; ML1 summary workbook,"Many Labs 1 multi-lab psychology replication project, harmonized by Altmejd. It contains many-site replications of classic psychology effects with aggregate original and replication effect information.",10,10,0,0,0,0,10,0,integrated_live; catalog_not_integrated,aliased_to_source_family; multiple_audit_rows_roll_up_to_family; aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,"Many Labs 1 multi-lab psychology replication project, harmonized by Altmejd. It contains many-site replications of classic psychology effects with aggregate original and replication effect information. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 10 structured local original/replication row(s) are in the live build; 10 pass the current Figure 2 rule.",Confirmed usable: 10 structured local pair row(s) were present and 10 pass the Figure 2 rule. Source-specific note: Used because the ML1 summary workbook does not expose a clean original-N row for every effect.
Plot 1,many_labs_3::ebersole2016manylabs3,Many Labs 3,many_labs_3::ebersole2016manylabs3,ebersole2016manylabs3,included,2,Altmejd harmonized Many Labs 3; ML3 manuscript tables bundle,Altmejd harmonized Many Labs 3; ML3 manuscript tables bundle,"Many Labs 3 multi-lab psychology replication project, using Altmejd's harmonized project tables where effect sizes and sample sizes are pair-buildable.",10,10,0,0,0,0,10,0,integrated_live; catalog_not_integrated,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,"Many Labs 3 multi-lab psychology replication project, using Altmejd's harmonized project tables where effect sizes and sample sizes are pair-buildable. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 10 structured local original/replication row(s) are in the live build; 10 pass the current Figure 2 rule.",Confirmed usable: 10 structured local pair row(s) were present and 10 pass the Figure 2 rule. Source-specific note: Used because the ML3 manuscript tables expose ES cleanly but not a ready original-N row structure.
Plot 1,public_administration_blame_experiment_replication::walker2024publicAdminBlame,Public-administration blame experiment replication,public_administration_blame_experiment_replication::walker2024publicAdminBlame,walker2024publicAdminBlame,included,1,Public-administration blame experiment replication,Public-administration blame experiment replication,"Public-administration replication of the James et al. blame-attribution experiment. Local rows are paper-table reconstructions from the original James et al. 2016 regression table and Walker et al. 2024 England, Hong Kong, and South Korea replication tables.",9,9,0,0,0,0,9,9,integrated_live,,"Public-administration replication of the James et al. blame-attribution experiment. Local rows are paper-table reconstructions from the original James et al. 2016 regression table and Walker et al. 2024 England, Hong Kong, and South Korea replication tables. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 9 structured local original/replication row(s) are in the live build; 9 pass the current Figure 2 rule.","Confirmed usable: the public materials were reduced to 9 auditable original-versus-replication D/Z and N pair row(s), with 9 passing the figure gates. Source-specific note: The OSF registration did not expose raw respondent data, but the Wiley article and supporting tables report matched treatment-contrast t statistics and balanced arm sizes. Those tables now supply 9 promoted D/N reconstruction rows."
Plot 1,clinical_highly_cited_replications::ioannidis2005contradicted,Clinical highly cited replications,clinical_highly_cited_replications::ioannidis2005contradicted,ioannidis2005contradicted,included,1,Clinical published replication workbook,Clinical published replication workbook,"Clinical-medicine replication workbook pairing highly cited early clinical findings with later larger or contradictory evidence; local rows keep medical effects where OR, RR, or HR plus sample sizes can be converted.",7,7,0,0,0,0,7,0,integrated_live,aliased_to_source_family; artifact_label_retained_in_full_audit,"Clinical-medicine replication workbook pairing highly cited early clinical findings with later larger or contradictory evidence; local rows keep medical effects where OR, RR, or HR plus sample sizes can be converted. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 7 structured local original/replication row(s) are in the live build; 7 pass the current Figure 2 rule.","Confirmed usable: 7 structured local pair row(s) were present and 7 pass the Figure 2 rule. Source-specific note: Limited to rows with convertible `OR`, `RR`, or `HR` outcomes plus both original and replication sample sizes."
Plot 1,eqipd_arroyo_araujo_2022::arroyoaraujo2022eqipd,EQIPD Arroyo-Araujo 2022,eqipd_arroyo_araujo_2022::arroyoaraujo2022eqipd,arroyoaraujo2022eqipd,included,1,EQIPD stagewise open-field lab contrasts,EQIPD stagewise open-field lab contrasts,EQIPD preclinical multi-lab project on replicability and generalizability of open-field findings under protocol harmonization. Local rows are stagewise lab contrasts converted to D/N where possible.,7,7,0,0,0,0,7,60,integrated_live,aliased_to_source_family,EQIPD preclinical multi-lab project on replicability and generalizability of open-field findings under protocol harmonization. Local rows are stagewise lab contrasts converted to D/N where possible. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 7 structured local original/replication row(s) are in the live build; 7 pass the current Figure 2 rule.,"Confirmed usable: the public materials were reduced to 7 auditable original-versus-replication D/Z and N pair row(s), with 7 passing the figure gates. Source-specific note: Public harvested source was staged and promoted into live D/N pair rows after source-specific parsing."
Plot 1,appendix_d_supplemental::douglass2026appendixD,Appendix D supplemental,appendix_d_supplemental::douglass2026appendixD,douglass2026appendixD,included,1,Appendix D supplemental,Appendix D supplemental,Hand-built appendix source used as a coverage floor for undercovered replication families. It is a support/fallback source rather than an independent corpus.,6,6,0,0,0,0,0,0,catalog_integrated,artifact_label_retained_in_full_audit,Hand-built appendix source used as a coverage floor for undercovered replication families. It is a support/fallback source rather than an independent corpus. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: the source catalog marks 555 usable pair row(s) out of 555 cataloged row(s).,Confirmed usable fallback: 6 row(s) from 555 cataloged usable row(s) pass the Figure 2 rule through the catalog/backfill route rather than a separate live source table. Source-specific note: Used as a floor source for undercovered project families in the Figure 2 rule and plotted subsets.
Plot 1,covid_online_experiment_replications::peyton2021covidonline,COVID online experiment replications,covid_online_experiment_replications::peyton2021covidonline,peyton2021covidonline,included,1,COVID online experiment replications,COVID online experiment replications,COVID-era online experiment replication source. Local rows use public summary files that pair original claims with online replication results.,6,6,0,0,0,22,26,69,integrated_live,,COVID-era online experiment replication source. Local rows use public summary files that pair original claims with online replication results. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 26 structured local original/replication row(s) are in the live build; 6 pass the current Figure 2 rule.,Confirmed usable with exclusions: 26 structured local pair row(s) were present and 6 pass the Figure 2 rule; rows outside the plot fail because some follow-up samples are not larger than the original. Source-specific note: Public harvested source was staged and promoted into live D/N pair rows after source-specific parsing.
Plot 1,contextual_bias_in_verbal_credibility_assessment::oppen2026contextual,Contextual bias in verbal credibility assessment,contextual_bias_in_verbal_credibility_assessment::oppen2026contextual,oppen2026contextual,included,1,Contextual bias in verbal credibility assessment,Contextual bias in verbal credibility assessment,"Direct replication source for contextual bias in verbal credibility assessment, a forensic/psychology credibility-judgment effect.",6,6,0,0,0,0,6,4,integrated_live,,"Direct replication source for contextual bias in verbal credibility assessment, a forensic/psychology credibility-judgment effect. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 6 structured local original/replication row(s) are in the live build; 6 pass the current Figure 2 rule.","Confirmed usable: the public materials were reduced to 6 auditable original-versus-replication D/Z and N pair row(s), with 6 passing the figure gates. Source-specific note: Public harvested source was staged and promoted into live D/N pair rows after source-specific parsing."
