candidate_id,source_family,source_file,paper_number,experiment_number,effect_number,effect_description,candidate_status,strict_append_ready,remaining_blocker,stat_type,stat_value,D_candidate,N_candidate,conversion_method,replication_p_value
rpcb_paper_21_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,21,1,1,Relative tumor volume of A549 xenografts treated with cimetidine vs vehicle,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,0.928691,0.928691,27,reported_replication_smd,0.02357807
rpcb_paper_24_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,24,1,1,PTEN-3'UTR luciferase reporter activity of siNC vs siSERINC1,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,-0.1249458,0.1249458,8,reported_replication_smd,0.8655577
rpcb_paper_28_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,28,2,1,Tumor weights of LAPC4 cells expressing miR-34a vs negative control,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Glass' delta,-0.1689181,0.1689181,14,reported_replication_smd,0.7121999
rpcb_paper_29_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,29,1,1,IC50 values of MV4;11 cells vs largest dose (100 µM) tested in K-562 cells,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,9.226546,9.226546,5,reported_replication_smd,3.26e-05
rpcb_paper_37_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,37,1,1,Effective concentrations of Ewing's sarcoma cell lines vs osteosarcoma cell lines,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,0.4716736,0.4716736,12,reported_replication_smd,0.771006
rpcb_paper_39_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,39,1,1,Tumor weights of IgG vs anti-CD47 (MIAP410),preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Glass' delta,-1.131789,1.131789,13,reported_replication_smd,0.103811
rpcb_paper_41_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,41,1,1,Intrinsic doubling time of bacterial growth of pks island deletion vs wild-type,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,1.188402,1.188402,6,reported_replication_smd,0.2192356
rpcb_paper_42_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,42,2,1,Metastatic burden in lungs of shScr injected mice vs liposome,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,0.2736501,0.2736501,12,reported_replication_smd,0.6456962
rpcb_paper_44_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,44,1,1,Tumor-free survival of GFP vs PREX2-G844D,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Hazard ratio,1.076923,1.076923,28,reported_replication_smd,0.8474241
rpcb_paper_47_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,47,1,1,2HG levels in cells expressing IDH1-WT vs IDH1-R132H,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,4.808061,4.808061,12,reported_replication_smd,6.23e-08
rpcb_paper_48_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,48,1,1,"Total RNA per 1000 cells at 0hr, 1hr, 24hr",preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,0.8333723,0.8333723,6,reported_replication_smd,0.3467888
rpcb_paper_50_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,50,1,1,Change in F. nucleatum DNA in colorectal carcinoma vs adjacent normal tissue,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's dz,0.426857,0.426857,40,reported_replication_smd,0.01096665
