source_dataset,display_label,citation_key,live_rows,kept_for_figure,blocked_no_DZ,blocked_no_N,blocked_N_lt_10,blocked_replication_N_le_original_N
Galak et al. 2012 psi meta-analysis (manual),Galak et al. 2012 psi meta-analysis (manual),galak2012psi,1,1,0,0,0,0
Greed x SES meta-analysis script,Greed x SES meta-analysis script,balakrishnan2017greed,1,1,0,0,0,0
Hagger 2016 RTV.csv,Hagger 2016 RTV.csv,hagger2016egodepletion,1,1,0,0,0,0
MSRP Croson and Donohue 2006 report,MSRP Croson and Donohue 2006 report,,1,1,0,0,0,0
Many Labs 4 local meta-analysis (manual),Many Labs 4 local meta-analysis (manual),klein2022manylabs4,1,1,0,0,0,0
Marek 2022 BWAS paper (manual),Marek 2022 BWAS paper (manual),marek2022,1,1,0,0,0,0
O'Donnell 2018 site-level meta csvs,O'Donnell 2018 site-level meta csvs,odonnell2018dijksterhuis,1,1,0,0,0,0
PSA 004 Turri article table rescue,PSA 004 Turri article table rescue,hall2024psa004Turri,1,1,0,0,0,0
Protzko NHB labels writeup,Protzko NHB labels writeup,protzko2024highrep,1,1,0,0,0,0
RRR Bouwmeester 2017 (manual),RRR Bouwmeester 2017 (manual),bouwmeester2017rand,1,1,0,0,0,0
RRR Cheung 2016 site csvs,RRR Cheung 2016 site csvs,cheung2016finkel,1,1,0,0,0,0
RRR Hagger 2016 (manual),RRR Hagger 2016 (manual),hagger2016egodepletion,1,1,0,0,0,0
RRR Verschuere 2018 site csv,RRR Verschuere 2018 site csv,verschuere2018mazar,1,1,0,0,0,0
Ranehill 2015 power posing (manual),Ranehill 2015 power posing (manual),ranehill2015powerposing,1,1,0,0,0,0
Srull-Wyer RRR paper (manual),Srull-Wyer RRR paper (manual),mccarthy2018srull,1,1,0,0,0,0
Stoevenbelt 2025 combined lab csv,Stoevenbelt 2025 combined lab csv,stoevenbelt2024johns,1,1,0,0,0,0
Transparent Psi Project combined raw,Transparent Psi Project combined raw,kekecs2023tpp,1,1,0,0,0,0
Vaidis 2024 prepared data subset,Vaidis 2024 prepared data subset,vaidis2024dissonance,1,1,0,0,0,0
Wagenmakers 2016 site csv,Wagenmakers 2016 site csv,wagenmakers2016strack,1,1,0,0,0,0
MSRP Ozer et al. 2011 report table,MSRP Ozer et al. 2011 report table,,4,0,0,0,4,0
RRR Bouwmeester 2017 site csvs,RRR Bouwmeester 2017 site csvs,,21,0,0,0,0,21
Online image credibility README equivalence table,Online image credibility README equivalence table,haim2025imagecredibility,11,0,0,0,0,11
Retrieval-extinction rats xlsx,Retrieval-extinction rats xlsx,luyten2017retrievalExtinction,3,0,0,0,0,3
Deceptive intentions verbal credibility (OSF raw),Deceptive intentions verbal credibility (OSF raw),kleinberg2018deceptive,1,0,0,0,0,1
Protzko NHB asymmetry writeup,Protzko NHB asymmetry writeup,protzko2024highrep,1,0,0,0,0,1
Protzko NHB referrals writeup,Protzko NHB referrals writeup,protzko2024highrep,1,0,0,0,0,1
