campaign_phase	surface	query_type	priority	query_id	query	candidate_route_bias	expected_signal	reject_signal	dedupe_gate	target_manifest	next_step
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__has__0011	"""has not been replicated directly"" ""we report"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__has__0011.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__not__0012	"""not been directly replicated"" ""original study"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__not__0012.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__stud_0013	"""Study 1 from"" ""direct replication"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__stud_0013.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__same_0014	"""same materials"" ""larger sample"" ""failed to replicate"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__same_0014.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__usin_0015	"""using the original materials and methods"" ""replicate"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__usin_0015.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__direct_re_0016	"""direct replication"" ""Cohen's d"" ""original study"" ""N ="""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__direct_re_0016.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__effect_si_0017	"""effect size"" ""replication"" ""original"" ""sample size"""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__effect_si_0017.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__means_and_0018	"""means and standard deviations"" ""direct replication"" ""original"""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__means_and_0018.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__forest_pl_0019	"""forest plot"" ""original study"" ""replication"" ""Cohen's d"""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__forest_pl_0019.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__original__0020	"""original effect size"" ""replication effect size"" ""sample size"""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__original__0020.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__original__0021	"""original study"" ""replication study"" ""d ="""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__original__0021.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__we_replic_0022	"""we replicated"" ""original"" ""Cohen's d"" ""participants"""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__we_replic_0022.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__larger_sa_0023	"""larger sample"" ""failed to replicate"" ""Cohen's d"""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__larger_sa_0023.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__event_cou_0024	"""event counts"" ""original"" ""replication"" ""odds ratio"""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__event_cou_0024.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__2x2___rep_0025	"""2x2"" ""replication"" ""sample size"" ""original"""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__2x2___rep_0025.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__table_1___0026	"""Table 1"" ""original"" ""replication"" ""Cohen's d"""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__table_1___0026.json	figure1-individual-replication-search-intake
02_open_full_text_value_language	PMC/PLOS/EuropePMC full text	full_text	1	02_open_full_text_value_language_pmc_plos_europepmc_full_text__sample_si_0027	"""sample size"" ""original"" ""replication"" ""validation cohort"""	strict_figure1a	open full text likely has value-bearing prose, tables, or figure captions for both sides	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-pmc_plos_europepmc_full_text-02_open_full_text_value_language_pmc_plos_europepmc_full_text__sample_si_0027.json	figure1-individual-replication-search-intake
03_repository_source_object_search	OSF/Figshare/Dataverse/Zenodo/GitHub	repository_package	2	03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0028	"""direct replication"" ""data"" ""Cohen"""	strict_figure1a	repository record or code/data package supports one paper pair or one replication report with extractable values	materials-only repository, many-row corpus already routed, or package without original target/result mapping	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-osf_figshare_dataverse_zenodo_github-03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0028.json	figure1-individual-replication-search-intake
03_repository_source_object_search	OSF/Figshare/Dataverse/Zenodo/GitHub	repository_package	2	03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0029	"""failed replication"" ""data"" ""original"""	strict_figure1a	repository record or code/data package supports one paper pair or one replication report with extractable values	materials-only repository, many-row corpus already routed, or package without original target/result mapping	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-osf_figshare_dataverse_zenodo_github-03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0029.json	figure1-individual-replication-search-intake
03_repository_source_object_search	OSF/Figshare/Dataverse/Zenodo/GitHub	repository_package	2	03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0030	"""registered replication report"" ""data"""	strict_figure1a	repository record or code/data package supports one paper pair or one replication report with extractable values	materials-only repository, many-row corpus already routed, or package without original target/result mapping	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-osf_figshare_dataverse_zenodo_github-03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0030.json	figure1-individual-replication-search-intake
03_repository_source_object_search	OSF/Figshare/Dataverse/Zenodo/GitHub	repository_package	2	03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0031	"""replication package"" ""original"" ""replication"""	strict_figure1a	repository record or code/data package supports one paper pair or one replication report with extractable values	materials-only repository, many-row corpus already routed, or package without original target/result mapping	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-osf_figshare_dataverse_zenodo_github-03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0031.json	figure1-individual-replication-search-intake
03_repository_source_object_search	OSF/Figshare/Dataverse/Zenodo/GitHub	repository_package	2	03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0032	"""original_effect"" ""replication_effect"""	strict_figure1a	repository record or code/data package supports one paper pair or one replication report with extractable values	materials-only repository, many-row corpus already routed, or package without original target/result mapping	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-osf_figshare_dataverse_zenodo_github-03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0032.json	figure1-individual-replication-search-intake
03_repository_source_object_search	OSF/Figshare/Dataverse/Zenodo/GitHub	repository_package	2	03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0033	"""original_N"" ""replication_N"""	strict_figure1a	repository record or code/data package supports one paper pair or one replication report with extractable values	materials-only repository, many-row corpus already routed, or package without original target/result mapping	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-osf_figshare_dataverse_zenodo_github-03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0033.json	figure1-individual-replication-search-intake
03_repository_source_object_search	OSF/Figshare/Dataverse/Zenodo/GitHub	repository_package	2	03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0034	"""replication study"" ""means"" ""standard deviations"""	strict_figure1a	repository record or code/data package supports one paper pair or one replication report with extractable values	materials-only repository, many-row corpus already routed, or package without original target/result mapping	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-osf_figshare_dataverse_zenodo_github-03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0034.json	figure1-individual-replication-search-intake
03_repository_source_object_search	OSF/Figshare/Dataverse/Zenodo/GitHub	repository_package	2	03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0035	"""replication"" ""effect_size"" ""sample_size"""	strict_figure1a	repository record or code/data package supports one paper pair or one replication report with extractable values	materials-only repository, many-row corpus already routed, or package without original target/result mapping	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-osf_figshare_dataverse_zenodo_github-03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0035.json	figure1-individual-replication-search-intake
03_repository_source_object_search	OSF/Figshare/Dataverse/Zenodo/GitHub	repository_package	2	03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0036	"""original study"" ""replication study"" ""csv"""	strict_figure1a	repository record or code/data package supports one paper pair or one replication report with extractable values	materials-only repository, many-row corpus already routed, or package without original target/result mapping	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-osf_figshare_dataverse_zenodo_github-03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0036.json	figure1-individual-replication-search-intake
03_repository_source_object_search	OSF/Figshare/Dataverse/Zenodo/GitHub	repository_package	2	03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0037	"""direct replication"" ""analysis script"""	strict_figure1a	repository record or code/data package supports one paper pair or one replication report with extractable values	materials-only repository, many-row corpus already routed, or package without original target/result mapping	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-osf_figshare_dataverse_zenodo_github-03_repository_source_object_search_osf_figshare_dataverse_zenodo_github__0037.json	figure1-individual-replication-search-intake
04_psychology_long_tail	OpenAlex/Crossref/PubMed/web	domain_phrase	2	04_psychology_long_tail_openalex_crossref_pubmed_web__behavioral_priming_0038	"""behavioral priming"" ""failed to replicate"" ""Cohen's d"""	strict_figure1a	one-off psychology replication not already captured by RPP/Many Labs/RRR source families	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_pubmed_web-04_psychology_long_tail_openalex_crossref_pubmed_web__behavioral_priming_0038.json	figure1-individual-replication-search-intake
04_psychology_long_tail	OpenAlex/Crossref/PubMed/web	domain_phrase	2	04_psychology_long_tail_openalex_crossref_pubmed_web__social_priming___d_0039	"""social priming"" ""direct replication"" ""original"""	strict_figure1a	one-off psychology replication not already captured by RPP/Many Labs/RRR source families	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_pubmed_web-04_psychology_long_tail_openalex_crossref_pubmed_web__social_priming___d_0039.json	figure1-individual-replication-search-intake
04_psychology_long_tail	OpenAlex/Crossref/PubMed/web	domain_phrase	2	04_psychology_long_tail_openalex_crossref_pubmed_web__embodied_cognition_0040	"""embodied cognition"" ""failed to replicate"" ""Cohen's d"""	strict_figure1a	one-off psychology replication not already captured by RPP/Many Labs/RRR source families	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_pubmed_web-04_psychology_long_tail_openalex_crossref_pubmed_web__embodied_cognition_0040.json	figure1-individual-replication-search-intake
04_psychology_long_tail	OpenAlex/Crossref/PubMed/web	domain_phrase	2	04_psychology_long_tail_openalex_crossref_pubmed_web__moral_psychology___0041	"""moral psychology"" ""direct replication"" ""effect size"""	strict_figure1a	one-off psychology replication not already captured by RPP/Many Labs/RRR source families	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_pubmed_web-04_psychology_long_tail_openalex_crossref_pubmed_web__moral_psychology___0041.json	figure1-individual-replication-search-intake
04_psychology_long_tail	OpenAlex/Crossref/PubMed/web	domain_phrase	2	04_psychology_long_tail_openalex_crossref_pubmed_web__judgment_and_decis_0042	"""judgment and decision making"" ""failed to replicate"" ""Cohen's d"""	strict_figure1a	one-off psychology replication not already captured by RPP/Many Labs/RRR source families	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_pubmed_web-04_psychology_long_tail_openalex_crossref_pubmed_web__judgment_and_decis_0042.json	figure1-individual-replication-search-intake
04_psychology_long_tail	OpenAlex/Crossref/PubMed/web	domain_phrase	2	04_psychology_long_tail_openalex_crossref_pubmed_web__cognitive_psycholo_0043	"""cognitive psychology"" ""direct replication"" ""sample size"""	strict_figure1a	one-off psychology replication not already captured by RPP/Many Labs/RRR source families	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_pubmed_web-04_psychology_long_tail_openalex_crossref_pubmed_web__cognitive_psycholo_0043.json	figure1-individual-replication-search-intake
04_psychology_long_tail	OpenAlex/Crossref/PubMed/web	domain_phrase	2	04_psychology_long_tail_openalex_crossref_pubmed_web__developmental_psyc_0044	"""developmental psychology"" ""multilab direct replication"""	strict_figure1a	one-off psychology replication not already captured by RPP/Many Labs/RRR source families	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_pubmed_web-04_psychology_long_tail_openalex_crossref_pubmed_web__developmental_psyc_0044.json	figure1-individual-replication-search-intake
04_psychology_long_tail	OpenAlex/Crossref/PubMed/web	domain_phrase	2	04_psychology_long_tail_openalex_crossref_pubmed_web__psychology_of_reli_0045	"""psychology of religion"" ""direct replication"" ""Cohen's d"""	strict_figure1a	one-off psychology replication not already captured by RPP/Many Labs/RRR source families	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_pubmed_web-04_psychology_long_tail_openalex_crossref_pubmed_web__psychology_of_reli_0045.json	figure1-individual-replication-search-intake
04_psychology_long_tail	OpenAlex/Crossref/PubMed/web	domain_phrase	2	04_psychology_long_tail_openalex_crossref_pubmed_web__social_neuroscienc_0046	"""social neuroscience"" ""failed replication"" ""effect size"""	strict_figure1a	one-off psychology replication not already captured by RPP/Many Labs/RRR source families	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_pubmed_web-04_psychology_long_tail_openalex_crossref_pubmed_web__social_neuroscienc_0046.json	figure1-individual-replication-search-intake
05_behavioral_econ_marketing_management	OpenAlex/Crossref/OSF/Dataverse/web	domain_phrase	2	05_behavioral_econ_marketing_management_openalex_crossref_osf_dataverse__0047	"""failed to replicate"" ""consumer behavior"" ""direct replication"""	strict_figure1a	one-off behavioral-econ/marketing/management replication with effect/N or data package	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_osf_dataverse_web-05_behavioral_econ_marketing_management_openalex_crossref_osf_dataverse__0047.json	figure1-individual-replication-search-intake
