run_id	query_id	surface	rank	title	doi	year	journal	url	relation_score	relation_evidence_type	relation_quote	value_score	negative_flag	raw_record_path
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	openalex	11	The Paranoid Style in American Politics Revisited: An Ideological Asymmetry in Conspiratorial Thinking	10.1111/pops.12681	2020	Political Psychology	https://openalex.org/W3037353072	0	no_relation_evidence		2	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	openalex	12	Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory	10.1111/jne.12384	2016	Journal of Neuroendocrinology	https://openalex.org/W2300073160	4	abstract_direct_replication	the exact pharmacokinetic properties of OT, as well as crucial statistical and methodological issues and the absence of direct replication efforts, may have lead to a publication bias in the IN-OT literature, with many unpublished studies with null results remaining buried in laboratory drawers. Is there a file drawer problem in IN-OT research? If this is	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	openalex	13	Quantifying Sources of Variability in Infancy Research Using the Infant-Directed-Speech Preference	10.1177/2515245919900809	2020	Advances in Methods and Practices in Psychological Science	https://openalex.org/W2782905495	0	no_relation_evidence		1	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	openalex	14	Effects of different intracranial volume correction methods on univariate sex differences in grey matter volume and multivariate sex prediction	10.1038/s41598-020-69361-9	2020	Scientific Reports	https://openalex.org/W3046387155	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	openalex	15	Signing at the beginning versus at the end does not decrease dishonesty	10.1073/pnas.1911695117	2020	Proceedings of the National Academy of Sciences	https://openalex.org/W3011366766	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	openalex	16	No Evidence of the Ego-Depletion Effect across Task Characteristics and Individual Differences: A Pre-Registered Study	10.1371/journal.pone.0147770	2016	PLoS ONE	https://openalex.org/W2274591123	0	no_relation_evidence		1	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	openalex	17	Are Psychology Journals Anti-replication? A Snapshot of Editorial Practices	10.3389/fpsyg.2017.00523	2017	Frontiers in Psychology	https://openalex.org/W2607067892	-5	same_data_or_review_negative		0	True	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	openalex	18	#EEGManyLabs: Investigating the replicability of influential EEG experiments	10.1016/j.cortex.2021.03.013	2021	Cortex	https://openalex.org/W3141370374	-5	same_data_or_review_negative		0	True	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	openalex	19	Publication bias and the limited strength model of self-control: has the evidence for ego depletion been overestimated?	10.3389/fpsyg.2014.00823	2014	Frontiers in Psychology	https://openalex.org/W2007393966	-5	same_data_or_review_negative		0	True	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	openalex	20	Registered Replication Report on Mazar, Amir, and Ariely (2008)	10.1177/2515245918781032	2018	Advances in Methods and Practices in Psychological Science	https://openalex.org/W2891039941	5	title_registered_replication_report	Registered Replication Report on Mazar, Amir, and Ariely (2008)	1	True	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	1	Partial inhibition of viral replication machinery enhances recombination in herpes simplex viruses	10.1186/s13062-025-00711-1	2025	Biology Direct	https://doi.org/10.1186/s13062-025-00711-1	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	2	Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games	10.2139/ssrn.4437368	2023	SSRN Electronic Journal	https://doi.org/10.2139/ssrn.4437368	5	title_exact_replication	Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	3	Kinds of Replication: Examining the Meanings of “Conceptual Replication” and “Direct Replication”	10.1177/17456916211041116	2022	Perspectives on Psychological Science	https://doi.org/10.1177/17456916211041116	5	title_exact_replication	Kinds of Replication: Examining the Meanings of “Conceptual Replication” and “Direct Replication”	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	4	Replication matters: Advances in Translational Research's commitment to Direct Replication Studies	10.1556/1661.2025.00102	2026	Advances in Translational Research	https://doi.org/10.1556/1661.2025.00102	5	title_exact_replication	Replication matters: Advances in Translational Research's commitment to Direct Replication Studies	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	5	LINEs of evidence: noncanonical DNA replication as an epigenetic determinant	10.1186/1745-6150-8-22	2013	Biology Direct	https://doi.org/10.1186/1745-6150-8-22	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	6	The scenario on the origin of translation in the RNA world: in principle of replication parsimony	10.1186/1745-6150-5-65	2010	Biology Direct	https://doi.org/10.1186/1745-6150-5-65	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	7	How Can HIV Replication Be Controlled?	10.1126/science.8333877	1993	Science	https://doi.org/10.1126/science.8333877	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	8	PRPSC replication, protein folding and misfolding	10.1016/s0197-4580(00)83266-2	2000	Neurobiology of Aging	https://doi.org/10.1016/s0197-4580(00)83266-2	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	9	The Pragmatic American Revisited: A Direct Replication of Pickett and Baker (2014)	10.21428/cb6ab371.ea00ca58	2022	CrimRxiv	https://doi.org/10.21428/cb6ab371.ea00ca58	5	title_exact_replication	The Pragmatic American Revisited: A Direct Replication of Pickett and Baker (2014)	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	10	The Pragmatic American Revisited: A Direct Replication of Pickett and Baker (2014)	10.21428/cb6ab371.c346e3b9	2021	CrimRxiv	https://doi.org/10.21428/cb6ab371.c346e3b9	5	title_exact_replication	The Pragmatic American Revisited: A Direct Replication of Pickett and Baker (2014)	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	11	Regeneration of the replication-associated proteins tandem direct repeat recognition nucleotide sequence at the origin of DNA replication of porcine circovirus type 1	10.1016/j.virol.2005.10.004	2006	Virology	https://doi.org/10.1016/j.virol.2005.10.004	5	title_exact_replication	ration of the replication-associated proteins tandem direct repeat recognition nucleotide sequence at the origin of DNA replication of porcine circovirus type 1	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	12	Investigation of direct replication techniques on periodic multilayers	10.1117/1.3609797	2011	Optical Engineering	https://doi.org/10.1117/1.3609797	5	title_exact_replication	Investigation of direct replication techniques on periodic multilayers	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	13	mTOR: The Mammalian Target of Replication	10.1200/jco.2007.14.3164	2008	Journal of Clinical Oncology	https://doi.org/10.1200/jco.2007.14.3164	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	14	The CMG (CDC45/RecJ, MCM, GINS) complex is a conserved component of the DNA replication system in all archaea and eukaryotes	10.1186/1745-6150-7-7	2012	Biology Direct	https://doi.org/10.1186/1745-6150-7-7	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	15	High-affinity DNA-binding Domains of Replication Protein A (RPA) Direct SMARCAL1-dependent Replication Fork Remodeling	10.1074/jbc.m114.627083	2015	Journal of Biological Chemistry	https://doi.org/10.1074/jbc.m114.627083	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	16	Direct replication and clinical psychological science	10.1017/s0140525x18000754	2018	Behavioral and Brain Sciences	https://doi.org/10.1017/s0140525x18000754	5	title_exact_replication	Direct replication and clinical psychological science	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	17	Sequences Essential for Replication of Plasmid pIJ101 in Streptomyces lividans	10.1006/plas.1995.1020	1995	Plasmid	https://doi.org/10.1006/plas.1995.1020	5	title_exact_replication	Sequences Essential for Replication of Plasmid pIJ101 in Streptomyces lividans	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	18	Mechanisms of direct replication restart at stressed replisomes	10.1016/j.dnarep.2020.102947	2020	DNA Repair	https://doi.org/10.1016/j.dnarep.2020.102947	5	title_exact_replication	Mechanisms of direct replication restart at stressed replisomes	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	19	The immune-body cytokine network defines a social architecture of cell interactions	10.1186/1745-6150-1-32	2006	Biology Direct	https://doi.org/10.1186/1745-6150-1-32	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	crossref	20	Assessment of the Role of the Central DNA Flap in Human Immunodeficiency Virus Type 1 Replication by Using a Single-Cycle Replication System	10.1128/jvi.78.6.3170-3177.2004	2004	Journal of Virology	https://doi.org/10.1128/jvi.78.6.3170-3177.2004	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	1	A Multilab Preregistered Replication of the Ego-Depletion Effect	10.1177/1745691616652873	2016	Perspectives on Psychological Science	https://openalex.org/W2499154041	5	title_exact_replication	A Multilab Preregistered Replication of the Ego-Depletion Effect	1	True	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	2	Recommendations for Increasing Replicability in Psychology	10.1002/per.1919	2013	European Journal of Personality	https://openalex.org/W2126539575	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	3	The replicability crisis and public trust in psychological science	10.1080/23743603.2019.1684822	2018	Comprehensive Results in Social Psychology	https://openalex.org/W2964765693	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	4	The N-Pact Factor: Evaluating the Quality of Empirical Journals with Respect to Sample Size and Statistical Power	10.1371/journal.pone.0109019	2014	PLoS ONE	https://openalex.org/W2064590368	0	no_relation_evidence		2	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	5	Priming Intelligent Behavior: An Elusive Phenomenon	10.1371/journal.pone.0056515	2013	PLoS ONE	https://openalex.org/W1985877093	0	no_relation_evidence		1	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	6	Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory	10.1111/jne.12384	2016	Journal of Neuroendocrinology	https://openalex.org/W2300073160	4	abstract_direct_replication	the exact pharmacokinetic properties of OT, as well as crucial statistical and methodological issues and the absence of direct replication efforts, may have lead to a publication bias in the IN-OT literature, with many unpublished studies with null results remaining buried in laboratory drawers. Is there a file drawer problem in IN-OT research? If this is	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	7	Out, Damned Spot: Can the “Macbeth Effect” Be Replicated?	10.1080/01973533.2013.856792	2014	Basic and Applied Social Psychology	https://openalex.org/W2032161788	3	methods_original_study_mapping	lly, to cleanse themselves. In an attempt to build upon these findings, we conducted a series of direct replications of Study 2 from Z&L's seminal report. We used Z&L's original materials and methods, investigated samples that were more representative of the general population, investigated samples from different countries and cultures, and substanti	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	8	Are Psychology Journals Anti-replication? A Snapshot of Editorial Practices	10.3389/fpsyg.2017.00523	2017	Frontiers in Psychology	https://openalex.org/W2607067892	-5	same_data_or_review_negative		0	True	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	9	Many Labs 4: Failure to Replicate Mortality Salience Effect With and Without Original Author Involvement	10.1525/collabra.35271	2022	Collabra Psychology	https://openalex.org/W4225656869	5	title_exact_replication	Many Labs 4: Failure to Replicate Mortality Salience Effect With and Without Original Author Involvement	2	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	10	Failed Replication of Oxytocin Effects on Trust: The Envelope Task Case	10.1371/journal.pone.0137000	2015	PLoS ONE	https://openalex.org/W1846667482	5	title_exact_replication	Failed Replication of Oxytocin Effects on Trust: The Envelope Task Case	1	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	11	Are Luxury Brand Labels and “Green” Labels Costly Signals of Social Status? An Extended Replication	10.1371/journal.pone.0170216	2017	PLoS ONE	https://openalex.org/W2586447085	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	12	Replication in Second Language Research: Narrative and Systematic Reviews and Recommendations for the Field	10.1111/lang.12286	2018	Language Learning	https://openalex.org/W2807962483	-5	same_data_or_review_negative		0	True	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	13	No evidence for unethical amnesia for imagined actions: A failed replication and extension	10.3758/s13421-018-0803-y	2018	Memory & Cognition	https://openalex.org/W2791057285	5	title_exact_replication	No evidence for unethical amnesia for imagined actions: A failed replication and extension	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	14	Infants’ perception of goal-directed actions: A multi-lab replication reveals that infants anticipate paths and not goals	10.1016/j.infbeh.2019.101340	2019	Infant Behavior and Development	https://openalex.org/W2966515407	4	abstract_direct_replication	ed on the goal, but rather on the movement path, irrespective of the type of agent. Although one experiment contained a direct replication of Cannon and Woodward (2012), we were not able to replicate their findings. Overall our work challenges the view that infants are able to flexibly anticipate action goals from early on, but rather rely on movement patt	0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
2026-05-05_individual_replication_vast_search_batch003	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	openalex	15	Race as a Moderator of Associations Between Spanking and Child Outcomes	10.1111/fare.12205	2016	Family Relations	https://openalex.org/W2507495327	0	no_relation_evidence		0	False	steps/searches/figure1/individualrepsearch_api_batch003/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json
