corpus_database_id	name	existing_local_paths	candidate_file_count	top_candidate_paths
corpus_db_lead_ern_pe_rrr_openneuro	ERN Pe RRR OpenNeuro	data/raw/replication_projects/lead_harvest/ern_pe_rrr_openneuro | data/derived/replication_pairs/harvest/staged/ern_pe_rrr_openneuro__stage.csv	6	data/derived/replication_pairs/harvest/staged/ern_pe_rrr_openneuro__stage.csv | data/raw/replication_projects/lead_harvest/ern_pe_rrr_openneuro/osf_8cbua_7ku9r/ReliabilityTable.csv | data/raw/replication_projects/lead_harvest/ern_pe_rrr_openneuro/osf_8cbua_7ku9r/rrr_ern_alldata.RData | data/raw/replication_projects/lead_harvest/ern_pe_rrr_openneuro/osf_8cbua_7ku9r/gavs_resp.csv | data/raw/replication_projects/lead_harvest/ern_pe_rrr_openneuro/osf_8cbua_7ku9r/gavs_stim.csv | data/raw/replication_projects/lead_harvest/ern_pe_rrr_openneuro/landing_probe.json
corpus_db_i4r_public_workbook	I4R public workbook	data/raw/replication_projects/i4r/meta_database.xlsx	1	data/raw/replication_projects/i4r/meta_database.xlsx
corpus_db_lead_ibl_repro_ephys_2024	IBL reproducible electrophysiology	data/raw/replication_projects/lead_harvest/ibl_repro_ephys_2024 | data/derived/replication_pairs/harvest/staged/ibl_repro_ephys_2024__stage.csv	2	data/derived/replication_pairs/harvest/staged/ibl_repro_ephys_2024__stage.csv | data/raw/replication_projects/lead_harvest/ibl_repro_ephys_2024/landing_probe.json
corpus_db_lead_ies_systematic_replication	IES systematic replication awards	data/raw/replication_projects/lead_harvest/ies_systematic_replication | data/derived/replication_pairs/harvest/staged/ies_systematic_replication__stage.csv	2	data/derived/replication_pairs/harvest/staged/ies_systematic_replication__stage.csv | data/raw/replication_projects/lead_harvest/ies_systematic_replication/landing_probe.json
corpus_db_lead_jaljuli_kafkafi_2023	Jaljuli Kafkafi multi lab rodent replication	data/raw/replication_projects/lead_harvest/jaljuli_kafkafi_2023 | data/derived/replication_pairs/harvest/staged/jaljuli_kafkafi_2023__stage.csv	2	data/derived/replication_pairs/harvest/staged/jaljuli_kafkafi_2023__stage.csv | data/raw/replication_projects/lead_harvest/jaljuli_kafkafi_2023/landing_probe.json
corpus_db_li_2024_pd_1_pd_l1_phase_ii_iii_oncology	Li 2024 PD-1/PD-L1 phase II/III oncology	data/derived/replication_pairs/harvest/staged/li_2024_pd1_pdl1_phase2_phase3_orr__stage.csv	1	data/derived/replication_pairs/harvest/staged/li_2024_pd1_pdl1_phase2_phase3_orr__stage.csv
corpus_db_ml1_summary_workbook	ML1 summary workbook	data/raw/replication_projects/ml1/ML-_Summary_Statistics.xlsx	1	data/raw/replication_projects/ml1/ML-_Summary_Statistics.xlsx
corpus_db_ml3_manuscript_tables_bundle	ML3 manuscript tables bundle	data/raw/replication_projects/ml3/Many Labs 3 Manuscript Tables.txt	1	data/raw/replication_projects/ml3/Many Labs 3 Manuscript Tables.txt
corpus_db_ml4_public_site_results	ML4 public site results	data/raw/replication_projects/ml4/combinedresults1.csv	1	data/raw/replication_projects/ml4/combinedresults1.csv
corpus_db_manual_paper_grounded_pairs	Manual paper-grounded pairs	data/raw/replication_projects/manual_papers	9	data/raw/replication_projects/manual_papers/doyen_2012_behavioral_priming.pdf | data/raw/replication_projects/manual_papers/eerp_2016_supplement.pdf | data/raw/replication_projects/manual_papers/galak_2012_psi.pdf | data/raw/replication_projects/manual_papers/hagger_2016_ego_depletion.pdf | data/raw/replication_projects/manual_papers/marek_2022_bwas.pdf | data/raw/replication_projects/manual_papers/odonnell_2018_professor_priming.pdf | data/raw/replication_projects/manual_papers/ranehill_2015_power_pose.pdf | data/raw/replication_projects/manual_papers/ssrp_2018_supplement.pdf | data/raw/replication_projects/manual_papers/wagenmakers_2016_facial_feedback.pdf
corpus_db_family_manybabies_3	ManyBabies 3	data/raw/replication_projects/lead_harvest/manybabies_3 | data/derived/replication_pairs/harvest/staged/manybabies_3__stage.csv	24	data/derived/replication_pairs/harvest/staged/manybabies_3__stage.csv | data/raw/replication_projects/lead_harvest/manybabies_3/osf_file_list.csv | data/raw/replication_projects/lead_harvest/manybabies_3/github_mb3_rules/mb3-rules-master.zip | data/raw/replication_projects/lead_harvest/manybabies_3/osf_01__pilot-analysis.pdf | data/raw/replication_projects/lead_harvest/manybabies_3/osf_02__MB3-Stimulus_creation_and_norming.pdf | data/raw/replication_projects/lead_harvest/manybabies_3/osf_03__power_analysis.pdf | data/raw/replication_projects/lead_harvest/manybabies_3/osf_04__MB3RuleLearningPreregistrationReport-Submitted.pdf | data/raw/replication_projects/lead_harvest/manybabies_3/osf_05__MB3RuleLearningPreregistrationReport-Revision.pdf | data/raw/replication_projects/lead_harvest/manybabies_3/osf_06__MB3-supplemental.pdf | data/raw/replication_projects/lead_harvest/manybabies_3/osf_07__ManyBabies_3_Lab_Manual.pdf | data/raw/replication_projects/lead_harvest/manybabies_3/osfstorage_archive_duplicate_user_20260427.zip | data/raw/replication_projects/lead_harvest/manybabies_3/osfstorage_archive_user_20260426.zip
corpus_db_lead_manyclasses_2	ManyClasses 2	data/raw/replication_projects/lead_harvest/manyclasses_2 | data/derived/replication_pairs/harvest/staged/manyclasses_2__stage.csv	27	data/derived/replication_pairs/harvest/staged/manyclasses_2__stage.csv | data/raw/replication_projects/lead_harvest/manyclasses_2/analysis/analysis_set_top.Rdata | data/raw/replication_projects/lead_harvest/manyclasses_2/analysis/analysis_set_w34.Rdata | data/raw/replication_projects/lead_harvest/manyclasses_2/analysis/processed_data_top.Rdata | data/raw/replication_projects/lead_harvest/manyclasses_2/analysis/processed_data_w34.Rdata | data/raw/replication_projects/lead_harvest/manyclasses_2/osf_01__video_codes.xlsx | data/raw/replication_projects/lead_harvest/manyclasses_2/osf_02__prequestions_codes.xlsx | data/raw/replication_projects/lead_harvest/manyclasses_2/osf_file_list.csv | data/raw/replication_projects/lead_harvest/manyclasses_2/osf_06__combined_performance_analysis.R | data/raw/replication_projects/lead_harvest/manyclasses_2/osf_08__combined_viewduration_analysis.R | data/raw/replication_projects/lead_harvest/manyclasses_2/osf_03__performance_analysis.R | data/raw/replication_projects/lead_harvest/manyclasses_2/osf_04__eventcount_analysis.R
corpus_db_lead_marcus_four_lab_replication_hcmv7	Marcus Four Lab Replication Hcmv7	data/raw/replication_projects/lead_harvest/marcus_four_lab_replication_hcmv7	4	data/raw/replication_projects/lead_harvest/marcus_four_lab_replication_hcmv7/original_marcus_1999_rule_learning.pdf | data/raw/replication_projects/lead_harvest/marcus_four_lab_replication_hcmv7/Analyses.Rmd | data/raw/replication_projects/lead_harvest/marcus_four_lab_replication_hcmv7/osfstorage-hcmv7.zip | data/raw/replication_projects/lead_harvest/marcus_four_lab_replication_hcmv7/Analyses.html
corpus_db_lead_media_priming_2017	Media priming direct replication	data/raw/replication_projects/lead_harvest/media_priming_2017 | data/derived/replication_pairs/harvest/staged/media_priming_2017__stage.csv	11	data/derived/replication_pairs/harvest/staged/media_priming_2017__stage.csv | data/raw/replication_projects/lead_harvest/media_priming_2017/dataverse_file_list.csv | data/raw/replication_projects/lead_harvest/media_priming_2017/dataverse_dvn_ecgado/media_priming.xls | data/raw/replication_projects/lead_harvest/media_priming_2017/media_priming.xls | data/raw/replication_projects/lead_harvest/media_priming_2017/dataverse_01_download.json | data/raw/replication_projects/lead_harvest/media_priming_2017/dataverse_manifest.json | data/raw/replication_projects/lead_harvest/media_priming_2017/cambridge_appendix/S2052263017000082.html | data/raw/replication_projects/lead_harvest/media_priming_2017/landing_probe.json | data/raw/replication_projects/lead_harvest/media_priming_2017/raw_download.json | data/raw/replication_projects/lead_harvest/media_priming_2017/raw_probe.json | data/raw/replication_projects/lead_harvest/media_priming_2017/cambridge/S2052263017000082sup001.docx
corpus_db_lead_mullinix_2015	Mullinix Leeper Druckman Freese 2015	data/raw/replication_projects/lead_harvest/mullinix_2015 | data/derived/replication_pairs/harvest/staged/mullinix_2015__stage.csv	3	data/derived/replication_pairs/harvest/staged/mullinix_2015__stage.csv | data/raw/replication_projects/lead_harvest/mullinix_2015/dataverse_dvn_mujhgr/dataverse_files.zip | data/raw/replication_projects/lead_harvest/mullinix_2015/landing_probe.json
corpus_db_lead_musicianship_eeg_2025	Musicianship EEG multi site replication	data/raw/replication_projects/lead_harvest/musicianship_eeg_2025 | data/derived/replication_pairs/harvest/staged/musicianship_eeg_2025__stage.csv	5	data/derived/replication_pairs/harvest/staged/musicianship_eeg_2025__stage.csv | data/raw/replication_projects/lead_harvest/musicianship_eeg_2025/raw__MusicianshipEEG-main.zip | data/raw/replication_projects/lead_harvest/musicianship_eeg_2025/landing_probe.json | data/raw/replication_projects/lead_harvest/musicianship_eeg_2025/raw_download.json | data/raw/replication_projects/lead_harvest/musicianship_eeg_2025/raw_probe.json
corpus_db_family_news_discernment_replication	News discernment replication	data/raw/replication_projects/lead_harvest/news_discernment_replication | data/derived/replication_pairs/harvest/staged/news_discernment_replication__stage.csv	18	data/derived/replication_pairs/harvest/staged/news_discernment_replication__stage.csv | data/raw/replication_projects/lead_harvest/news_discernment_replication/osf_01__Germany_Clean.xlsx | data/raw/replication_projects/lead_harvest/news_discernment_replication/osf_02__France_Clean.xlsx | data/raw/replication_projects/lead_harvest/news_discernment_replication/osf_file_list.csv | data/raw/replication_projects/lead_harvest/news_discernment_replication/osf_03__Script_control.R | data/raw/replication_projects/lead_harvest/news_discernment_replication/osf_04__Script_placebo.R | data/raw/replication_projects/lead_harvest/news_discernment_replication/osf_05__Script_main.R | data/raw/replication_projects/lead_harvest/news_discernment_replication/landing_probe.json | data/raw/replication_projects/lead_harvest/news_discernment_replication/osf_01_download.json | data/raw/replication_projects/lead_harvest/news_discernment_replication/osf_02_download.json | data/raw/replication_projects/lead_harvest/news_discernment_replication/osf_03_download.json | data/raw/replication_projects/lead_harvest/news_discernment_replication/osf_04_download.json
corpus_db_lead_nieuwland_2018_delong	Nieuwland 2018 DeLong replication	data/raw/replication_projects/lead_harvest/nieuwland_2018_delong | data/derived/replication_pairs/harvest/staged/nieuwland_2018_delong__stage.csv	2	data/derived/replication_pairs/harvest/staged/nieuwland_2018_delong__stage.csv | data/raw/replication_projects/lead_harvest/nieuwland_2018_delong/landing_probe.json
corpus_db_pooledmarketr_pm_data_rdata	PooledMarketR PM_data.Rdata	data/raw/replication_projects/pooledmarketr/PM_data.Rdata	1	data/raw/replication_projects/pooledmarketr/PM_data.Rdata
corpus_db_rpp_converted	RPP converted	data/raw/corpus_candidates/rpp/RPPdataConverted.xlsx	1	data/raw/corpus_candidates/rpp/RPPdataConverted.xlsx
corpus_db_rpp_jtleek_mirror	RPP jtLeek mirror	data/raw/replication_projects/rpp/rpp_data_jtleek.csv	1	data/raw/replication_projects/rpp/rpp_data_jtleek.csv
corpus_db_ssrp_d3	SSRP D3	data/raw/replication_projects/ssrp/D3 - ReplicationResults.csv	1	data/raw/replication_projects/ssrp/D3 - ReplicationResults.csv
corpus_db_ssrp_d6_beliefs	SSRP D6 beliefs	data/raw/replication_projects/ssrp/D6 - MeanPeerBeliefs.csv	1	data/raw/replication_projects/ssrp/D6 - MeanPeerBeliefs.csv
corpus_db_lead_self_control_fmri_2022	Self control neuroimaging replication	data/raw/replication_projects/lead_harvest/self_control_fmri_2022 | data/derived/replication_pairs/harvest/staged/self_control_fmri_2022__stage.csv	13	data/derived/replication_pairs/harvest/staged/self_control_fmri_2022__stage.csv | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/osf_file_list.csv | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/osf_02__Analysis_onlinepilot_taskdataoriginalstudy.R | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/HBM-43-4995.pdf | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/osf_01__Analysis_labpilotHare.R | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/paper_mirrors/scholz_hbm_2022.pdf | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/paper_mirrors/scholz_hbm_2022_eur.pdf | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/landing_probe.json | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/osf_01_download.json | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/osf_02_download.json | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/osf_03_download.json | data/raw/replication_projects/lead_harvest/self_control_fmri_2022/osf_04_download.json
corpus_db_lead_strategy_fit_2025	Strategy situation fit replication	data/raw/replication_projects/lead_harvest/strategy_fit_2025 | data/derived/replication_pairs/harvest/staged/strategy_fit_2025__stage.csv	2	data/derived/replication_pairs/harvest/staged/strategy_fit_2025__stage.csv | data/raw/replication_projects/lead_harvest/strategy_fit_2025/landing_probe.json
corpus_db_wils_2023_ibd_phase_ii_iii	Wils 2023 IBD phase II/III	data/derived/replication_pairs/harvest/staged/wils_2023_ibd_phase2_phase3_response_rates__stage.csv	1	data/derived/replication_pairs/harvest/staged/wils_2023_ibd_phase2_phase3_response_rates__stage.csv
corpus_db_lead_wood_porter_2019	Wood and Porter elusive backfire effect	data/raw/replication_projects/lead_harvest/wood_porter_2019 | data/derived/replication_pairs/harvest/staged/wood_porter_2019__stage.csv	27	data/derived/replication_pairs/harvest/staged/wood_porter_2019__stage.csv | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_01__elusive-tab_205.tab | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_02__elusive-tab_207.tab | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_03__elusive-tab_209.tab | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_04__elusive-tab_204.tab | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_05__elusive-tab_206.tab | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_06__elusive-tab_208.tab | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_07__elusive-tab_203.tab | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_08__elusive-tab_202.tab | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_09__elusive-tab_2011.tab | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_10__elusive-tab_2013.tab | data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_11__elusive-tab_201.tab
