name	domain	likely_source_object_type	likely_pair_evidence	likely_effect_n_evidence	triage_route	priority	aliases	suggested_surfaces	suggested_queries	notes
Sports Science Replication Centre	sports and exercise science	project	strong	medium	candidate_corpus_database	high	Sports Science Replication Centre | Sports Sciences Replications	OSF | OpenAlex | Crossref | Semantic Scholar | web search	Sports Science Replication Centre data | Estimating the Replicability of Sports and Exercise Science | Sports Sciences Replications OSF	Large-scale sports science replicability project.
X-Phi Replicability Project	experimental philosophy	database	strong	medium	candidate_corpus_database	high	Experimental Philosophy Replicability Project | X-Phi Replicability Project | XRP	OSF | OpenAlex | Crossref | Semantic Scholar | web search	X-Phi Replicability Project OSF | Experimental Philosophy Replicability Project data | Experimental Philosophy-Replications	Yale/source-family page lists replications by original paper.
CORE Judgment and Decision Making	psychology and judgment/decision-making	project	strong	medium	candidate_corpus_database	high	CORE JDM | Collaborative Open-science and meta REsearch | CORE Team	OSF | OpenAlex | Crossref | Semantic Scholar | web search	CORE Judgment and Decision Making replication | Collaborative Open-science and meta REsearch replication | CORE JDM FReD	FORRT/FReD-adjacent project family requiring alias resolution.
Data Replicada	consumer psychology and judgment/decision-making	project	strong	medium	manual_investigation	medium	Data Replicada | Data Colada replication archives | consumer psychology replication series	web search | OpenAlex | Crossref | Semantic Scholar | OSF	Data Replicada attempt to replicate | site:datacolada.org Data Replicada replicate | Data Colada replication consumer	Blog/archive route with multiple preregistered replications.
Collaborative Replications and Education Project	psychology education and student-led replications	registry	medium	medium	candidate_corpus_database	medium	CREP | Collaborative Replications and Education Project	OSF | OpenAlex | Crossref | Semantic Scholar | web search	CREP replication OSF | Collaborative Replications and Education Project data | CREP completed replication	Registry/training source; needs completed-study and extractability gate.
Hagen Cumulative Science Project	psychology and judgment/decision-making	project	medium	medium	candidate_repository_package	medium	Hagen Cumulative Science Project | HCSP	OSF | OpenAlex | Crossref | Semantic Scholar | web search	Hagen Cumulative Science Project replication | Hagen Cumulative Science Project OSF | student thesis replication Hagen	Student thesis replication project; likely OSF route.
CurateScience legacy replication records	psychology and metascience	database	strong	strong	candidate_corpus_database	medium	CurateScience | Curate Science | curate-science | LeBel replication framework	Wayback | web search | OSF | OpenAlex | Crossref | Semantic Scholar	CurateScience replication | Curate Science replication effect size | CurateScience.org FReD	Legacy source likely useful for FReD overlap and aliases.
NWO / Open Science NL Replication Studies Programme	cross-disciplinary funder programme	registry	medium	unknown	manual_investigation	high	NWO Replication Studies | Replication Studies programme Netherlands | Open Science NL replication studies	web search | OpenAlex | Crossref | Semantic Scholar	NWO Replication Studies project | Open Science NL 27 studies re-examined | Replication Studies programme Netherlands results	Funder registry with fragmented outputs; not itself a result table.
F1000Research Preclinical Reproducibility and Robustness Gateway	preclinical biomedicine	project	medium	weak	individual_paper_worklist	medium	Preclinical Reproducibility and Robustness | F1000 PRR Gateway	Europe PMC | OpenAlex | Crossref | Semantic Scholar | web search	Preclinical Reproducibility and Robustness replication | F1000Research not confirmed preclinical | F1000 confirmatory replication	Gateway mostly yields individual articles.
Royal Society Open Science replication studies	cross-disciplinary journal route	unknown	medium	weak	individual_paper_worklist	medium	RSOS replication studies | Royal Society Open Science replication	OpenAlex | Crossref | Semantic Scholar | Europe PMC | web search	Royal Society Open Science replication study | site:royalsocietypublishing.org/rsos replication original | Royal Society Open Science registered replication	Journal route, not a corpus unless a collection/supplement enumerates pairs.
Psychological Science Accelerator subprojects	psychology	project	weak	medium	manual_investigation	medium	PSA | Psychological Science Accelerator | distributed psychology studies	OSF | OpenAlex | Crossref | Semantic Scholar | web search	Psychological Science Accelerator replication | PSA multi-site effect original | Psychological Science Accelerator data OSF	Require explicit original-effect pairing; not all PSA projects are replications.
ManyBabies subprojects beyond ManyBabies 1	developmental psychology	project	medium	strong	candidate_repository_package	medium	ManyBabies | ManyBabies 2 | ManyBabies 3 | ManyBabies-AtHome	OSF | OpenAlex | Crossref | Semantic Scholar | web search	ManyBabies replication OSF | ManyBabies 4 social evaluations replication | ManyBabies 5 data OSF	Collaborative multi-lab source family; project-specific original-target gate required.
ManyPrimates project family	animal cognition and comparative psychology	project	weak	strong	manual_investigation	low	ManyPrimates | ManyPrimates 1 | ManyPrimates 2 | ManyPrimates 3	OSF | GitHub | OpenAlex | Crossref | Semantic Scholar | web search	ManyPrimates replication | ManyPrimates OSF data | ManyPrimates original effect	Often new large-sample estimates rather than replication pairs.
ManyClasses and MegaSoTL coordinated classroom studies	education and SoTL	project	weak	strong	manual_investigation	low	ManyClasses | MegaSoTL | TILT Higher Ed	OSF | OpenAlex | Crossref | Semantic Scholar | web search	ManyClasses replication | ManyClasses effect across many classes | MegaSoTL ManyClasses data	Multi-context education experiments; need explicit original-finding gate.
EGAP Metaketa replication files and coordinated trials	governance, political science, development economics	repository	medium	strong	candidate_repository_package	medium	Metaketa | Metaketa Initiative | EGAP Metaketa	GitHub | Dataverse | OpenAlex | Crossref | Semantic Scholar | web search	Metaketa replication files | EGAP Metaketa GitHub | coordinated trials preregistered meta-analysis	Seed at subproject/file level; avoid double counting current staged native-metric rows.
Awesome Replicability Data	metascience and replication-data discovery	repository	strong	medium	candidate_repository_package	high	awesome-replicability-data | paired original and replication datasets	GitHub | OSF | Dataverse | Zenodo | web search	awesome-replicability-data | paired individual-level datasets replication | publicly available datasets replicability analysis	Aggregator/seed list; independently verify child datasets before use.
Ecology and evolution in-silico replication dataset	ecology and evolution	paper_with_supplement	weak	strong	manual_investigation	medium	large-scale in silico replication | ecological and evolutionary studies replication	Dryad | Zenodo | Figshare | OpenAlex | Crossref | Semantic Scholar | web search	large-scale in silico replication ecology data | ecological and evolutionary studies replicability effects | in silico replication meta-analysis	Claim-replication route rather than direct independent replication corpus.
GWAS Catalog and genetics validation/replication fields	genetics and genetic epidemiology	database	weak	strong	manual_investigation	low	GWAS Catalog | NHGRI-EBI GWAS Catalog | genetic association replication	Europe PMC | OpenAlex | Crossref | Semantic Scholar | web search	GWAS Catalog replication sample size | GWAS Catalog discovery replication | GWAS validation cohort original	Use only with strict discovery-vs-replication cohort field gate.
Clinical-trial protocol/publication validation projects	clinical medicine and trial transparency	database	medium	weak	context_only	medium	COMPare Trials | outcome switching | OpenTrials	ClinicalTrials.gov | Europe PMC | OpenAlex | Crossref | Semantic Scholar | web search	outcome switching database clinical trial | trial registry publication comparison dataset | COMPare Trials data	Mostly registry-publication validation, not independent replication.
Political science and policy journal replication-data indexes	political science, conflict studies, development	repository	weak	weak	candidate_repository_package	medium	Political Science Replication Data by Journal | PolSciData | Journal of Peace Research replication datasets	Dataverse | OpenAlex | Crossref | Semantic Scholar | web search	Political Science Replication Data by Journal | Journal of Peace Research Replication Datasets | AidData Replication Datasets	High-yield discovery surface but many records are original-article reproduction packages.
Industrial preclinical validation reports from Bayer and Amgen	preclinical drug discovery and cancer biology	unknown	medium	none	manual_investigation	medium	Bayer target validation 67 projects | Amgen landmark cancer studies	Europe PMC | OpenAlex | Crossref | Semantic Scholar | web search	Prinz Schlange Asadullah 67 reproducible | Begley Ellis 53 landmark replicate | Bayer published data potential drug targets 67	High-impact historical families but likely non-public row-level data.
