source_dataset	project	pair_id	original_title	replication_title	original_doi	replication_doi	outcome	D_original	N_original	D_replication	N_replication	raw_file	n_source_file	verbatim_n_text_original	verbatim_n_text_replication	verbatim_effect_text_original	verbatim_effect_text_replication	d_n_transformation_note	match_author	candidate_name	decision	measure_type	source_locator	n_source_locator	n_match_method	native_original_effect	native_replication_effect	native_effect_metric
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_037_matched_0_any_hospitalization_bipap_vs_no_pap_treatment	REPEAT original healthcare database study 37	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Any hospitalization - biPAP vs no PAP treatment (odds ratio)	0.5051775570894033	473740.0	0.08656070340831294	78390.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=37;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=37;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=37; matched=0; original_percent_mean=473740.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=37; matched=0; reproduction_percent_mean=78390.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=37; matched=0; measure_type=odds ratio; original_pt_est=0.4; original_lower_95=0.37; original_upper_95=0.43; original_p_value=<0.001	outcomes.csv studyid=37; matched=0; measure_type=odds ratio; reproduction_pt_est=1.17; reproduction_lower_95=1.09; reproduction_upper_95=1.25; reproduction_p_value=<0.001	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_37	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	odds ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=37;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=37;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.4	1.17	odds ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_038_matched_0_irr_of_copd_exacerbations_laba_ics_vs_laba_lama	REPEAT original healthcare database study 38	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	IRR of COPD exacerbations - LABA/ICS vs LABA/LAMA (rate ratio)	0.011138336309897762	442772.0	0.14039161298366104	115547.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=38;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=38;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=38; matched=0; original_percent_mean=442772.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=38; matched=0; reproduction_percent_mean=115547.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=38; matched=0; measure_type=rate ratio; original_pt_est=0.98; original_lower_95=0.95; original_upper_95=1.01; original_p_value=0.1974	outcomes.csv studyid=38; matched=0; measure_type=rate ratio; reproduction_pt_est=1.29; reproduction_lower_95=1.23; reproduction_upper_95=1.35; reproduction_p_value=<0.001	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_38	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	rate ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=38;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=38;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.98	1.29	rate ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_040_matched_0_postoperative_bleeding_short_term_complication_within_0_14_days_after_surgery_uppp_only_vs	REPEAT original healthcare database study 40	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Postoperative bleeding (Short term complication) within 0-14 days after surgery - UPPP only vs UPPP (odds ratio)	0.17356425746292284	8723.0	0.09590548467133282	12699.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=40;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=40;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=40; matched=0; original_percent_mean=8723.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=40; matched=0; reproduction_percent_mean=12699.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=40; matched=0; measure_type=odds ratio; original_pt_est=1.37; original_lower_95=1.08; original_upper_95=1.72; original_p_value=0.007	outcomes.csv studyid=40; matched=0; measure_type=odds ratio; reproduction_pt_est=1.19; reproduction_lower_95=0.94; reproduction_upper_95=1.49; reproduction_p_value=0.14	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_40	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	odds ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=40;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=40;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	1.37	1.19	odds ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_042_matched_0_major_bleeding_requiring_hospitalization_among_newly_anticoagulated_nvaf_patients_warfarin	REPEAT original healthcare database study 42	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Major bleeding requiring hospitalization among newly anticoagulated NVAF patients: Warfarin vs Apixa (hazard ratio)	0.36250977692584957	15416.0	0.6714500696768695	15416.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=42;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=42;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=42; matched=0; original_percent_mean=15416.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=42; matched=0; reproduction_percent_mean=15416.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=42; matched=0; measure_type=hazard ratio; original_pt_est=1.93; original_lower_95=1.12; original_upper_95=3.33; original_p_value=0.018	outcomes.csv studyid=42; matched=0; measure_type=hazard ratio; reproduction_pt_est=3.38; reproduction_lower_95=1.37; reproduction_upper_95=8.33; reproduction_p_value=<0.01	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_42	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=42;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=42;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	1.93	3.38	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_043_matched_0_warfarin_vs_dabigatran_composite_endpoint_of_ischemic_stroke_tia_vte	REPEAT original healthcare database study 43	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Warfarin vs Dabigatran - composite endpoint of ischemic stroke/TIA/VTE (hazard ratio)	0.08315301720169076	64935.0	0.09612606034757842	59620.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=43;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=43;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=43; matched=0; original_percent_mean=64935.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=43; matched=0; reproduction_percent_mean=59620.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=43; matched=0; measure_type=hazard ratio; original_pt_est=0.86; original_lower_95=0.79; original_upper_95=0.93; original_p_value=<0.001	outcomes.csv studyid=43; matched=0; measure_type=hazard ratio; reproduction_pt_est=0.84; reproduction_lower_95=0.74; reproduction_upper_95=0.94; reproduction_p_value=<0.001	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_43	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=43;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=43;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.86	0.84	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_046_matched_0_suicidality_suicidal_ideation_suicide_attempt_efavirenz_containing_vs_free_regimen	REPEAT original healthcare database study 46	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Suicidality (Suicidal ideation/suicide attempt) - Efavirenz-containing vs -free regimen (hazard ratio)	0.01576109100908304	19983.0	0.042430845800092765	22920.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=46;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=46;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=46; matched=0; original_percent_mean=19983.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=46; matched=0; reproduction_percent_mean=22920.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=46; matched=0; measure_type=hazard ratio; original_pt_est=1.029; original_lower_95=0.636; original_upper_95=1.665; original_p_value=0.9147	outcomes.csv studyid=46; matched=0; measure_type=hazard ratio; reproduction_pt_est=1.08; reproduction_lower_95=0.7; reproduction_upper_95=1.67; reproduction_p_value=0.724	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_46	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=46;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=46;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	1.029	1.08	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_047_matched_0_diabetes_insipidus_endoscopic_vs_microscopic_surgery	REPEAT original healthcare database study 47	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Diabetes insipidus - endoscopic vs microscopic surgery (odds ratio)	0.21614413121240839	5886.0	0.22720795858301823	5853.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=47;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=47;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=47; matched=0; original_percent_mean=5886.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=47; matched=0; reproduction_percent_mean=5853.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=47; matched=0; measure_type=odds ratio; original_pt_est=1.48; original_lower_95=1.28; original_upper_95=1.72; original_p_value=<0.001	outcomes.csv studyid=47; matched=0; measure_type=odds ratio; reproduction_pt_est=1.51; reproduction_lower_95=1.3; reproduction_upper_95=1.76; reproduction_p_value=<0.01	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_47	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	odds ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=47;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=47;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	1.48	1.51	odds ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_048_matched_0_ischemic_stroke_in_antiocagulant_na_ve_users_dabigatran_vs_warfarin	REPEAT original healthcare database study 48	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Ischemic stroke in antiocagulant-naïve users: Dabigatran vs Warfarin (hazard ratio)	0.23750306929583131	18981.0	0.15860743923749232	22047.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=48;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=48;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=48; matched=0; original_percent_mean=18981.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=48; matched=0; reproduction_percent_mean=22047.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=48; matched=0; measure_type=hazard ratio; original_pt_est=0.65; original_lower_95=0.52; original_upper_95=0.82; original_p_value=0.002	outcomes.csv studyid=48; matched=0; measure_type=hazard ratio; reproduction_pt_est=0.75; reproduction_lower_95=0.61; reproduction_upper_95=0.93; reproduction_p_value=<0.05	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_48	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=48;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=48;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.65	0.75	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_050_matched_0_denosumab_vs_zoledronic_acid_occurrence_of_serious_infection	REPEAT original healthcare database study 50	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Denosumab vs zoledronic acid - occurrence of serious infection (hazard ratio)	0.11617659343739957	4934.0	0.06424846019567981	7094.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=50;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=50;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=50; matched=0; original_percent_mean=4934.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=50; matched=0; reproduction_percent_mean=7094.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=50; matched=0; measure_type=hazard ratio; original_pt_est=0.81; original_lower_95=0.55; original_upper_95=1.21; original_p_value=0.2989	outcomes.csv studyid=50; matched=0; measure_type=hazard ratio; reproduction_pt_est=0.89; reproduction_lower_95=0.7; reproduction_upper_95=1.12; reproduction_p_value=0.32	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_50	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=50;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=50;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.81	0.89	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_051_matched_0_rate_of_overall_readmission_robot_assisted_procedures_vs_procedures_without_robot_assistan	REPEAT original healthcare database study 51	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Rate of overall readmission - robot-assisted procedures vs procedures without robot assistance (odds ratio)	0.06424846019567981	602669.0	0.042430845800092765	674902.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=51;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=51;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=51; matched=0; original_percent_mean=602669.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=51; matched=0; reproduction_percent_mean=674902.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=51; matched=0; measure_type=odds ratio; original_pt_est=0.89; original_lower_95=0.82; original_upper_95=0.97; original_p_value=0.0066	outcomes.csv studyid=51; matched=0; measure_type=odds ratio; reproduction_pt_est=1.08; reproduction_lower_95=0.98; reproduction_upper_95=1.19; reproduction_p_value=0.1	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_51	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	odds ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=51;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=51;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.89	1.08	odds ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_052_matched_0_annualised_replase_rate_of_ms_interferon_beta_vs_dmf	REPEAT original healthcare database study 52	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Annualised replase rate of MS - Interferon beta vs DMF (rate ratio)	0.11413289334332027	2416.0	0.005541040564728988	3015.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=52;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=52;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=52; matched=0; original_percent_mean=2416.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=52; matched=0; reproduction_percent_mean=3015.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=52; matched=0; measure_type=rate ratio; original_pt_est=1.23; original_lower_95=1.06; original_upper_95=1.43; original_p_value=0.0067	outcomes.csv studyid=52; matched=0; measure_type=rate ratio; reproduction_pt_est=0.99; reproduction_lower_95=0.72; reproduction_upper_95=1.33; reproduction_p_value=0.891	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_52	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	rate ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=52;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=52;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	1.23	0.99	rate ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_053_matched_0_vte_recurrence_rivaroxaban_vs_warfarin	REPEAT original healthcare database study 53	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	VTE recurrence - rivaroxaban vs warfarin (hazard ratio)	0.11617659343739957	45853.0	0.02250634514776673	55352.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=53;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=53;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=53; matched=0; original_percent_mean=45853.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=53; matched=0; reproduction_percent_mean=55352.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=53; matched=0; measure_type=hazard ratio; original_pt_est=0.81; original_lower_95=0.73; original_upper_95=0.9; original_p_value=0.001	outcomes.csv studyid=53; matched=0; measure_type=hazard ratio; reproduction_pt_est=0.96; reproduction_lower_95=0.87; reproduction_upper_95=1.04; reproduction_p_value=0.33	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_53	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=53;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=53;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.81	0.96	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_054_matched_0_reintervention_incidence_rate_ratio_laproscopic_myotomy_vs_pneumatic_dilation	REPEAT original healthcare database study 54	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Reintervention incidence rate ratio: Laproscopic myotomy vs Pneumatic dilation (rate ratio)	0.9454179232309472	1061.0	0.8873296265122473	1065.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=54;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=54;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=54; matched=0; original_percent_mean=1061.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=54; matched=0; reproduction_percent_mean=1065.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=54; matched=0; measure_type=rate ratio; original_pt_est=0.18; original_lower_95=0.13; original_upper_95=0.25; original_p_value=<0.01	outcomes.csv studyid=54; matched=0; measure_type=rate ratio; reproduction_pt_est=0.2; reproduction_lower_95=0.12; reproduction_upper_95=0.35; reproduction_p_value=<0.01	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_54	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	rate ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=54;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=54;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.18	0.2	rate ratio
