cluster_id	priority_band	priority_score	recommended_next_action	cluster_confidence	representative_name	preferred_family_hint	node_count	root_row_count	search_lead_count	open_review_count	receipt_count	cluster_review_decision	cluster_review_receipt_path	cluster_review_parent_key	max_source_object_score	max_pair_evidence_score	record_kind_counts	inventory_status_counts	review_decision_counts	strict_keys	review_keys	manifest_paths	example_node_names
cluster_many_labs_2_investigating_variation_in_replicability_across_samples_and_settings_9638ac62afe8	high	98	skip_cluster_reviewed_or_use_cluster_receipt	strict	Many Labs 2: Investigating Variation in Replicability Across Samples and Settings	many_labs	7	1	6	7	0	keep_source_family_candidate	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_many_labs_2_investigating_variation_in_replicability_across_samples_and_settings_9638ac62afe8.json	many_labs_2 | doi:10.1177/2515245918810225	3	10	candidate_corpus_or_database=7	discovered_search_lead=7		doi:10.1177/2515245918810225 | url:https://doi.org/10.1177/2515245918810225 | title:many_labs_2_investigating_variation_in_replicability_across_samples_and_settings		steps/searches/figure1/corporasearch-alternate-vocab-expanded-reproduction-reanalysis-validation-followup.json | steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json | steps/searches/figure1/corporasearch-citation-expanded-known-replication-databases.json | steps/searches/figure1/corporasearch-citation-snowball-known-replication-corpora.json | steps/searches/figure1/corporasearch-linkgraph-expanded-known-corpus-paper-dois-to-datasets.json	Many Labs 2: Investigating Variation in Replicability Across Samples and Settings
cluster_investigating_the_replicability_of_preclinical_cancer_biology_ca7b83bfae6f	high	97	skip_cluster_reviewed_or_use_cluster_receipt	strict	Investigating the replicability of preclinical cancer biology.	rpcb	6	1	5	6	0	keep_source_family_candidate	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_investigating_the_replicability_of_preclinical_cancer_biology_ca7b83bfae6f.json	rpcb | doi:10.7554/eLife.71601	4	9	candidate_corpus_or_database=6	discovered_search_lead=6		doi:10.7554/elife.71601 | url:https://doi.org/10.7554/elife.71601 | title:investigating_the_replicability_of_preclinical_cancer_biology		steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json | steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json | steps/searches/figure1/corporasearch-domain-multifield-replication-database-effect-size.json | steps/searches/figure1/corporasearch-citation-expanded-known-replication-databases.json | steps/searches/figure1/corporasearch-domain-multifield-replication-database-effect-size.json	Investigating the replicability of preclinical cancer biology. | Investigating the replicability of preclinical cancer biology
cluster_original_results_6f97d3e8008c	high	95	skip_cluster_reviewed_or_use_cluster_receipt	strict	original results		3	0	3	3	0	route_cluster_to_result_table_worklist	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_original_results_6f97d3e8008c.json	raw_replication_project:decision_market	11	6	candidate_result_table=3	needs_triage_search_lead=3		raw_replication_project:decision_market		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	codebook | original planned samples | original results
cluster_create_studydetails_815faf854db4	high	94	skip_cluster_reviewed_or_use_cluster_receipt	strict	create studydetails		3	0	3	3	0	route_cluster_to_result_table_worklist	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_create_studydetails_815faf854db4.json	raw_replication_project:eerp	12	5	candidate_result_table=3	needs_triage_search_lead=3		raw_replication_project:eerp		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	create studydetails | effectstandardization | rpp data
cluster_political_science_unlock_51f64b60725b	high	94	skip_cluster_reviewed_or_use_cluster_receipt	strict	Political Science Unlock	fred	85	27	58	51	1	inventory_source_family_artifacts	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_political_science_unlock_51f64b60725b.json	raw_corpus:political_science_unlock	13	1	candidate_individual_paper_or_package=1 | candidate_result_table=57 | corpus_or_database=26 | raw_inventory_dir=1	included=26 | needs_triage_search_lead=57 | raw_available=1 | routed_to_individual_paper_search=1	route_to_result_table_worklist=1	raw_corpus:political_science_unlock | title:minimal_effects_online_appendix		data/derived/effect_inflation_dataset/plot3_preregistered_source_catalog.csv | data/raw/corpus_candidates/political_science_unlock | steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json | steps/searches/figure1/corporasearch-code-local-original-replication-fields.json	Azevedo et al. JEPS preregistered political-knowledge replication | Bangladesh authoritarian-election information-campaign preregistered field experiment | Bangladesh school-WASH transparency preregistered field experiment | Baraza public-service delivery preregistered community-monitoring field experiment | COVID Emperor social-norm preregistered survey experiment | COVID vaccine-hesitancy targeted-message preregistered survey experiment | Direct-aid humanitarian-governance preregistered field experiment | Favero Pedersen COVID information-cue preregistered survey experiment | Ghana debates preregistered candidate-debates field experiment | Golden Gulzar Sonnet political-responsiveness preregistered field experiment | Good Politicians preregistered political-candidacy field experiment | Hensel Rink political-activist motivation preregistered field experiment | Immigration message-or-messenger preregistered survey experiment | India anti-vote-buying radio-campaign preregistered field experiment | Kalla Broockman 2018 preregistered campaign-contact field-experiment archive | Kotsadam Keller Elwert interethnic-contact preregistered field experiment | Medicine-theft remote-tracking pr
cluster_004_codebook_8eae1835c41b	high	93	skip_cluster_reviewed_or_use_cluster_receipt	strict	004 codebook		3	0	3	3	0	route_cluster_to_result_table_worklist	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_004_codebook_8eae1835c41b.json	lead_harvest:psa_004_turri	13	4	candidate_result_table=3	needs_triage_search_lead=3		lead_harvest:psa_004_turri		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	004 codebook | pretest script | psa004 turri article table reconstruction
cluster_many_labs_5_testing_pre_data_collection_peer_review_as_an_intervention_to_increa_3179bd6ddd6a	high	92	review_cluster_representative	strict	Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability	many_labs	7	1	6	7	0				4	8	candidate_corpus_or_database=7	discovered_search_lead=7		doi:10.1177/2515245920958687 | url:https://doi.org/10.1177/2515245920958687 | title:many_labs_5_testing_pre_data_collection_peer_review_as_an_intervention_to_increase_replicability		steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json | steps/searches/figure1/corporasearch-citation-expanded-known-replication-databases.json | steps/searches/figure1/corporasearch-linkgraph-expanded-known-corpus-paper-dois-to-datasets.json | steps/searches/figure1/corporasearch-sourcefamily-expanded-known-replication-project-aliases.json	Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability | Many Labs 5: Testing pre-data collection peer review as an intervention to increase replicability
cluster_egap_metaketa_iv_community_policing_pooled_pap_row_251cc0325368	high	89	review_cluster_representative	strict	EGAP Metaketa IV community-policing pooled PAP row		6	1	5	5	0				12	1	candidate_result_table=5 | corpus_or_database=1	included=1 | needs_triage_search_lead=5		lead_harvest:metaketa_iv_2021		data/derived/effect_inflation_dataset/plot3_preregistered_source_catalog.csv | steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	EGAP Metaketa IV community-policing pooled PAP row | 1-prep-estimates | 2-meta-analysis | SM-tables | meta-estimates-main-hypotheses-original | study-estimates-main-hypotheses-original
cluster_estimating_the_replicability_of_sports_and_exercise_science_research_176f9d8c2572	high	89	review_cluster_representative	strict	Estimating the Replicability of Sports and Exercise Science Research.		5	1	4	5	0				2	9	candidate_corpus_or_database=5	discovered_search_lead=5		doi:10.1007/s40279-025-02201-w | url:https://doi.org/10.1007/s40279-025-02201-w | title:estimating_the_replicability_of_sports_and_exercise_science_research		steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json | steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json | steps/searches/figure1/corporasearch-domain-expanded-crossfield-replication-datasets.json	Estimating the Replicability of Sports and Exercise Science Research. | Estimating the Replicability of Sports and Exercise Science Research
cluster_sports_sfbva_node_5ee8fb3bd080	high	89	review_cluster_representative	singleton	sports sfbva node		1	0	1	1	0				13	6	candidate_result_table=1	needs_triage_search_lead=1				steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	sports sfbva node
cluster_experimental_economics_replication_project_33f99c27a14b	high	87	review_cluster_representative	strict	Experimental Economics Replication Project	eerp	5	1	4	5	0				4	7	candidate_corpus_or_database=5	discovered_search_lead=5		url:https://osf.io/bzm54 | osf:bzm54 | title:experimental_economics_replication_project		steps/searches/figure1/corporasearch-domain-expanded-crossfield-replication-datasets.json | steps/searches/figure1/corporasearch-domain-multifield-replication-database-effect-size.json | steps/searches/figure1/corporasearch-domain-multifield-replication-database-effect-size.json | steps/searches/figure1/corporasearch-repository-osf-dataverse-replication-project-effect-size.json | steps/searches/figure1/corporasearch-repository-osf-dataverse-replication-project-effect-size.json | steps/searches/figure1/corporasearch-sourcefamily-expanded-known-replication-project-aliases.json	Experimental Economics Replication Project
cluster_rpp_data_osf_172fd3e0be91	high	87	review_cluster_representative	strict	rpp data osf		2	0	2	2	0				12	5	candidate_result_table=2	needs_triage_search_lead=2		raw_replication_project:rpp		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	rpp data jtleek | rpp data osf
cluster_triplett_s_social_facilitation_experiment_a_registered_replication_report_6f447d2286c4	high	86	review_cluster_representative	strict	Triplett’s Social Facilitation Experiment: A Registered Replication Report		5	1	4	5	0				5	6	candidate_corpus_or_database=5	discovered_search_lead=5		doi:10.31234/osf.io/bqzj9_v1 | url:https://doi.org/10.31234/osf.io/bqzj9_v1 | osf:bqzj9 | title:triplett_s_social_facilitation_experiment_a_registered_replication_report		steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json | steps/searches/figure1/corporasearch-registry-pilot-fullscale-followup.json | steps/searches/figure1/corporasearch-repository-expanded-replication-corpus-database-package.json	Triplett’s Social Facilitation Experiment: A Registered Replication Report
cluster_awesome_time_honest_c4dcfa6f78be	high	85	review_cluster_representative	strict	Awesome Time Honest		5	0	5	2	0				15	1	candidate_result_table=5	needs_triage_search_lead=5		lead_harvest:awesome_time_honest		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	github 01 download | github 01 original cleaned | github 04 process | github contents file list | github contents manifest
cluster_ctgov_kg_82a124463dd6	high	84	review_cluster_representative	strict	Ctgov Kg		12	1	11	11	0				12	0	candidate_result_table=11 | raw_inventory_dir=1	needs_triage_search_lead=11 | raw_available=1		raw_corpus:ctgov_kg		data/raw/corpus_candidates/ctgov_kg | steps/searches/figure1/corporasearch-code-local-original-replication-fields.json	Ctgov Kg | article 24225157 | article 24225160 | article 24225163 | article 24225166 | article 24225169 | article 24225172 | article 24630804 | article 24633666 | article 24633669 | article 24633672 | article 24633675
cluster_rppdataconverted_b1cf6bee4bc9	high	84	review_cluster_representative	strict	RPPdataConverted		3	1	2	2	0				11	5	candidate_result_table=2 | raw_inventory_dir=1	needs_triage_search_lead=2 | raw_available=1		raw_corpus:rpp | title:rppdataconverted		data/raw/corpus_candidates/rpp | steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json | steps/searches/figure1/corporasearch-code-local-original-replication-fields.json	Rpp | RPPdataConverted
cluster_ying_2023_770ed6292b41	high	84	review_cluster_representative	strict	Ying 2023		82	0	82	82	0				11	1	candidate_result_table=82	needs_triage_search_lead=82		lead_harvest:ying_2023		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	001 full 10 1080 14622200601078525 | 001 pilot 10 1002 jclp 20208 | 002 full 10 1016 S0140 6736 11 60739 3 | 002 pilot 10 1053 j ajkd 2005 11 018 | 003 full 10 1056 NEJMoa1209120 | 003 pilot 10 1016 j lungcan 2004 06 007 | 004 full 10 1001 jama 2014 5616 | 004 pilot 10 1093 gerona 61 11 1157 | 005 full 10 1200 JCO 2009 27 4449 | 005 pilot 10 1200 jco 2005 01 072 | 006 full 10 1001 jama 2010 1192 | 006 pilot 10 1016 j brat 2004 07 001 | 007 full 10 1001 jamapsychiatry 2017 3047 | 007 pilot 10 1176 appi ajp 162 1 184 | 008 full 10 1007 s00431 014 2381 8 | 008 pilot 10 1007 s00431 006 0153 9 | 009 full 10 1371 journal pone 0209560 | 009 pilot 10 1186 1471 2458 6 162 | 010 full 10 1002 pbc 26711 | 010 pilot 10 1097 01 mph 0000210412 33630 fb | 011 full 10 1093 abm kay054 | 011 pilot 10 1097 00006199 200605000 00007 | 012 full 10 1136 bmj h468 | 012 pilot 10 1161 01 Str 0000237124 20596 92 | 013 full 10 1093 jpepsy jsn099 | 013 pilot 10 1037 0022 006x 74 3 614 | 014 full 10 1136 bmj f1164 | 014 pilot 10 1093 sleep 29 12 1609 | 015 full 10 1093 geronb gbv005 | 015 pilot 10 1007 s11524 006 9060 7 | 016 full 10 1200 JCO 2009 23 4708 | 016 pilot 10 1007 s11764 007 0034 x | 017 full 10 1186 
cluster_yun_rct_numerical_extraction_fc2dcb51c637	high	84	review_cluster_representative	strict	Yun RCT numerical extraction		18	1	17	14	0				12	0	candidate_result_table=17 | corpus_or_database=1	needs_triage_search_lead=17 | raw_available=1		raw_corpus:yun_llm_meta_analysis | title:annotated_rct_dataset		data/derived/effect_inflation_dataset/plot2_published_source_catalog.csv | data/raw/corpus_candidates/yun_llm_meta_analysis | steps/searches/figure1/corporasearch-code-local-original-replication-fields.json	Yun RCT numerical extraction | DATASET | PMC2836833 | PMC3276927 | PMC3343759 | PMC4467620 | PMC5122613 | PMC5325897 | PMC5360580 | PMC5498715 | PMC5534041 | annotated rct dataset | calculate metrics | templates
cluster_reproducibility_project_cancer_biology_8b147cd85c4e	high	82	review_cluster_representative	strict	Reproducibility Project: Cancer Biology	rpcb	3	1	2	3	0				5	8	candidate_corpus_or_database=3	discovered_search_lead=3		title:reproducibility_project_cancer_biology		steps/searches/figure1/corporasearch-domain-expanded-crossfield-replication-datasets.json | steps/searches/figure1/corporasearch-manual-expert-suggestion-tracker.json	Reproducibility Project: Cancer Biology
cluster_current_peer_reviewed_main_result_status_451845047124	high	81	review_cluster_representative	singleton	current peer reviewed main result status	rpcb	1	0	1	1	0				11	6	candidate_result_table=1	needs_triage_search_lead=1				steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	current peer reviewed main result status
cluster_fairsharing_record_for_framework_for_open_and_reproducible_research_training_rep_4f84ebcbe514	high	81	review_cluster_representative	strict	FAIRsharing record for: Framework for Open and Reproducible Research Training - Replication Database	fred	4	1	3	4	0				3	8	candidate_corpus_or_database=4	discovered_search_lead=4		doi:10.25504/fairsharing.ee7dba | url:https://fairsharing.org/10.25504/fairsharing.ee7dba | title:fairsharing_record_for_framework_for_open_and_reproducible_research_training_replication_database		steps/searches/figure1/corporasearch-repository-expanded-replication-corpus-database-package.json | steps/searches/figure1/corporasearch-repository-osf-dataverse-replication-project-effect-size.json | steps/searches/figure1/corporasearch-sourcefamily-expanded-known-replication-project-aliases.json	FAIRsharing record for: Framework for Open and Reproducible Research Training - Replication Database
cluster_successes_and_failures_of_replications_a_meta_analysis_of_independent_replicatio_48eb11098644	high	81	review_cluster_representative	strict	Successes and Failures of Replications: A Meta-Analysis of Independent Replication Studies Based on the OSF Registries		4	1	3	4	0				3	8	candidate_corpus_or_database=4	discovered_search_lead=4		doi:10.31222/osf.io/8psw2 | url:https://doi.org/10.31222/osf.io/8psw2 | osf:8psw2 | title:successes_and_failures_of_replications_a_meta_analysis_of_independent_replication_studies_based_on_the_osf_registries		steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json | steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	Successes and Failures of Replications: A Meta-Analysis of Independent Replication Studies Based on the OSF Registries
cluster_osf_07_final_ss_template_direct_02ef667f9afe	high	80	review_cluster_representative	strict	osf 07 Final ss template direct		12	0	12	12	0				5	5	candidate_context_or_methods_paper=2 | candidate_result_table=10	catalog_only_context_lead=2 | needs_triage_search_lead=10		lead_harvest:tyner_nosek_2026		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	osf 01 README | osf 02 Quick ss template direct | osf 03 Quick ss template dar | osf 04 rename | osf 05 MANUAL power analysis template | osf 06 Quick ss Cutright JournConsRes 2011 eg3p | osf 07 Final ss template direct | osf 08 power template P2 | osf 09 SER METHOD v4 | osf 10 Quick ss Armon EurJournPersonality 2013 mJDj | osf 11 POWER u3w4g Cutright JournConsRes 2011 eg3p | osf 12 power template P2
cluster_altmejd_8532e4303f0b	high	79	review_cluster_representative	strict	Altmejd		2	0	2	2	0				10	5	candidate_result_table=2	needs_triage_search_lead=2		raw_replication_project:altmejd		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	get data | variables
cluster_rpcb_osf_archive_27f092b2a472	high	79	review_cluster_representative	strict	RPCB OSF archive	rpcb	5	1	4	4	0				5	6	candidate_corpus_or_database=4 | replication_project=1	discovered_search_lead=4 | probe_only=1		url:https://osf.io/e5nvr | osf:e5nvr | title:replication_data_from_the_reproducibility_project_cancer_biology | url:https://osf.io/nh23b | osf:nh23b		data/raw/replication_projects/lead_registry.csv | steps/searches/figure1/corporasearch-domain-expanded-crossfield-replication-datasets.json | steps/searches/figure1/corporasearch-sourcefamily-expanded-known-replication-project-aliases.json	RPCB OSF archive | Replication Data from the Reproducibility Project: Cancer Biology
cluster_osf_02_analysis_onlinepilot_taskdataoriginalstudy_55daa36d1c4f	high	78	review_cluster_representative	strict	osf 02 Analysis onlinepilot taskdataoriginalstudy		3	0	3	3	0				13	1	candidate_result_table=3	needs_triage_search_lead=3		lead_harvest:self_control_fmri_2022		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	osf 02 Analysis onlinepilot taskdataoriginalstudy | osf 02 download | osf file list
cluster_why_are_replication_rates_so_low_5872f84f288b	high	77	review_cluster_representative	strict	Why Are Replication Rates So Low?		2	0	2	2	0				7	7	candidate_repository_package=2	discovered_search_lead=2		title:why_are_replication_rates_so_low		steps/searches/figure1/corporasearch-repository-expanded-replication-corpus-database-package.json	Why Are Replication Rates So Low?
