source_result_id	flat_level	flat_label	flat_reason	old_evidence	plot_name	source_family
sr_528e74f3ea09	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	forrt_fred
sr_68b9aab77905	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_612caed0e0da	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	DARPA SCORE / COS claims
sr_21fe810427f5	4	target_landing_or_abstract_obtained	paperclip_abstract_corpus: exact DOI match and abstract/detail text obtained; not source-object/full-paper/value verification	target_source_independently_grounded	Plot 2	metaBUS open Bosco subset
sr_d77f8db1d1b7	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	metaBUS open Bosco subset
sr_31cedf25f0f0	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_553821bb35af	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	metaBUS open Bosco subset
sr_6ec02a020539	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 4	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_6b48885948a9	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	metabus_open_bosco
sr_afedb8c87b93	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	SCORE analyst join
sr_fbb29ff3b4c7	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	metabus_open_bosco
sr_dc4eddf69c3c	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_01b8db23d742	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 4	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_0832a411bca2	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	FReD filtered pair table
sr_47e74981aa68	8	supplement_or_replication_package_obtained	existing local corpus/supplement/data file mirrored	original_source_obtained	Plot 4	olsson_sundell_2023_social_interventions
sr_6c3663410cb7	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	Many Labs 2 public join
sr_0372d6c4f192	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	DARPA SCORE / COS claims
sr_6c8fbd0ac45b	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	metaBUS open Bosco subset
sr_df148fcf0ce2	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	Kerschbaumer 2020 rheumatology phase II/III
sr_d3539c7b3ccb	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_b60e3b988d3b	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	FReD filtered pair table
sr_3fcd19c120b1	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_a9a7d2fcc0d6	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	score_cos_claims
sr_be4fa916ebbe	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	LOOPR coding workbook
sr_e2cb991d651a	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 1	Eyewitness ten-country paper table rescue
sr_76a99a771018	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 3	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_4018aa63d523	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	RPP canonical OSF csv
sr_1ffcb30d1c76	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	RPP canonical OSF csv
sr_5b1a0fc622e3	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	Boyce student replication corpus
sr_29a6bfd3a748	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 4	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_1c71871780ff	4	target_landing_or_abstract_obtained	paperclip_abstract_corpus: exact DOI match and abstract/detail text obtained; not source-object/full-paper/value verification	target_source_independently_grounded	Plot 2	metaBUS open Bosco subset
sr_1ba37b2938cd	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 2	CliniFact published primary pairs
sr_0a4728aa6abf	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	SCORE analyst join
sr_3e576eaeee38	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)
sr_9ff92c0aba20	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	metaBUS open Bosco subset
sr_14d8f4c6d1d5	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_025e90b19395	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_efa55a2812ef	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_9d0246e3a748	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 4	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_6c3339adac2d	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_2ef5e9c7214d	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	SCORE analyst join
sr_09224852e3e6	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 2	replication-pair original-side bridge
sr_a556216508fd	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_fd9b4c04ec6f	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_ddfbf61c7617	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_4458f7fc086a	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_3a4c25fbf576	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	metaBUS open Bosco subset
sr_71af0798216e	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_09da2adb56e5	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	replication_pair_originals_bridge
sr_17d687917962	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_ed726dff7f0e	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 1	FReD filtered pair table
sr_2a81f3efc08e	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 3	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_ea908acbfb0c	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	DARPA SCORE / COS claims
sr_dde25d3c0279	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_ddd3d7c5f433	8	supplement_or_replication_package_obtained	existing local corpus/supplement/data file mirrored	original_source_obtained	Plot 4	olsson_sundell_2023_social_interventions
sr_3c91b76d15f8	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_b55639792416	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	gwas_catalog
sr_b5e29f519aae	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 3	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_3741edf3cd08	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_5adb462eb079	3	target_independently_resolved	DOI/PMID/NCT/URL resolved independently; no source object	target_source_independently_grounded	Plot 4	metabus_open_bosco
sr_3f9b6a09599c	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_928de8f12480	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 2	Kühberger psychology main results
sr_827b0884ef5e	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 4	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_b7cb57c5cb78	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	score_cos_claims
sr_581b0190b9f5	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	FORRT FReD
sr_5c714fede5eb	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 1	Many Labs 2 public join
sr_8144e362ed8b	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	score_cos_claims
sr_936ecd0105d4	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	score_cos_claims
sr_7902813ac3c1	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 2	Motyl social/personality critical tests
sr_e75bc376a0b1	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 4	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_9eeaae2c75a9	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	FReD filtered pair table
sr_de9d02f3efe7	8	supplement_or_replication_package_obtained	existing local corpus/supplement/data file mirrored	original_source_obtained	Plot 4	olsson_sundell_2023_social_interventions
sr_a1c0077f9cb0	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	FReD filtered pair table
sr_72e0ac9be373	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	kuhberger_2014_main_results
sr_f44201a1b8b4	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	havranek_armington
sr_b6505d27d5ef	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	FReD filtered pair table
sr_8b7d83b63310	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_2eb0fc250a2a	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	score_cos_claims
sr_d5187cb33c19	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	FReD filtered pair table
sr_2af4bf57e7ef	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	FReD filtered pair table
sr_644891607462	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)
sr_9b47ec766005	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_ef6a224b8b86	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	button_nord_neuroscience
sr_1eb547defd9c	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 2	Schäfer/Schwarz preregistered psychology articles
sr_1c33e20c69a2	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 1	SCORE analyst join
sr_0a95dbeefcd1	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	RPCB
sr_0c20617bc06f	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_37178bbf2376	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_05cd86ffb475	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	replication_pair_originals_bridge
sr_026ab716fdc2	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	metaBUS open Bosco subset
sr_b35dc7490583	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	esarey_wu_2016_political_science_main_findings
sr_0c6d1c09a807	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 2	DARPA SCORE / COS claims
sr_bb1471bd23d8	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 3	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_16dfaeed46ee	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	Kerschbaumer 2020 rheumatology phase II/III
sr_89366ac7df1c	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	FReD filtered pair table
sr_1166ca428215	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_d19dc790ebd7	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	forrt_fred
sr_3f361d51253e	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 2	DARPA SCORE / COS claims
sr_d69fb669841a	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_0ffe5117d055	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 3	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_143d87ef36aa	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	DARPA SCORE / COS claims
sr_629af99106ba	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	score_cos_claims
sr_2688beda5935	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 2	Button/Nord neuroscience
sr_44a8287fc7cc	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_8c10cb62280a	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 4	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_656af44d63ac	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	Boyce student replication corpus
sr_5c5f468d0b79	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	FReD filtered pair table
sr_b868072acfa7	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
