plot_id	plot_universe_id	canonical_result_id	criteria_version	decision_context_type	eligibility_status	included_in_plot	included_in_statistics	passed_criteria_ids	failed_criteria_ids	caveat_criteria_ids	decision_basis	decision_source	decided_at	plot_field	plot_source_family	render_order_group_count	style_group	exclusion_reason	notes
plot4_all_sources	plot4_all_source_dn_dump	cr_d849ef81bdf9	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		io_psychology_management	metabus_open_bosco	16	io_psychology_management		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot1_replication	plot1_replication_pairs	cr_0cf3b38d6d48	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py			Communication privacy SEM paths	16	Communication privacy SEM paths		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_e7c84f356f90	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Political science	Wood Hoy Pryke China-aid attitudes preregistered survey experiment	5	Political science		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot1_replication	plot1_replication_pairs	cr_ab9ca7c29c8f	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py			FReD filtered pair table	16	FReD filtered pair table		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_48ab48954532	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_617751f531bb	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_deec7142d203	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Psychology/health	DARPA SCORE / COS claims	14	Psychology/health		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_1c66bd397fec	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_20a3f1a2051f	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Clinical medicine	ClinicalTrials.gov phase-2+ primary randomized registry rows	20	Clinical medicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_87085b661664	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_74b0ce7f62af	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		neuroscience	button_nord_neuroscience	3	neuroscience		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_05c3d4256d1f	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_41ef0381f674	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Social Psychology	forrt_fred	2	Social Psychology		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_683ece66e49f	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_9a8c9d08853d	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_90371c4c2033	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		psychology_social_personality	motyl_2017_critical_tests	3	psychology_social_personality		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_8ad7cfbfa2c1	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_f8a990ac87bf	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		io_psychology_management	metaBUS open Bosco subset	16	io_psychology_management		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_ef1741ba9920	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_0902b41622b9	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Psychology/health	schaefer_schwarz_2019_without_prereg	11	Psychology/health		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_883a874bd406	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		psychology_social_personality	Motyl social/personality critical tests	5	psychology_social_personality		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_b529d42d472f	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		io_psychology_management	metabus_open_bosco	16	io_psychology_management		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_12a6bb156011	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_3a17e8751776	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_ec328abd04c4	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_85f0d2ece873	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_b4bab1b18a88	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_54e13871be1b	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_d9028c8210d8	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_5eb5f5c20b2c	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_e1644510f2d2	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		developmental_psychology	MetaLab	1	developmental_psychology		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_07ef7e5e98d1	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_65b4af716391	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		psychology_social_personality	Motyl social/personality critical tests	5	psychology_social_personality		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_56e0ded9e2ff	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Psychology/health	schaefer_schwarz_2019_without_prereg	11	Psychology/health		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_2d4c33760062	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Psychology/health	kuhberger_2014_main_results	11	Psychology/health		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot3_preregistered	plot3_preregistered_results	cr_ac8cef9362a7	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Clinical medicine	ClinicalTrials.gov phase-2+ primary randomized registry rows	18	Clinical medicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_99bc3115a75f	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		developmental_psychology	metalab	1	developmental_psychology		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_3ff8a12ec056	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Psychology/health	DARPA SCORE / COS claims	14	Psychology/health		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_39a539e17bd7	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		sociology and criminology	DARPA SCORE / COS claims	5	sociology and criminology		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_0486ad2e6931	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py			RPCB	19	RPCB		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_7d913aacafba	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		psychology_social_personality	Motyl social/personality critical tests	5	psychology_social_personality		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_bf1da16be21f	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_c2cec164a9cd	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Political science	score_cos_claims	5	Political science		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_d55af5de8cd4	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		io_psychology_management	metaBUS open Bosco subset	16	io_psychology_management		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_aabc312957ed	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_4d891256e9ec	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		economics and finance	score_cos_claims	1	economics and finance		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_4e57aa24fa12	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_58748c452e8b	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		psychology_social_personality	Motyl social/personality critical tests	5	psychology_social_personality		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_1944d7cc3ce0	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		medicine_rct	yun_llm_meta_analysis	4	medicine_rct		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_a06da7d937bd	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Psychology/health	linden_2024_random_effects	11	Psychology/health		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_856586b6d006	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_528d0b0bbfe1	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Clinical medicine	ClinicalTrials.gov phase-2+ primary randomized registry rows	20	Clinical medicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot3_preregistered	plot3_preregistered_results	cr_cf0693a9bb10	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Psychology/health	Schäfer/Schwarz 2019 preregistered psychology articles	5	Psychology/health		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_be39d1bcfbd3	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		medicine_rct	clinifact_published_primary_pairs	4	medicine_rct		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_1b2b1ee70f3e	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Sports Science	forrt_fred	1	Sports Science		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_1d1425ddc05e	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_e71227675295	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Business	DARPA SCORE / COS claims	1	Business		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_c26e3a80d45e	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		io_psychology_management	metaBUS open Bosco subset	16	io_psychology_management		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot2_published	plot2_published_paper_d_vs_n	cr_dea9a4e408fb	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		io_psychology_management	metaBUS open Bosco subset	16	io_psychology_management		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
