source_result_id	represented_source_id	evidence_level	source_type	doi	pmid	title	next_bucket	failed_public_routes_seen
sr_a852da233b7d	work_title_golden_gulzar_sonnet_responsiveness_paper_median_of_5_preregistere	4	paper			Golden/Gulzar/Sonnet responsiveness - paper median of 5 preregistered result rows	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked
sr_8e53fec0db78	work_title_third_party_governance_and_performance_measurement_a_case_study_of	4	other	10.1093/jopart/mut017		Third-Party Governance And Performance Measurement: A Case Study Of Publicly Funded Private School Vouchers	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked; openalex_location_url:http_403_blocked
sr_f322cf6db3fd	work_title_jap_69_2_214	4	paper			JAP-69-2-214	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_0cc5d4c7a6b9	work_title_2017_preregistered_key_question_effect_schaefer_2019_preg_73	2	paper			2017 preregistered key-question effect (schaefer_2019_preg_73)	needs_identity_crosswalk	no_public_candidate_logged
sr_60c2a469e71e	work_title_jap_81_5_587	4	paper			JAP-81-5-587	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_5cfe7da2c521	work_plot2_metabus_open_bosco_jap_66_6_706_3063	4	other			work_plot2_metabus_open_bosco_jap_66_6_706_3063	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_8ad55815e5fc	work_plot2_metabus_open_bosco_jap_79_4_535_3532	4	other			work_plot2_metabus_open_bosco_jap_79_4_535_3532	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_a6f46bca45c2	work_title_conflict_and_housework_does_country_context_matter	4	paper	10.1093/esr/jcp038		Conflict And Housework: Does Country Context Matter?	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked; openalex_location_url:http_403_blocked
sr_be6f969d81a7	work_plot2_metabus_open_bosco_pp_54_3_669_4855	4	other			work_plot2_metabus_open_bosco_pp_54_3_669_4855	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:unknown_or_non_article_bytes
sr_46fcf0099591	work_title_jap_83_4_531	4	paper			JAP-83-4-531	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_56a9f30f8d92	work_title_pp_51_3_577	4	paper			PP-51-3-577	needs_better_identifier	crossref_fulltext_link:unknown_or_non_article_bytes
sr_c4f5b565a745	work_title_jap_67_1_119	4	paper			JAP-67-1-119	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_ee72592661db	work_title_the_origins_of_sex_differences_in_human_behavior_evolved_dispositi	4	paper	10.1037/0003-066x.54.6.408		The origins of sex differences in human behavior: Evolved dispositions versus social roles.	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked
sr_285363cf3974	work_title_jap_76_6_845	4	paper			JAP-76-6-845	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_1e8a07a9cd86	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_dev_029_6789	2	other			work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_dev_029_6789	needs_identity_crosswalk	crossref_fulltext_link:http_403_blocked
sr_22f96d70c38a	work_title_linden_2015_2	2	paper			linden_2015_2	needs_identity_crosswalk	no_public_candidate_logged
sr_a929155b5e72	work_title_jap_74_1_143	4	paper			JAP-74-1-143	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_4dbf0cd7b50e	work_title_notes_on_bonds_illiquidity_feedback_during_the_financial_crisis	4	other	10.1093/rfs/hhy022		Notes On Bonds: Illiquidity Feedback During The Financial Crisis	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked; openaire_instance_url:http_403_blocked; openalex_location_url:http_403_blocked; openalex_location_url:captcha_or_bot_block
sr_62cc168cbf4c	work_title_rim_s_min_k_e_uleman_j_s_chartrand_t_l_carlston_d_e_2013_seeing_ot	4	paper			Rim, S., Min, K. E., Uleman, J. S., Chartrand, T. L., & Carlston, D. E. (2013). Seeing others through rose-colored glasses: An affiliation goal and positivity bias in implicit trait impressions. Journal of Experimental Social Psychology, 49(6), 1204-1209.	needs_better_identifier	crossref_fulltext_link:identity_or_plausibility_failed
