canonical_result_id	represented_source_id	preferred_source_result_id	source_result_count_in_sample	result_label	D	N	plot_names	resolution_status	resolution_notes
cr_20a3f1a2051f	work_title_antipsychotic_efficacy	sr_147c4fd5d62f	1	Antipsychotic Efficacy	0.2978707562040835	181.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_87085b661664	work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	sr_a3c89d628df7	1	A genome-wide association study identifies two novel susceptible regions for squamous cell carcinoma of the head and neck.	0.1677139908486174	5637.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_74b0ce7f62af	work_title_etminan_72	sr_07eb16a91055	1	Etminan_72	0.1230254876665592	53.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_05c3d4256d1f	work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	sr_418e6ec7b4d3	1	Genome-wide association analyses of breast cancer in women of African ancestry identify new susceptibility loci and improve risk prediction.	0.0679479156726176	40138.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_41ef0381f674	work_title_walking_on_eggshells_how_expressing_relationship_insecurities_perp	sr_68030d0ead7f	1	"""Walking on eggshells"": How expressing relationship insecurities perpetuates them."	0.3517262290563295	186.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_683ece66e49f	work_title_genome_wide_association_studies_identify_137_genetic_loci_for_dna	sr_9e1a912c9b1d	1	Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging.	0.0843110909637925	34461.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_9a8c9d08853d	work_title_morphine_milligram_equivalents_mme	sr_df1f5890afec	1	Morphine Milligram Equivalents (MME)	0.0777798571717947	140.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_90371c4c2033	work_title_durgin_f_h_fox_l_f_kim_d_h_2003_not_letting_the_left_leg_know_what	sr_f5b1fa84ce27	1	Durgin, F. H., Fox, L. F., & Kim, D. H. (2003). Not Letting the Left Leg Know What the Right Leg is Doing Limb-Specific Locomotor Adaptation to Sensory-Cue Conflict. Psychological Science, 14(6), 567-572.	1.346666666666667	20.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_8ad7cfbfa2c1	work_title_period_1_endoscopic_remission	sr_17b0cfe42e6d	1	Period 1: Endoscopic Remission	0.1383587287635694	817.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_f8a990ac87bf	work_plot2_metabus_open_bosco_jap_84_3_445_3761	sr_c1cbd6657a4e	1		0.4082482904638631	42.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_ef1741ba9920	work_title_the_spectrum_of_association_in_hla_region_with_rheumatoid_arthriti	sr_6e06fcfca537	1	The spectrum of association in HLA region with rheumatoid arthritis in a diverse Asian population: evidence from the MyEIRA case-control study.	0.4600138672646501	2830.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_0902b41622b9	work_title_schaefer_2019_np_soc_079	sr_307943984453	1	schaefer_2019_np_SOC.079	1.0649549865357937	80.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_883a874bd406	work_title_forest_a_l_kille_d_r_wood_j_v_holmes_j_g_2014_discount_and_disenga	sr_61bbdea80744	1	Forest, A. L., Kille, D. R., Wood, J. V., & Holmes, J. G. (2014). Discount and disengage: How chronic negative expressivity undermines partner responsiveness to negative disclosures. Journal of personality and social psychology, 107(6), 1013.	0.5745664298220712	120.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_b529d42d472f	work_title_jap_87_1_185	sr_1ed207224a85	1	JAP-87-1-185	0.4944513860581975	169.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_12a6bb156011	work_title_forced_expiratory_volume_in_one_second_fev1_area_under_curve_0_3_h	sr_fdf78d9e9f66	1	Forced Expiratory Volume in One Second (FEV1) Area Under Curve 0-3 Hour (h) (AUC 0-3h) Response at 24 Weeks	0.1897201093439425	906.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_3a17e8751776	work_title_percentage_of_participants_with_a_90_improvement_in_psoriasis_area	sr_72511a245c94	1	Percentage of Participants With a ≥90% Improvement in Psoriasis Area and Severity Index (PASI 90) From Baseline	0.3396553617491508	302.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_ec328abd04c4	work_title_genome_wide_association_and_longitudinal_analyses_reveal_genetic_l	sr_c5752f09223e	1	Genome-wide association and longitudinal analyses reveal genetic loci linking pubertal height growth, pubertal timing and childhood adiposity.	0.0887502038412403	10799.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_85f0d2ece873	work_title_the_occurrence_of_cardiovascular_event_and_peritonitis_events	sr_9c4daeb580e8	1	the Occurrence of Cardiovascular Event and Peritonitis Events	0.3335239368416648	47.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_b4bab1b18a88	work_title_melanesian_blond_hair_is_caused_by_an_amino_acid_change_in_tyrp1	sr_c25aa56f24e3	1	Melanesian blond hair is caused by an amino acid change in TYRP1.	1.971670106462983	85.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_54e13871be1b	work_title_pcr_corrected_adequate_clinical_and_parasitological_response_acpr	sr_4871288bad74	1	PCR-Corrected Adequate Clinical and Parasitological Response (ACPR) Rate on Day 28	0.0311962297356195	1272.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_d9028c8210d8	work_title_narcotic_use	sr_92b015f56f77	1	Narcotic Use	0.2169644725197314	160.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_5eb5f5c20b2c	work_title_the_primary_outcome_is_the_area_under_the_stimulated_c_peptide_cur	sr_2c54a948cfe2	1	The Primary Outcome is the Area Under the Stimulated C-peptide Curve (AUC) at the One Year Visit	0.0567953518547616	145.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_e1644510f2d2	work_title_halberda_j_2006_is_this_a_dax_which_i_see_before_me_use_of_the_log	sr_6884c920951c	1	Halberda, J. (2006). Is this a dax which I see before me? Use of the logical argument disjunctive syllogism supports word-learning in children and adults.Cognitive psychology, 53(4), 310-344.	1.460972279	10.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_07ef7e5e98d1	work_title_percentage_of_subjects_who_achieved_a_composite_p_gaps1_cpns2_resp	sr_333ef50a595e	1	Percentage of Subjects Who Achieved a Composite P-GAPS1/CPnS2 Response	0.0613180359550746	793.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_65b4af716391	work_title_young_l_durwin_a_j_2013_moral_realism_as_moral_motivation_the_impa	sr_03355505d651	1	Young, L., & Durwin, A. J. (2013). Moral realism as moral motivation: The impact of meta-ethics on everyday decision-making. Journal of Experimental Social Psychology, 49(2), 302-306.	0.4130485011087803	169.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_56e0ded9e2ff	work_title_schaefer_2019_np_cli_064	sr_e89d75ebfd8e	1	schaefer_2019_np_CLI.064	0.7381920727235448	73.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_2d4c33760062	work_title_kuhberger_669	sr_61aeb1d7281e	1	kuhberger_669	0.5943219969472721	56.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_ac8cef9362a7	work_nct_nct02473289	sr_c6091d70fcc5	1	Change From Baseline in Hamilton Depression Rating Scale (HDRS-17) Total Score at Week 12	0.1461545620033462	193.0	Plot 3	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_99bc3115a75f	work_title_meltzoff_a_n_moore_m_k_1989_imitation_in_newborn_infants_exploring	sr_e786a4f0bdc3	1	Meltzoff, A. N., & Moore, M. K. (1989). Imitation in newborn infants: Exploring the range of gestures imitated and the underlying mechanisms. Developmental Psychology, 25, 954ñ962	1.209430335	40.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_3ff8a12ec056	work_title_computer_assisted_remedial_reading_intervention_for_school_beginne	sr_81dcacb19b9f	1	Computer-Assisted Remedial Reading Intervention For School Beginners At Risk For Reading Disability	0.9	166.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_39a539e17bd7	work_title_a_cross_validation_of_the_youth_level_of_service_case_management_i	sr_e74bda715816	1	A Cross-Validation Of The Youth Level Of Service/Case Management Inventory (Yls/Cmi) Among Japanese Juvenile Offenders.	0.0865607034083129	405.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_0486ad2e6931	work_title_pten_expression_of_sinc_vs_sicnot6l_in_dicer_ex5_hct116_cells	sr_3ea41f299d78	1	PTEN expression of siNC vs siCNOT6L in Dicer-Ex5 HCT116 cells	3.323902	8.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_7d913aacafba	work_title_psalta_l_young_a_w_thompson_p_andrews_t_j_2014_the_thatcher_illusi	sr_78c450606fc2	1	Psalta, L., Young, A. W., Thompson, P., & Andrews, T. J. (2014). The Thatcher illusion reveals orientation dependence in brain regions involved in processing facial expressions. Psychological science, 25(1), 128-136.	1.222020185321557	27.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_bf1da16be21f	work_title_a_scalable_variational_inference_approach_for_increased_mixed_mode	sr_c32a10acbc15	1	A scalable variational inference approach for increased mixed-model association power.	0.0695478358904289	47745.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_c2cec164a9cd	work_title_ethnicity_and_altruism_after_violence_the_contact_hypothesis_in_ko	sr_68c0e5067d4b	1	Ethnicity And Altruism After Violence: The Contact Hypothesis In Kosovo	0.4098439530463251	158.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_d55af5de8cd4	work_plot2_metabus_open_bosco_jap_93_5_1013_4374	sr_f339c0254923	1		0.2519860671248886	93.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_aabc312957ed	work_title_genetic_correlates_of_vitamin_d_binding_protein_and_25_hydroxyvita	sr_9078255a0573	1	Genetic correlates of vitamin D-binding protein and 25-hydroxyvitamin D in neonatal dried blood spots.	0.1592723266538242	65589.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_4d891256e9ec	work_title_adapting_to_climate_change_the_remarkable_decline_in_the_us_temper	sr_b38402a7e48a	1	Adapting To Climate Change: The Remarkable Decline In The Us Temperature-Mortality Relationship Over The Twentieth Century	0.0404951485380079	26411.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_4e57aa24fa12	work_title_genome_wide_association_study_meta_analysis_for_parkinson_disease	sr_deff8d4a6913	1	Genome-Wide Association Study Meta-Analysis for Parkinson Disease Motor Subtypes.	0.1648296520581871	3212.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_58748c452e8b	work_title_clarkson_j_j_valente_m_j_leone_c_tormala_z_l_2013_motivated_reflec	sr_b0fb1425aea4	1	Clarkson, J. J., Valente, M. J., Leone, C., & Tormala, Z. L. (2013). Motivated Reflection on Attitude-Inconsistent Information An Exploration of the Role of Fear of Invalidity in Self-Persuasion. Personality and Social Psychology Bulletin, 39(12), 1559-1570.	0.6772437631893274	89.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_1944d7cc3ce0	work_title_pmcid_4493951	sr_c15be1b60041	1	PMCID:4493951	0.4128192434964728	99.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_a06da7d937bd	work_title_linden_2018_1	sr_b2348504f69b	1	linden_2018_1	0.42	350.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_856586b6d006	work_title_evidence_for_vav2_and_znf433_as_susceptibility_genes_for_multiple	sr_87ff7572edff	1	Evidence for VAV2 and ZNF433 as susceptibility genes for multiple sclerosis.	0.2682594042834815	1415.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_528d0b0bbfe1	work_title_mediastinal_nodal_clearance_after_completion_of_induction_chemorad	sr_f31698e541dc	1	Mediastinal Nodal Clearance After Completion of Induction Chemoradiotherapy With or Without Panitumumab.	0.011904270589728	71.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_cf0693a9bb10	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_60	sr_05a96a248d34	1	2016 preregistered key-question effect (schaefer_2019_preg_60)	0.4135353313582087	272.0	Plot 3	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_be39d1bcfbd3	work_title_do_cannabis_based_medicinal_extracts_have_general_or_specific_effe	sr_6d53289e06ab	1	Do cannabis-based medicinal extracts have general or specific effects on symptoms in multiple sclerosis? A double-blind, randomized, placebo-controlled study on 160 patients.	0.5202779586591846	160.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_1b2b1ee70f3e	work_title_maximizing_performance	sr_528e74f3ea09	1	Maximizing Performance	1.4611534228661185	18.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_1d1425ddc05e	work_title_a_genome_wide_association_meta_analysis_of_preschool_internalizing	sr_68b9aab77905	1	A genome-wide association meta-analysis of preschool internalizing problems.	0.1217060381014085	5627.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_e71227675295	work_title_organizational_learning_in_target_setting	sr_612caed0e0da	1	Organizational Learning In Target Setting	0.117922573274079	1105.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_c26e3a80d45e	work_plot2_metabus_open_bosco_jap_77_4_453_3437	sr_21fe810427f5	1		0.472672040177118	1491.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_dea9a4e408fb	work_plot2_metabus_open_bosco_jap_93_3_632_4351	sr_d77f8db1d1b7	1		0.1202165849551291	300.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_6080be97b5c5	work_title_genome_wide_association_study_of_mri_markers_of_cerebral_small_ves	sr_31cedf25f0f0	1	Genome-wide association study of MRI markers of cerebral small vessel disease in 42,310 participants.	0.0806255795233538	43105.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_dd1d616fa15c	work_plot2_metabus_open_bosco_jap_95_1_183_4501	sr_553821bb35af	1		0.5385204638677067	90.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_8b4a324ac62b	work_title_percentage_of_patients_achieving_glycosylated_hemoglobin_hba1c_con	sr_6ec02a020539	1	Percentage of Patients Achieving Glycosylated Hemoglobin (HbA1c) Concentration ≤7.0% With Weight Loss (≥1.0 kg) at Endpoint (Week 26)	0.5222388605865403	222.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_284926d25dbc	work_title_jap_91_4_971	sr_6b48885948a9	1	JAP-91-4-971	0.5833333333333334	123.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_092b5d985968	work_title_alves_et_al_2018_score_24716_49_3	sr_afedb8c87b93	1	Alves et al. (2018) (SCORE 24716_49_3)	0.0234904946765196	1245.0	Plot 1	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_04f544e1f7a6	work_title_jap_86_6_1120	sr_fbb29ff3b4c7	1	JAP-86-6-1120	0.3034330424545041	125.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_99676ce8b727	work_title_identification_of_common_genetic_polymorphisms_associated_with_dow	sr_dc4eddf69c3c	1	Identification of common genetic polymorphisms associated with down-regulated gonadotropin levels in an exome-wide association study.	0.6920814685342284	862.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_45dd91a5cbc3	work_title_percentage_of_heavy_drinking_days_at_week_16_endpoint	sr_01b8db23d742	1	Percentage of Heavy Drinking Days at Week 16 Endpoint	0.1605763263732441	375.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_670d6a44e52d	work_doi_10_2466_pms_109_2_577_580	sr_0832a411bca2	1	Replicating a Simple Study of Asymmetry in Human Cognition	0.0632771997168332	26.0	Plot 1	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_f55a63e299ad	work_title_olsson_sundell_2023_57	sr_47e74981aa68	1	olsson_sundell_2023_57	0.514	120.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_c9efa59802e6	work_title_many_labs_2_alter_1	sr_6c3663410cb7	1	Many Labs 2 - Alter.1	0.03287	6935.0	Plot 1	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_9f7bf74e8ec2	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	sr_0372d6c4f192	1	Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014	0.0359969916743802	33424.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_9735b4ab283f	work_plot2_metabus_open_bosco_pp_53_1_153_4827	sr_6c8fbd0ac45b	1		0.472672040177118	461.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_52026d2d9766	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	sr_df148fcf0ce2	1	Phase 3 psoriatic_arthritis trial: Brodalumab 140 mg + csDMARD versus Brodalumab Placebo + csDMARD	0.3558154498042149	287.0	Plot 1	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_2b369c6622b1	work_title_genomics_of_perivascular_space_burden_unravels_early_mechanisms_of	sr_d3539c7b3ccb	1	Genomics of perivascular space burden unravels early mechanisms of cerebral small vessel disease.	0.0645928523492454	38598.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_27e04d097f8c	work_title_researchers_showed_images_to_the_adolescents_with_anorexia_nervosa	sr_b60e3b988d3b	1	Researchers showed images to the adolescents with anorexia nervosa and adolescents with major depression to make decisions on the nature of the stimulus presented. They had to indicate which emotion (happy, sad, afraid, angry, or neutral) the face expressed.	2.073343962472699	89.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_8fd3ec317d1c	work_title_log_transformed_log_28_day_seizure_rate_for_all_primary_generalize	sr_3fcd19c120b1	1	Log-transformed (Log) 28-day Seizure Rate for All Primary Generalized Tonic-Clonic (PGTC) Seizures During 12-Week Double-Blind Treatment Phase	0.0290671581010409	219.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
