mapping_id	from_source_id	to_source_id	relationship_type	relationship_subtype	mapping_assertion_source_id	mapping_assertion_access_id	mapping_assertion_locator	mapping_assertion_url	mapping_assertion_verbatim_text	mapping_evidence_type	external_relationship_id	external_relationship_url	relationship_date	relationship_updated_at	relationship_timing	prereg_registry_name	prereg_registration_id	prereg_document_type	prereg_primary_outcome_text	prereg_hypothesis_text	replication_kind	replication_target_claim	replication_original_result_id	replication_replicating_result_id	replication_outcome_match	replication_sample_relation	replication_design_relation	collection_role	dedupe_group_id	relationship_confidence	notes
map_46e420ccdf3c	src_du2024	work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	database_reports_paper_result	trial_registry_record	src_du2024	acc_1783c4826f15	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://clinicaltrials.gov/study/NCT03527173	label=Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition | source_directness=candidate_child_numeric_row | effect_or_stat=-9.4 | N_text=71.0 | p_or_z=0.7950232118315611 | plotted_D=0.1887037931280126 | plotted_N=71.0 | transform=registry_p_to_absz_to_2absz_sqrtN; N: trial_enrollment | source_file=data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	metadata_field	NCT03527173	https://clinicaltrials.gov/study/NCT03527173			not_applicable													sampled_child_result		medium	source_result_id=sr_c8398f907345; Inferred from dot-level parent source family and represented paper/result key.
map_8949689e0fbe	src_du2024	work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	database_reports_paper_result	trial_registry_record	src_du2024	acc_21c181e8fd7f	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	https://clinicaltrials.gov/study/NCT00866658	label=Absolute Change From Baseline in Glycosylated Hemoglobin (HbA1c) at Week 24 | source_directness=raw_ctgov_registry_row | effect_or_stat=-0.88 | N_text=311.0 | p_or_z=<0.0001 | plotted_D=0.4412304518009182 | plotted_N=311.0 | transform=registry p-value/enrollment to D proxy; raw row recovered with NCT_ID/outcome_title | source_file=data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	metadata_field	NCT00866658	https://clinicaltrials.gov/study/NCT00866658			not_applicable													sampled_child_result		medium	source_result_id=sr_7a1e8bbfd877; Inferred from dot-level parent source family and represented paper/result key.
map_cd18228e6926	src_zhang2025clinifact	work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	database_reports_paper_result	trial_registry_record	src_zhang2025clinifact	acc_682df5779b17	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://clinicaltrials.gov/study/NCT00511342	label=Effects on bone mineral density of a monophasic combined oral contraceptive containing nomegestrol acetate/17β-estradiol in comparison to levonorgestrel/ethinylestradiol. | source_directness=candidate_child_numeric_row | effect_or_stat=0.2499176307398026 | N_text=110.0 | p_or_z=1.3105791121681285 | plotted_D=0.2499176307398026 | plotted_N=110.0 | transform=clinifact_journal_paired_primary_outcome_p_to_2absz_sqrtN; N: abstract_selected | source_file=data/derived/publication_bias_direct/clinifact_publication_registry_pairs.csv	metadata_field	NCT00511342	https://clinicaltrials.gov/study/NCT00511342			not_applicable													sampled_child_result		medium	source_result_id=sr_60360366c47c; Inferred from dot-level parent source family and represented paper/result key.
map_7d6ec7c7acae	src_bosco2020metabus	work_title_jap_82_1_89	corpus_asserts_result_for_paper	database_child_result	src_bosco2020metabus	acc_b2a8ef9c99e9	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://doi.org/10.1037/h0101894	label=JAP-82-1-89 | source_directness=candidate_child_numeric_row | effect_or_stat=0.472672040177118 | N_text=36.0 | p_or_z=1.3453160629585177 | plotted_D=0.472672040177118 | plotted_N=36.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx	metadata_field		https://doi.org/10.1037/h0101894			not_applicable													sampled_child_result		medium	source_result_id=sr_8d7eceba3893; Inferred from dot-level parent source family and represented paper/result key.
map_acd4faabf8ae	src_masur2025privacy	work_doi_10_1093_joc_jqaf007	corpus_asserts_result_for_paper	direct_replication	src_masur2025privacy	acc_fbfe56d3b9e1	data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	https://doi.org/10.1080/08838151.2012.732140	label=Privacy calculus/privacy paradox/context collapse replication (Vitak model) | source_directness=replication_pair_source_row | effect_or_stat=0.509 | N_text=797.0 | plotted_D=0.509 | plotted_N=797.0 | transform=replication-pair D/N imported from integrated replication pair source row | source_file=data/raw/replication_projects/lead_harvest/communication_privacy_2025/osf_05__3-2_study2_vitak.R	code_or_package_manifest	10.1080/08838151.2012.732140	https://doi.org/10.1080/08838151.2012.732140			not_applicable													sampled_child_result	communication_privacy_vitak_intentional_disclosure_10	medium	source_result_id=sr_266b83deab6b; Inferred from dot-level parent source family and represented paper/result key.
map_7025ef42449f	src_woodhoyprykechinaaiddataverse	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	repository_supports_paper	data_or_code_package	src_woodhoyprykechinaaiddataverse	acc_1bbbfd2a0269	data/raw/corpus_candidates/political_science_unlock/dataverse/3VVWPL/3VVWPL.zip; 2 NZ data JEPS FINAL.dta; AEA RCT Registry trial 5055 primary outcomes; Chinn conversion from raw vignette/control event counts; component contrast too_much_aid; promoted from package-derived political-science rescue audit rows; median collapse of 3 preregistered result rows	https://www.socialscienceregistry.org/trials/5055	label=China-aid attitudes survey experiment - paper median of 3 preregistered result rows | source_directness=political_science_component_rows | effect_or_stat=0.1976929419105431 | N_text=1070.0 | plotted_D=0.1710250123357491 | plotted_N=1070.0 | transform=political-science strict rescue component row(s); possible paper median if multiple | source_file=data/raw/corpus_candidates/political_science_unlock/dataverse/3VVWPL/3VVWPL.zip	code_or_package_manifest		https://www.socialscienceregistry.org/trials/5055			not_applicable													sampled_child_result		medium	source_result_id=sr_32e8f46f1c24; Inferred from dot-level parent source family and represented paper/result key.
map_948461ec0e77	src_tosh2024	work_doi_10_1073_pnas_2103313118	corpus_asserts_result_for_paper	direct_replication	src_tosh2024	acc_4c6ecf2ff3fc	data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	https://doi.org/10.1093/jcr/ucv051	label=Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity | source_directness=replication_pair_source_row | effect_or_stat=0.028109156790497532 | N_text=319.0 | plotted_D=0.0281091567904975 | plotted_N=319.0 | transform=replication-pair D/N imported from integrated replication pair source row | source_file=data/raw/replication_projects/fred/FReD.xlsx	code_or_package_manifest	10.1093/jcr/ucv051	https://doi.org/10.1093/jcr/ucv051			not_applicable													sampled_child_result	fred_openmkt15_1251	medium	source_result_id=sr_57e119b02525; Inferred from dot-level parent source family and represented paper/result key.
map_d2a7150069a4	src_du2024	work_title_percent_change_in_worst_pain_score	database_reports_paper_result	trial_registry_record	src_du2024	acc_1783c4826f15	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://clinicaltrials.gov/study/NCT00457730	label=Percent Change in Worst Pain Score | source_directness=candidate_child_numeric_row | effect_or_stat=0.7815554064523413 | N_text=38.0 | p_or_z=2.408915545815461 | plotted_D=0.7815554064523413 | plotted_N=38.0 | transform=registry_p_to_absz_to_2absz_sqrtN; N: trial_enrollment | source_file=data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	metadata_field	NCT00457730	https://clinicaltrials.gov/study/NCT00457730			not_applicable													sampled_child_result		medium	source_result_id=sr_ceddf70c38b1; Inferred from dot-level parent source family and represented paper/result key.
map_c408283a698d	src_yengo2022	work_title_demographic_and_genome_wide_association_analyses_according_to_musc	corpus_asserts_result_for_paper	database_child_result	src_yengo2022	acc_bf7a03953cc7	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://pubmed.ncbi.nlm.nih.gov/36573383/	label=Demographic and Genome Wide Association Analyses According to Muscle Mass Using Data of the Korean Genome and Epidemiology Study. | source_directness=candidate_child_numeric_row | effect_or_stat=0.4226309714412926 | N_text=506.0 | p_or_z=4.753424308822899 | plotted_D=0.4226309714412926 | plotted_N=506.0 | transform=two_sided_p_to_absz_to_2absz_sqrtN; N: sum_initial_sample_size_counts | source_file=data/raw/corpus_candidates/gwas_catalog/gwas-catalog-download-associations-alt-full.tsv	metadata_field		https://pubmed.ncbi.nlm.nih.gov/36573383/			not_applicable													sampled_child_result		medium	source_result_id=sr_acfd28ade498; Inferred from dot-level parent source family and represented paper/result key.
map_c9d69fe2f055	src_tyner2026	work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	corpus_asserts_result_for_paper	database_child_result	src_tyner2026	acc_706556435f5c	data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	https://doi.org/10.1037/pspp0000165	label=Some Evidence For The Usefulness Of An Optimal Foraging Theory Perspective On Goal Conflict And Goal Facilitation. | source_directness=candidate_child_numeric_row | effect_or_stat=0.28278500713637195 | N_text=237.0 | plotted_D=0.2827850071363719 | plotted_N=237.0 | transform=score_free_text_r_to_d; N: score_free_text_sample_size_parse | source_file=data/raw/corpus_candidates/score/extracted_claims.csv	metadata_field	10.1037/pspp0000165	https://doi.org/10.1037/pspp0000165			not_applicable													sampled_child_result		medium	source_result_id=sr_995bd3c3900a; Inferred from dot-level parent source family and represented paper/result key.
map_6ef91148e7f4	src_yengo2022	work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	corpus_asserts_result_for_paper	database_child_result	src_yengo2022	acc_bf7a03953cc7	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://pubmed.ncbi.nlm.nih.gov/37399103/	label=Genome-wide association study identifies multiple HLA loci for sarcoidosis susceptibility. | source_directness=candidate_child_numeric_row | effect_or_stat=1.85 | N_text=2599.0 | p_or_z=4.526389321393594 | plotted_D=0.1775737480503637 | plotted_N=2599.0 | transform=two_sided_p_to_absz_to_2absz_sqrtN; N: sum_initial_sample_size_counts | source_file=data/raw/corpus_candidates/gwas_catalog/gwas-catalog-download-associations-alt-full.tsv	metadata_field		https://pubmed.ncbi.nlm.nih.gov/37399103/			not_applicable													sampled_child_result		medium	source_result_id=sr_e567a2ed8bf8; Inferred from dot-level parent source family and represented paper/result key.
map_ce55cb58a3f7	src_du2024	work_title_antipsychotic_efficacy	database_reports_paper_result	trial_registry_record	src_du2024	acc_21c181e8fd7f	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	https://clinicaltrials.gov/study/NCT02035553	label=Antipsychotic Efficacy | source_directness=raw_ctgov_registry_row | effect_or_stat=-1.84 | N_text=181.0 | p_or_z=0.0451 | plotted_D=0.2978707562040835 | plotted_N=181.0 | transform=registry p-value/enrollment to D proxy; raw row recovered with NCT_ID/outcome_title | source_file=data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	metadata_field	NCT02035553	https://clinicaltrials.gov/study/NCT02035553			not_applicable													sampled_child_result		medium	source_result_id=sr_147c4fd5d62f; Inferred from dot-level parent source family and represented paper/result key.
map_10909df44049	src_yengo2022	work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	corpus_asserts_result_for_paper	database_child_result	src_yengo2022	acc_bf7a03953cc7	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://pubmed.ncbi.nlm.nih.gov/32276964/	label=A genome-wide association study identifies two novel susceptible regions for squamous cell carcinoma of the head and neck. | source_directness=candidate_child_numeric_row | effect_or_stat=1.369863 | N_text=5124.0 | p_or_z=6.500600542967492 | plotted_D=0.1677139908486174 | plotted_N=5637.0 | transform=two_sided_p_to_absz_to_2absz_sqrtN; N: sum_initial_sample_size_counts | source_file=data/raw/corpus_candidates/gwas_catalog/gwas-catalog-download-associations-alt-full.tsv	metadata_field		https://pubmed.ncbi.nlm.nih.gov/32276964/			not_applicable													sampled_child_result		medium	source_result_id=sr_a3c89d628df7; Inferred from dot-level parent source family and represented paper/result key.
map_e4906012518d	src_button2013	work_title_etminan_72	corpus_asserts_result_for_paper	database_child_result	src_button2013	acc_e31028e9cfc9	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://doi.org/10.1038/jcbfm.2011.7	label=Etminan_72 | source_directness=candidate_child_numeric_row | effect_or_stat=-0.12302548766655921 | N_text=53.0 | plotted_D=0.1230254876665592 | plotted_N=53.0 | transform=log_or_times_sqrt3_over_pi; N: reported_total_N | source_file=data/raw/corpus_candidates/button_nord_neuroscience/Effect_Sizes_opendata.xlsx	metadata_field		https://doi.org/10.1038/jcbfm.2011.7			not_applicable													sampled_child_result		medium	source_result_id=sr_07eb16a91055; Inferred from dot-level parent source family and represented paper/result key.
map_681b25176fcd	src_yengo2022	work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	corpus_asserts_result_for_paper	database_child_result	src_yengo2022	acc_bf7a03953cc7	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://pubmed.ncbi.nlm.nih.gov/38741014/	label=Genome-wide association analyses of breast cancer in women of African ancestry identify new susceptibility loci and improve risk prediction. | source_directness=candidate_child_numeric_row | effect_or_stat=1.13 | N_text=40138.0 | p_or_z=6.806502490740626 | plotted_D=0.0679479156726176 | plotted_N=40138.0 | transform=two_sided_p_to_absz_to_2absz_sqrtN; N: sum_initial_sample_size_counts | source_file=data/raw/corpus_candidates/gwas_catalog/gwas-catalog-download-associations-alt-full.tsv	metadata_field		https://pubmed.ncbi.nlm.nih.gov/38741014/			not_applicable													sampled_child_result		medium	source_result_id=sr_418e6ec7b4d3; Inferred from dot-level parent source family and represented paper/result key.
map_941519e767da	src_tosh2024	work_title_walking_on_eggshells_how_expressing_relationship_insecurities_perp	corpus_asserts_result_for_paper	database_child_result	src_tosh2024	acc_08fbd052d6f4	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://doi.org/10.1037/0022-3514.95.2.420	"label=""Walking on eggshells"": How expressing relationship insecurities perpetuates them. | source_directness=candidate_child_numeric_row | effect_or_stat=0.3517262290563295 | N_text=186.0 | plotted_D=0.3517262290563295 | plotted_N=186.0 | transform=fred_eta_squared_to_r_to_d; N: fred_original_n | source_file=data/raw/corpus_candidates/fred/FReD.xlsx"	metadata_field	10.1037/0022-3514.95.2.420	https://doi.org/10.1037/0022-3514.95.2.420			not_applicable													sampled_child_result		medium	source_result_id=sr_68030d0ead7f; Inferred from dot-level parent source family and represented paper/result key.
map_7d35c6ef2c7e	src_yengo2022	work_title_genome_wide_association_studies_identify_137_genetic_loci_for_dna	corpus_asserts_result_for_paper	database_child_result	src_yengo2022	acc_bf7a03953cc7	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://pubmed.ncbi.nlm.nih.gov/34187551/	label=Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging. | source_directness=candidate_child_numeric_row | effect_or_stat=0.5136 | N_text=34461.0 | p_or_z=6.190430811394768 | plotted_D=0.0843110909637925 | plotted_N=34461.0 | transform=two_sided_p_to_absz_to_2absz_sqrtN; N: sum_initial_sample_size_counts | source_file=data/raw/corpus_candidates/gwas_catalog/gwas-catalog-download-associations-alt-full.tsv	metadata_field		https://pubmed.ncbi.nlm.nih.gov/34187551/			not_applicable													sampled_child_result		medium	source_result_id=sr_9e1a912c9b1d; Inferred from dot-level parent source family and represented paper/result key.
map_d4c21a17d6ad	src_du2024	work_title_morphine_milligram_equivalents_mme	database_reports_paper_result	trial_registry_record	src_du2024	acc_1783c4826f15	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://clinicaltrials.gov/study/NCT02887989	label=Morphine Milligram Equivalents (MME) | source_directness=candidate_child_numeric_row | effect_or_stat=0.07505965381529361 | N_text=140.0 | p_or_z=0.4440589004631145 | plotted_D=0.0777798571717947 | plotted_N=140.0 | transform=registry_p_to_absz_to_2absz_sqrtN; N: trial_enrollment | source_file=data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	metadata_field	NCT02887989	https://clinicaltrials.gov/study/NCT02887989			not_applicable													sampled_child_result		medium	source_result_id=sr_df1f5890afec; Inferred from dot-level parent source family and represented paper/result key.
map_220ee8af489d	src_motyl2017state	work_title_durgin_f_h_fox_l_f_kim_d_h_2003_not_letting_the_left_leg_know_what	corpus_asserts_result_for_paper	database_child_result	src_motyl2017state	acc_34066047d272	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://doi.org/10.1046/j.0956-7976.2003.psci_1466.x	label=Durgin, F. H., Fox, L. F., & Kim, D. H. (2003). Not Letting the Left Leg Know What the Right Leg is Doing Limb-Specific Locomotor Adaptation to Sensory-Cue Conflict. Psychological Science, 14(6), 567-572. | source_directness=candidate_child_numeric_row | effect_or_stat=2.02 | N_text=10.0 | p_or_z=2.02 | plotted_D=1.346666666666667 | plotted_N=20.0 | transform=2_abs_t_over_sqrt_df; N: reported_sample_size | source_file=data/raw/corpus_candidates/motyl_2017/ScienceStatus_C.csv	metadata_field		https://doi.org/10.1046/j.0956-7976.2003.psci_1466.x			not_applicable													sampled_child_result		medium	source_result_id=sr_f5b1fa84ce27; Inferred from dot-level parent source family and represented paper/result key.
map_5f98940a1b17	src_du2024	work_title_period_1_endoscopic_remission	database_reports_paper_result	trial_registry_record	src_du2024	acc_1783c4826f15	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://clinicaltrials.gov/study/NCT01903252	label=Period 1: Endoscopic Remission | source_directness=candidate_child_numeric_row | effect_or_stat=-4.8 | N_text=817.0 | p_or_z=1.977368428181947 | plotted_D=0.1383587287635694 | plotted_N=817.0 | transform=registry_p_to_absz_to_2absz_sqrtN; N: trial_enrollment | source_file=data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	metadata_field	NCT01903252	https://clinicaltrials.gov/study/NCT01903252			not_applicable													sampled_child_result		medium	source_result_id=sr_17b0cfe42e6d; Inferred from dot-level parent source family and represented paper/result key.
map_8cb2382155f6	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_84_3_445_3761	corpus_asserts_result_for_paper	database_child_result	src_bosco2020metabus	acc_955ee95804a2	data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	https://doi.org/10.1037/0021-9010.84.3.445	label= | source_directness=candidate_child_numeric_row | effect_or_stat=-0.4082482904638631 | N_text=42.0 | p_or_z=-1.2660643942779384 | plotted_D=0.4082482904638631 | plotted_N=42.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx	metadata_field		https://doi.org/10.1037/0021-9010.84.3.445			not_applicable													sampled_child_result		medium	source_result_id=sr_c1cbd6657a4e; Inferred from dot-level parent source family and represented paper/result key.
