result_option_disposition_id	value_scan_id	candidate_id	outcome	promotion_decision	final_result_status	root_pair_id	D_original	N_original	D_replication	N_replication	next_action
result_disposition_18891bb42d0fa018	batch002_notrow_hiv_influential_studies_replication_review	api_candidate_099c6eb209be07e5	Replication of influential HIV prevention/treatment studies	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_eac27a8bc8487867	batch002_notrow_scopolamine_original_source_blocked	api_candidate_710fd7eb55fc9d77	Scopolamine antidepressant efficacy crossover replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition			18	1.2	22	manual_acquisition_of_original_scopolamine_article_or_authoritative_value_table
result_disposition_d4a04da9c0769033	batch003_notrow_social_distance_study1_policy	api_candidate_9db26ff9b8058473	Social-distance priming Study 1 near-versus-far food-judgment replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		0.76	56		44	do_not_promote_unless_policy_allows_smaller_focal_replication_or_original_study3_effect_is_extracted
result_disposition_37d0babfaf555663	batch003_value_kim_markus_pen_choice	api_candidate_87bcf07e36a43a1c	Kim and Markus Study 3 uncommon-pen choice by culture	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_29a1275cd10ff152	1.22	56	0.24	729	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_76bd71aee82b6d24	batch003_value_horton_picture_naming_exp2a	api_candidate_4a9bce8aeff2f1ff	Partner-specific memory associations and picture naming, Experiment 2a	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_b164d95299e20718	0.68	16	0.12	49	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_fee623b805fcab66	batch003_notrow_giessner_schubert_replication_n_smaller	api_candidate_a2cc98ea84de7e9f	Giessner and Schubert Study 3a leader power and vertical placement	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		0.86	155	1.21	126	retain_as_context_source_not_current_figure1_row
result_disposition_2713c0831da93b78	batch003_notrow_irrelevant_speech_repeated_measures_eta	api_candidate_be86ec9a8c504504	Irrelevant-speech visual-spatial working-memory sound-type effect	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		.27	35	.020	40	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_19f5ca87b522bac6	batch003_notrow_hamlin_one_arm_binary_choice	api_candidate_3c0735598afbf79a	Infant helper preference manual choice	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		14	28	16	32	retain_as_context_source_not_current_figure1_row
result_disposition_db0e95339b7aa023	batch003_notrow_zajonc_roaches_original_interaction_not_tested	api_candidate_bb6c827070cfa1f7	Cockroach audience by task-difficulty social-facilitation interaction	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			40		120	manual_acquisition_if_interaction_effects_become_in_scope
result_disposition_56a9878f320f38f7	batch003_notrow_prosocial_spending_original_effect_missing	api_candidate_112b3ad59e12752d	Prosocial spending and post-windfall happiness original specification	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			46	.001	133	manual_acquisition_of_original_dunn_aknin_norton_value_inputs_if_prioritized
result_disposition_e927f97aebcb65de	batch003_notrow_kovacs_mehler_native_mixed_eye_tracking	api_candidate_4047d23b0380c97b	Kovacs and Mehler infant anticipatory-looking switch task	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan					98	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_4fabacbd2aba1be4	batch003_notrow_haselton_repeated_misperception_native	api_candidate_3a85115b6a4aad63	Sexual over- and underperception repeated-measures replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan					308	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_8faf7fa93e0721dd	batch003_notrow_shen_image_credibility_source_blocked	api_candidate_d98523e0ce3e5e0d	Online image credibility contextual direct/conceptual replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_if_this_2025_communication_replication_is_prioritized
result_disposition_a67fb6970129fb6a	batch003_notrow_carotid_real_world_native_non_independent	api_candidate_7c25e95e83db7d9a	Real-world replication of carotid endarterectomy randomized trial results	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_if_clinical_real_world_validation_rows_are_in_scope
result_disposition_b1aa1cfc321eb327	batch003_notrow_cash_transfer_cluster_reanalysis_native	api_candidate_d1eefaf8893a8a31	Cash transfers and HIV/HSV-2 cluster randomized trial replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_same_data_reanalysis_for_current_figure1
result_disposition_0af0222b4139b0ab	batch003_notrow_eimer_n2pc_native_eeg	api_candidate_2528b3da1b30e174	Eimer N2pc EEGManyLabs registered replication report	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_a530ab40b3c5d624	batch003_notrow_eimer_cortex_duplicate_native_eeg	api_candidate_4c7df68bfa95fc50	Eimer N2pc Cortex multilab direct replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_ee7a449c185265e0	batch003_notrow_plasmid_pij101_molecular_replication	api_candidate_e93d5e20d7b766a7	Plasmid pIJ101 molecular replication sequence	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_ad7c040cc775394d	batch003_notrow_plasmid_rk2_molecular_replication	api_candidate_2537eb141b71e9b2	Broad-host-range plasmid RK2 TrfA replication proteins	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_aec301a36ae2294b	batch003_notrow_code_mangler_software_replication	api_candidate_7130a003da58b46c	Original Code Mangler software-engineering replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_c77fb00810108c7d	batch003_notrow_genetics_pseudofailure_commentary	api_candidate_c9556197558f1594	Non-replication of association studies pseudo-failures	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_ab98810a5c94d58d	batch003_notrow_large_scale_in_silico_ecology	api_candidate_946c9540a38d0ea1	Large-scale in silico replication of ecological and evolutionary studies	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_b8a4647faaf59ead	batch003_notrow_genetics_association_native_batch	api_candidate_82f4a34ce6636a71	Failure to replicate a genetic association	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_f59e2bd9735c901a	batch003_notrow_grin2a_coffee_genetics_native	api_candidate_608fb620bd3f49af	GRIN2A-by-coffee interaction in Parkinson disease	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_0d375ffbfddcaf3a	batch003_notrow_myopia_gene_loci_many_associations	api_candidate_4333d130d009ceae	Identification and replication of myopia susceptibility loci	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_afdb103850574f10	batch003_notrow_temporal_lobe_epilepsy_genetics_native	api_candidate_c392991176e2020d	Failure to replicate temporal-lobe epilepsy genetic associations	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_16c936284153de6a	batch003_notrow_authentic_pedagogy_native	api_candidate_d69512d607ea08f3	Authentic pedagogy multilevel achievement replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_f190e2ffce8460b2	batch003_notrow_messenger_source_blocked	api_candidate_b9cdb8cc6a76d362	Passive priming verb-semantics replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			24		240	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_b30d638508fcd8b5	batch003_notrow_weissman_native	api_candidate_9a6b74a967e69dba	Congruency sequence effect registered replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			43			retain_as_native_or_context_source_not_current_figure1_row
result_disposition_e28d8b9708cc6eb6	batch003_notrow_xu_tenenbaum_native	api_candidate_6287214392755e51	Social context and lexical knowledge learning replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						manual_acquisition_if_native_learning_effects_are_in_scope
result_disposition_4ec1691b22874894	batch003_notrow_bock_animacy_source_blocked	api_candidate_786cc2f5ecc3de84	Animacy and structural priming replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan					496	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_ffd437a9fcf9b719	batch003_notrow_rabbitt_original_n_missing	api_candidate_c49eb133d5977b06	Rabbitt Experiment 2 speech masking direct replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition		0.19		0.19	200	manual_acquisition_of_rabbitt_1968_original_or_authoritative_table_with_original_n
result_disposition_7634bf0a98493be7	batch003_notrow_bem_study8_source_blocked	api_candidate_fbe05a26e9edabb8	Bem Study 8 procedure replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		99	100	111	112	already_represented_by_manual_bem_precognition_galak_2012_root_row
result_disposition_e9f8dca5ff28dbda	batch003_notrow_panero_commentary	api_candidate_5b9f95d4c0a9b686	Panero methods-caused-failure commentary/dispute	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_8e213cc2dc78e52e	batch004_value_gaze_liking_direct_replication	api_candidate_1e92a78ddf5bf933	Gaze-liking effect, eyes-toward versus eyes-away object ratings	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_a9b2b7405ddff12b	0.94	24	0.02	98	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_3e52b6f7abcbb77b	batch004_value_hindsight_bias_fischhoff_exp2	api_candidate_f990ad92aaa05972	Fischhoff Experiment 2 hindsight versus foresight probability judgments	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_c0464f13e99419ba	1.13	80	0.22	431	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_87e15cea389995a9	batch004_value_probability_matching_cognitive_load	api_candidate_33a7b799901f4853	Probability matching under n-back cognitive load versus single-task control	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_9da0a7e1aac2dcda	1.09	20	0.107	111	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_2b884d9e66b7d992	batch004_notrow_suicide_iat_prognostic_native	api_candidate_dfaca8efbd8c31d7	Suicide-IAT predictive-validity direct replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_09b67efbcc63b284	batch004_notrow_tandem_genes_molecular_replication	api_candidate_9706339e8a624a3e	Rolling-circle replication of tandem genes in Drosophila	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_2c480beb53aea7d0	batch004_notrow_gateway_belief_model_native	api_candidate_feea00e7428dcc37	Gateway belief model representative German replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_8966c41d1557dad4	batch004_notrow_ego_depletion_intro_duplicate_context	api_candidate_87df252a834b5bb9	Introduction to ego-depletion registered replication report	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_d61f11d71efd1a86	batch004_notrow_maier_retroactive_avoidance_bayes_native	api_candidate_6039855128a09623	Maier Experiment 4 retroactive avoidance multi-lab replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			327		2004	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_c255fdd751011f6d	batch004_notrow_maier_duplicate_record	api_candidate_65f624eddc68d50b	Duplicate Maier Experiment 4 retroactive avoidance metadata record	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_duplicate_candidate_same_source_family
result_disposition_b34f3b88656b3925	batch004_notrow_job_willpower_moderation_native	api_candidate_cf244abb2bbf6be7	Willpower mindset moderation of ego depletion	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			60		187	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_53425285e9fba0fe	batch004_notrow_religious_cues_dishonesty_conceptual	api_candidate_025c30471725eba5	Auditory religious cues and dishonest behavior	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan					408	retain_as_context_source_until_exact_original_target_is_resolved
result_disposition_928af2e72b2a492b	batch004_notrow_oxytocin_n170_genetics_native	api_candidate_a1ba220497e966a5	Oxytocinergic polymorphisms and face-inversion N170	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_0af0b4c16580c22b	batch004_notrow_darkness_dishonesty_original_effect_missing	api_candidate_f5027ea48e83c6e2	Darkness and dishonesty conceptual replication using coin toss task	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan				0.374	102	retain_as_context_source_until_original_effect_inputs_are_mirrored
result_disposition_84cfde755aa922a7	batch004_notrow_dyslexia_linkage_genetics_native	api_candidate_767774874f909c0c	Replication of reported linkages for dyslexia and spelling	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_2870d55b037eabfd	batch004_notrow_5httlpr_child_anxiety_native	api_candidate_4e90967ad6579d28	5HTTLPR and response to psychological therapy for child anxiety	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_6b4beacdf59f1c9b	batch004_notrow_buprenorphine_pharmacogenetic_native	api_candidate_4d7c60f8ed7fd665	rs678849 pharmacogenetic effect on buprenorphine efficacy	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_786a3dc4120e6083	batch006_notrow_trafimow_hughes_needs_recompute	api_candidate_410ff1685532db83	Trafimow and Hughes Study 3 mortality-salience no-delay word-generation contrast	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition		0.38	120	0.08	3447	recompute_rrr_exact_replication_d_from_osf_raw_data_or_analysis_code
result_disposition_d9c7bc7923de5d90	batch006_notrow_schiller_osf_registration_k2w4a	api_candidate_44137bf63c3bbdfa	Schiller et al. Nature 2010 registered replication OSF record	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						resolve_completed_replication_article_or_results_package_before_value_extraction
result_disposition_c7150bff5ae969dd	batch006_notrow_schiller_osf_registration_8chqu	api_candidate_fcdbe8ce78bf22a0	Schiller et al. Nature 2010 registered replication duplicate OSF record	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						resolve_completed_replication_article_or_results_package_before_value_extraction
result_disposition_731ccc8d19473027	batch006_notrow_phonological_priming_source_blocked	api_candidate_96a758378eb37b0e	Phonological priming rapid-naming failure	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_a8027cd1b37cca24	batch006_notrow_mehta_zhu_color_priming_source_blocked	api_candidate_821f217890822e88	Mehta and Zhu color-priming anagram solution times	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_f46460f5d2890991	batch006_notrow_mager_conflict_priming_native_interaction	api_candidate_03e239b5107526a4	Mager et al. intermodal cognitive-conflict priming	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_c0e261b0b41b7daf	batch006_notrow_positive_affirmations_source_blocked	api_candidate_53e20f8627a320c7	Positive affirmations and self-esteem	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_8576bbffac93fc0c	batch006_notrow_ciani_sheldon_letter_priming_source_blocked	api_candidate_74f56abca426fbc9	Ciani and Sheldon letter priming and intelligence	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_ef4d2b24363ec414	batch006_notrow_name_priming_conceptual_source_blocked	api_candidate_ccd98d70dd2472bf	Name priming effects as implicit self-esteem	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_6c468cc5ea9aa5ab	batch006_notrow_self_construal_spatial_memory_source_blocked	api_candidate_5d432a85cc83bb79	Self-construal priming and spatial memory recall	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_9d7f034a9e27b5c3	batch006_notrow_resource_scarcity_conceptual_source_blocked	api_candidate_ccea3138ba9e9efa	Resource scarcity priming and face perception	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_ba71b0602675eba3	batch006_notrow_money_priming_ses_source_blocked	api_candidate_705797b93ca7def0	Money priming and socioeconomic system support	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_5197b136679030b7	batch006_notrow_duck_hepatitis_molecular_sequence	api_candidate_ff3e2677820a4fca	Duck hepatitis B virus direct-repeat sequence mechanism	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_aeb8a2f51e0ba114	batch006_notrow_approximate_arithmetic_source_blocked	api_candidate_0eb40892da116803	Approximate arithmetic training and symbolic arithmetic fluency	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_3ac6e60ebf0004bc	batch006_notrow_cbca_contextual_bias_source_blocked	api_candidate_d51bbeeeb3386937	Contextual bias in Criteria-Based Content Analysis	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_5a2cfe522c794089	batch006_notrow_cognitive_interview_source_blocked	api_candidate_f998e9bbe8b93e3b	Cognitive interview effectiveness independent replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_b1ee649998a7831e	batch006_notrow_education_conspiracy_source_blocked	api_candidate_49040530056b1fbf	Education and conspiracy beliefs replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_eafeae8ff7db10e5	batch006_notrow_recovered_memories_survey_native	api_candidate_6c82de233d0d6376	Recovered memories survey replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_7e4ed59be70d3733	batch006_notrow_sex_difference_reactions_outcome_policy	api_candidate_4dc2cff8320f0b0e	Reactions to female- versus male-favoring sex differences	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan					303	retain_as_context_until_original_effect_and_single_outcome_d_route_are_extracted
result_disposition_2729f7a8a0dd88c7	batch006_notrow_eimer_pci_decision_artifact	api_candidate_5f49de82f6ecf01a	Eimer N2pc PCI decision/review artifact	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_review_artifact_keep_under_eimer_native_context_if_needed
result_disposition_28d716ed12679e7c	batch006_notrow_eimer_pci_review2_artifact	api_candidate_9d9c8a6d88ce0e24	Eimer N2pc PCI reviewer artifact	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_review_artifact_keep_under_eimer_native_context_if_needed
result_disposition_526c2f1ad53b6e1c	batch006_notrow_eimer_pci_recommendation_artifact	api_candidate_765478f6b84f2712	Eimer N2pc PCI recommendation artifact	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_review_artifact_keep_under_eimer_native_context_if_needed
result_disposition_aaa32be773ed0cbf	batch006_notrow_eimer_pci_review1_artifact	api_candidate_3bd91c9eb99033f2	Eimer N2pc PCI reviewer artifact	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_review_artifact_keep_under_eimer_native_context_if_needed
result_disposition_11dc1f30eb8559fb	batch006_notrow_ego_depletion_extension_duplicate_context	api_candidate_a84a2bcb4c4ddffa	Ego-depletion RRR extension to research program	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_context_not_current_individual_row
result_disposition_60458e3f524349e0	batch006_notrow_five_cs_supplement_only	api_candidate_879a9de1b31ac6eb	Five Cs model supplemental material	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						resolve_primary_article_if_this_conceptual_replication_is_prioritized
result_disposition_52d7d72dd3d6be9b	batch006_notrow_shenhav_intuitive_mindset_original_effect_missing	api_candidate_006071e798115bf1	Shenhav/Rand/Greene intuitive mindset and belief in God	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			373	6.448	858	extract_original_shenhav_study3_two_condition_effect_before_promotion
result_disposition_50b70231190e837c	batch006_notrow_religious_orientations_measurement_native	api_candidate_6e800d9ae94a3691	Measurement of Religious Orientations Polish replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_measurement_context_not_current_figure1_row
result_disposition_6e73998094a1671b	batch006_notrow_character_morality_media_source_blocked	api_candidate_b3869535651b5f0e	Character morality, enjoyment, and appreciation media replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_b33fd64a36778487	batch006_notrow_rhumba_commentary	api_candidate_33813e7fcb6a8243	A Rhumba of Rs replication commentary	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_context_article
result_disposition_382bc0eb9799528e	batch006_notrow_azar_dishonesty_source_blocked	api_candidate_c90e8b5ff29bcd78	Azar et al. dishonesty field experiment registered replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_63c6e3d9c8d8e3d6	batch006_notrow_loftus_misinformation_source_blocked	api_candidate_0367fa32a3d09f7b	Loftus misinformation effect registered-report replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_or_repository_parse_if_prioritized
result_disposition_f061cd2b98ec0461	batch006_notrow_griskevicius_proenvironmental_source_blocked	api_candidate_a939357d526cdfa3	Griskevicius status-motivation pro-environmental behavior collaborative replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						mirror_collabra_article_or_repository_data_and_extract_effects_if_prioritized
result_disposition_fb9f0aca99bbf30c	batch006_notrow_prosocial_simulation_supplement_only	api_candidate_65818e4f091ba388	Prosocial simulation supplemental material	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						resolve_primary_article_if_this_cross_national_replication_is_prioritized
result_disposition_dd0aeeff666c969b	batch006_notrow_hrv_cordless_phone_retracted	api_candidate_976ad212f2c9e0d5	Retracted heart-rate-variability cordless-phone provocation replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_retracted_source_for_current_figure1_batch
result_disposition_4a6adb577bf3aa9e	batch006_notrow_weapon_focus_original_values_missing	api_candidate_64a39a53876c51c1	Weapon focus effect online preregistered failures	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition		2.03		-0.138	1316	resolve_pickel_sneyd_2018_experiment2_original_n_and_decide_target_description_or_lineup_route
