promotion_id	value_scan_id	candidate_id	scan_decision	promotion_decision	pair_id	original_title	original_doi	replication_title	replication_doi	outcome	D_original	N_original	D_replication	N_replication	local_support_paths	original_support_text	replication_support_text	conversion_or_policy_note	next_action
individual_promotion_1cb03fb963cd227b	batch003_notrow_kahneman_stage1_no_results	api_candidate_810171915e0f8ccd	not_row_registered_report_stage1_no_results	hold_for_policy_or_value_reconciliation	individual_api_candidate_810171915e0f8ccd_representativeness_heuristic_registered_report	of Kahneman and Tversky (1973)		The Representativeness Heuristic Revisited: Registered Replication Report of Kahneman and Tversky (1973)	10.24072/pci.rr.100609	Representativeness heuristic registered report					data/raw/replication_projects/individual_search_batch001/api_candidate_810171915e0f8ccd/01_rr_peercommunityin_org_articles_rec_id_609_0d007fe177ed.html	Mirrored PCI Registered Reports page identifies a Kahneman and Tversky target.	The same page states data collection is not complete and the results/abstract text uses randomized data as a placeholder.	No replication values exist in the mirrored source object.	recheck_after_stage2_results_are_published
individual_promotion_8788ce3037786a59	batch003_notrow_xu_tenenbaum_native	api_candidate_6287214392755e51	not_row_native_only_no_defensible_d_route	hold_for_policy_or_value_reconciliation	individual_api_candidate_6287214392755e51_social_context_and_lexical_knowledge_learning_re	Xu and Tenenbaum (2007b).		Understanding the effect of social context on learning: A replication of Xu and Tenenbaum (2007b).	10.1037/xge0000203	Social context and lexical knowledge learning replication					data/raw/replication_projects/individual_search_batch001/api_candidate_6287214392755e51/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000203_95f52a94846c.html | data/raw/replication_projects/individual_search_batch001/api_candidate_6287214392755e51/02_pubmed_ncbi_nlm_nih_gov_27560856_e9a55514fa97.html | data/raw/replication_projects/individual_search_batch001/api_candidate_6287214392755e51/03_openalex_org_w2518063274_158469730ed2.html | data/raw/replication_projects/individual_search_batch001/api_candidate_6287214392755e51/04_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000203_95f52a94846c.html | data/raw/replication_projects/individual_search_batch001/api_candidate_6287214392755e51/02_pubmed_ncbi_nlm_nih_gov_27560856_3c4bd94047f7.html | data/raw/replication_projects/individual_search_batch001/api_candidate_6287214392755e51/02_pubmed_ncbi_nlm_nih_gov_27560856_dce3a56dc1b1.html	Candidate maps to a specific Xu and Tenenbaum learning target, but only metadata/landing pages were available locally.	No matched D/N extraction is available from mirrored bytes.	Keep as native/coverage until a value-bearing article or data source is mirrored.	manual_acquisition_if_native_learning_effects_are_in_scope
individual_promotion_a8907bb056206964	batch003_notrow_bock_animacy_source_blocked	api_candidate_786cc2f5ecc3de84	not_row_native_binary_structural_priming_no_current_d_route	hold_for_policy_or_value_reconciliation	individual_api_candidate_786cc2f5ecc3de84_animacy_and_structural_priming_replication	Bock, Loebell and Morey (1992)		The effect of animacy on structural Priming: A replication of Bock, Loebell and Morey (1992)	10.1016/j.jml.2022.104354	Animacy and structural priming replication				496	data/raw/replication_projects/individual_search_batch001/api_candidate_786cc2f5ecc3de84/01_linkinghub_elsevier_com_retrieve_pii_s0749596x22000419_fe957ff1b553.html | data/raw/replication_projects/individual_search_batch001/api_candidate_786cc2f5ecc3de84/02_biblio_ugent_be_publication_01gs748yef5hc5av639v0nngrt_8e890cf92811.html | data/raw/replication_projects/individual_search_batch001/api_candidate_786cc2f5ecc3de84/03_osf_io_buzf6_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/api_candidate_786cc2f5ecc3de84/04_osf_io_j743a_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/api_candidate_786cc2f5ecc3de84/05_osf_io_j743a_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/api_candidate_786cc2f5ecc3de84/06_osf_io_buzf6_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/api_candidate_786cc2f5ecc3de84/07_openalex_org_w4289766339_158469730ed2.html | data/raw/replication_projects/individual_search_batch001/api_candidate_786cc2f5ecc3de84/02_biblio_ugent_be_publication_01gs748yef5hc5av639v0nngrt_45bd7ebc7826.html | data/raw/replication_projects/individual_search_batch001/api_candidate_786cc2f5ecc3de84/02_biblio_ugent_be_publication_01gs748yef5hc5av639v0nngrt_5bc0ff4d77dd.html | data/raw/replication_projects/individual_search_batch002/api_candidate_786cc2f5ecc3de84/manual/bock_animacy_osf_buzf6.bin | data/raw/replication_projects/individual_search_batch002/api_candidate_786cc2f5ecc3de84/manual/bock_animacy_osf_j743a.bin | data/raw/replication_projects/individual_search_batch002/api_candidate_786cc2f5ecc3de84/manual/bock_animacy_ugent.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_786cc2f5ecc3de84/manual/osf_buzf6/A list of deviations from the Stage 1 approved submission.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_786cc2f5ecc3de84/manual/osf_buzf6/Stage 1 approved submission.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_786cc2f5ecc3de84/manual/osf_buzf6/analyses.R | data/raw/replication_projects/individual_search_batch002/api_candidate_786cc2f5ecc3de84/manual/osf_buzf6/data.csv | data/raw/replication_projects/individual_search_batch002/api_candidate_786cc2f5ecc3de84/manual/osf_buzf6/materials.xlsx	Mirrored OSF project and ScienceDirect metadata identify the Bock, Loebell, and Morey (1992) structural-priming target and provide article/data/protocol artifacts.	ScienceDirect metadata and mirrored OSF data report a well-powered replication with n = 496 and binary active/passive structural-priming responses.	Not promoted because the focal effects are binary structural-priming and animacy-binding effects analyzed with logistic/mixed-model methods; no current policy maps this to one D/N row.	retain_as_native_or_context_source_not_current_figure1_row
individual_promotion_f577c41b8fced012	batch003_notrow_rabbitt_original_n_missing	api_candidate_c49eb133d5977b06	manual_acquisition_needed_original_n	hold_for_policy_or_value_reconciliation	individual_api_candidate_c49eb133d5977b06_rabbitt_experiment_2_speech_masking_direct_repli	Rabbitt (1968) Experiment 2		Recall of Speech is Impaired by Subsequent Masking Noise: A Replication of Rabbitt (1968) Experiment 2	10.1080/25742442.2021.1896908	Rabbitt Experiment 2 speech masking direct replication	0.19		0.19	200	data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/02_pmc_ncbi_nlm_nih_gov_articles_pmc8262135_f0add6db277d.html | data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/03_openalex_org_w3122990348_158469730ed2.html | data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/02_pmc_ncbi_nlm_nih_gov_articles_pmc8262135_5425c883081d.html | data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/02_pmc_ncbi_nlm_nih_gov_articles_pmc8262135_6dcd4fd4d23b.html | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/brown_rabbitt_pdf.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/brown_rabbitt_pdf.txt | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/cinii.html | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/doi.html | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/pubmed.html | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/sage_full.html | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/sage_pdf.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/rabbitt_replication_pmc.html | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_c49eb133d5977b06/embedded_pdf__1c22cd936e7e__nihms-1679219.pdf | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_c49eb133d5977b06/openalex_landing_page_url__10_1080_25742442_2021_1896908__dialnet_unirioja_es__12b96061995d.html | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_c49eb133d5977b06/semantic_scholar_landing_page__10_1080_25742442_2021_1896908__www_semanticscholar_org__15a2f15e1ff9.html | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_c49eb133d5977b06/semantic_scholar_open_access_pdf__10_1080_25742442_2021_1896908__pmc_ncbi_nlm_nih_gov__d4139a16a798.html	Mirrored PMC replication reports the original effect as d = 0.19, but does not give the original total N for the focal result.	Mirrored PMC replication reports a final analyzed replication sample of 200 and d = 0.19.	Do not promote until original Rabbitt N is extracted from the original article or another value-bearing source.	manual_acquisition_of_rabbitt_1968_original_or_authoritative_table_with_original_n
individual_promotion_4658c60cf344dd9b	batch003_notrow_bem_study8_source_blocked	api_candidate_fbe05a26e9edabb8	not_row_duplicate_represented_by_existing_galak2012_aggregate	hold_for_policy_or_value_reconciliation	individual_api_candidate_fbe05a26e9edabb8_bem_study_8_procedure_replication	the Procedures from Bem (2010, Study 8) and a Failure to Replicate the Same Results		A Replication of the Procedures from Bem (2010, Study 8) and a Failure to Replicate the Same Results	10.2139/ssrn.1699970	Bem Study 8 procedure replication	99	100	111	112	data/raw/replication_projects/individual_search_batch002/api_candidate_fbe05a26e9edabb8/manual/bem_study8_ssrn.html | data/raw/replication_projects/individual_search_batch002/api_candidate_fbe05a26e9edabb8/manual/bem_study8_ssrn.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_fbe05a26e9edabb8/manual/depaul_bem_study8_replication_pdf.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_fbe05a26e9edabb8/manual/depaul_bem_study8_replication_pdf.txt	Mirrored DePaul/SSRN PDF Table 2 reports Bem (2010, Study 8) N = 100 and weighted differential recall t(99) = 1.92, p = .029.	The same mirrored PDF reports the Galak and Nelson full sample N = 112 and weighted differential recall t(111) = -1.31, p = .194.	Do not add a new plotted row because current FIGURE1_REPLICATION_PAIRS.tsv already includes the Galak et al. 2012 psi meta-analysis row covering Bem precognition replications; retain this paper as a source-result child/coverage lead.	already_represented_by_manual_bem_precognition_galak_2012_root_row
individual_promotion_defbf62cab6c5a7d	batch003_notrow_panero_commentary	api_candidate_5b9f95d4c0a9b686	not_row_reject_commentary_or_method_dispute	hold_for_policy_or_value_reconciliation	individual_api_candidate_5b9f95d4c0a9b686_panero_methods_caused_failure_commentary_dispute	methods caused the failure to replicate results.		Panero et al. (2016): Failure to replicate methods caused the failure to replicate results.	10.1037/pspa0000072	Panero methods-caused-failure commentary/dispute					data/raw/replication_projects/individual_search_batch001/api_candidate_5b9f95d4c0a9b686/01_psycnet_apa_org_443_doilanding_doi_10_1037_pspa0000072_95f52a94846c.html	Search hit is framed around why a prior replication failed rather than a new original-vs-replication result row.	No independent value-bearing replication result was identified from local mirrored bytes.	Reject as a non-row context/dispute item.	reject_irrelevant_or_keep_as_context_source
individual_promotion_42583dc8a7992190	batch003_notrow_red_romance_original_values_missing	IND-015	source_blocked_original_value_bearing_text_missing	hold_for_policy_or_value_reconciliation	individual_ind_015_red_romance_preregistered_replications	Romantic Red: Red Enhances Men's Attraction to Women; plus related red-romance women-rating-men study		Is Red Really Romantic? Two Pre-Registered Replications of the Red-Romance Hypothesis	10.1027/1864-9335/a000296	Red-romance preregistered replications			0.09	242	data/raw/replication_projects/individual_search_batch001/IND-015/crossref_red_romance_10_1027_1864_9335_a000296.json | data/raw/replication_projects/individual_search_batch001/IND-015/hogrefe_red_romance_full_attempt.html | data/raw/replication_projects/individual_search_batch001/IND-015/hogrefe_red_romance_pdf_attempt.html	Crossref metadata and references identify red-romance original targets including Elliot & Niesta (2008) and Elliot et al. (2010), but local bytes do not expose the exact original study-level attraction effect sizes and Ns needed for a matched row.	Mirrored Crossref metadata for Lehmann and Calin-Jageman (2017), DOI 10.1027/1864-9335/a000296, reports two preregistered replications: men rating women, d = 0.09, 95% CI [-0.17, 0.34], N = 242; women rating men, signed d = -0.09, 95% CI [-0.30, 0.12], N = 360. Hogrefe full/PDF routes currently mirror Cloudflare challenge pages, not value-bearing article text.	Do not promote from metadata alone. Replication D magnitudes are exposed in Crossref abstract text, but original D/N values and exact matched original study/outcome rows remain missing from local value-bearing bytes.	manual_acquisition_of_hogrefe_article_or_author_manuscript_or_original_red_romance_value_tables
individual_promotion_0f20fae6da9b16fb	batch003_notrow_marshmallow_native	IND-016	not_row_native_only_no_defensible_d_route	hold_for_policy_or_value_reconciliation	individual_ind_016_marshmallow_test_conceptual_replication_and_long	Predicting Adolescent Cognitive and Self-Regulatory Competencies from Preschool Delay of Gratification	10.1037/0012-1649.26.6.978	Revisiting the Marshmallow Test: A Conceptual Replication Investigating Links Between Early Delay of Gratification and Later Outcomes	10.1177/0956797618761661	Marshmallow test conceptual replication and longitudinal outcomes					data/raw/replication_projects/individual_search_batch001/IND-016/01_psycnet_apa_org_443_doilanding_doi_10_1037_0012_1649_26_6_978_8ad2a6e8ad13.html | data/raw/replication_projects/individual_search_batch001/IND-016/01_psycnet_apa_org_443_doilanding_doi_10_1037_0012_1649_26_6_978_209da2c51818.html | data/raw/replication_projects/individual_search_batch001/IND-016/01_psycnet_apa_org_443_doilanding_doi_10_1037_0012_1649_26_6_978_333cc33935a0.html | data/raw/replication_projects/individual_search_batch001/IND-016/01_psycnet_apa_org_443_doilanding_doi_10_1037_0012_1649_26_6_978_e333a74602a5.html	Candidate is a real conceptual replication/follow-up of delay-of-gratification outcomes.	Effects are longitudinal associations/regressions with covariate choices, not a matched D/SMD treatment-control contrast.	Keep as native-only/coverage unless Figure 1 admits native longitudinal association rows.	retain_as_native_or_context_source_not_current_figure1_row
individual_promotion_4b22228d343f8ea5	batch003_value_signing_beginning_matrix_direct_replication	IND-017	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_ind_017_signing_at_the_beginning_matrix_overreporting_st	Signing at the Beginning Makes Ethics Salient and Decreases Dishonest Self-Reports in Comparison to Signing at the End	10.1073/pnas.1209746109	Signing at the Beginning Versus at the End Does Not Decrease Dishonesty	10.1073/pnas.1911695117	Signing-at-the-beginning matrix overreporting, Study 1 direct replication	1.05	68	0.04	1235	data/raw/replication_projects/individual_search_batch001/IND-017/manual/manifest_sha256.tsv | data/raw/replication_projects/individual_search_batch001/IND-017/manual/shu_2012_original_pmc3458378.html | data/raw/replication_projects/individual_search_batch001/IND-017/manual/signing_replication_pmc7132248.html	Mirrored PNAS replication PMC Table 2 reports Shu et al. Study 1 sample size 101, 3 conditions, paper matrix average-performance signed d = -1.05 [95% CI -1.55, -0.53]. Mirrored original PMC reports the focal top and bottom cells as 13/35 cheaters and 26/33 cheaters, with overreported matrix performance M = 0.77, SD = 1.44 versus M = 3.94, SD = 4.07, which recomputes signed d = -1.0509 for N = 68.	Mirrored PNAS replication PMC Table 2 reports Study 6 as a direct replication of PNAS Study 1, sample size 1,235, 2 conditions, paper matrix and travel-expense task, and paper matrix average-performance signed d = -0.04 [95% CI -0.07, 0.15]. The text states Study 6 directly replicated Shu et al. Study 1 while excluding the pure control condition.	Extraction source for both signed d values is the mirrored replication article table; represented original source is separately mirrored in PMC. Figure 1 stores nonnegative D magnitudes, so promote abs(-1.05) = 1.05 and abs(-0.04) = 0.04. Use N = 68 for the original top-vs-bottom d because the original three-arm total N = 101 includes a no-signature control not used in the replicated two-condition contrast.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_79b3dca5df544b28	batch011_value_mating_motives_greitemeyer_exp1_sexual_risk_direct_replication	IND-019	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_ind_019_mating_motive_prime_effect_on_male_sexual_risk_t	Romantic motives and risk-taking: an evolutionary approach	10.1080/13669877.2012.713388	Romance, Risk, and Replication: Can Consumer Choices and Risk-Taking be Primed by Mating Motives?	10.1037/xge0000116	Mating-motive prime effect on male sexual risk-taking, Greitemeyer Experiment 1 / Shanks Study 7a	0.7799	31	0.0111	120	data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_95f52a94846c.html | data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_627a68d5258e.html | data/raw/replication_projects/individual_search_batch001/IND-019/crossref_greitemeyer_2013_romantic_motives_risk_taking.json | data/raw/replication_projects/individual_search_batch001/IND-019/crossref_griskevicius_2007_blatant_benevolence.json | data/raw/replication_projects/individual_search_batch001/IND-019/osf_ytvj7_Priming_Mating_Motives_complete_data.xlsx | data/raw/replication_projects/individual_search_batch001/IND-019/osf_ytvj7_files_api.json | data/raw/replication_projects/individual_search_batch001/IND-019/osf_zubfs_Meta-analysis_data.xlsx | data/raw/replication_projects/individual_search_batch001/IND-019/osf_zubfs_files_api.json | data/raw/replication_projects/individual_search_batch001/IND-019/shanks_mating_motives_accepted_manuscript.pdf | data/raw/replication_projects/individual_search_batch001/IND-019/shanks_mating_motives_accepted_manuscript.txt	Mirrored OSF meta-analysis workbook `Meta-analysis_data.xlsx` row Greitemeyer et al. (2013), Experiment 1 reports statistic t(29) = 2.17, n1 = 16, n2 = 15, d = 0.7799, and computation note `Cohen's d computed from t-value.` Mirrored Shanks article Table 2 identifies Study 7a as a closer replication of Greitemeyer et al. Experiment 1 with male participants.	Mirrored Shanks article Methods for Study 7a report a final male sample of 120, larger than Greitemeyer et al.'s n = 31. Table 3 reports sexual risk-taking prime n = 61, M = 3.91, SD = 1.76 and control n = 59, M = 3.89, SD = 1.86; the Results section reports no priming effect, t(118) = 0.07.	Use OSF source-reported original d = 0.7799. Recompute replication D from Table 3 as abs((3.91 - 3.89) / pooled_sd), with pooled_sd from n = 61/59 and SD = 1.76/1.86, giving d = 0.0111. Figure 1 stores nonnegative D magnitudes.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_4b70d7b5023bb756	batch011_value_mating_motives_greitemeyer_exp2_gambling_risk_close_replication	IND-019	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_ind_019_mating_motive_prime_effect_on_male_gambling_risk	Romantic motives and risk-taking: an evolutionary approach	10.1080/13669877.2012.713388	Romance, Risk, and Replication: Can Consumer Choices and Risk-Taking be Primed by Mating Motives?	10.1037/xge0000116	Mating-motive prime effect on male gambling risk-taking, Greitemeyer Experiment 2 / Shanks Study 7b	0.8064	42	0.0636	106	data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_95f52a94846c.html | data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_627a68d5258e.html | data/raw/replication_projects/individual_search_batch001/IND-019/crossref_greitemeyer_2013_romantic_motives_risk_taking.json | data/raw/replication_projects/individual_search_batch001/IND-019/crossref_griskevicius_2007_blatant_benevolence.json | data/raw/replication_projects/individual_search_batch001/IND-019/osf_ytvj7_Priming_Mating_Motives_complete_data.xlsx | data/raw/replication_projects/individual_search_batch001/IND-019/osf_ytvj7_files_api.json | data/raw/replication_projects/individual_search_batch001/IND-019/osf_zubfs_Meta-analysis_data.xlsx | data/raw/replication_projects/individual_search_batch001/IND-019/osf_zubfs_files_api.json | data/raw/replication_projects/individual_search_batch001/IND-019/shanks_mating_motives_accepted_manuscript.pdf | data/raw/replication_projects/individual_search_batch001/IND-019/shanks_mating_motives_accepted_manuscript.txt	Mirrored OSF meta-analysis workbook `Meta-analysis_data.xlsx` row Greitemeyer et al. (2013), Experiment 2 reports statistic t(40) = 2.61, n1 = 22, n2 = 20, d = 0.8064, and computation note `Cohen's d computed from t-value.` Mirrored Shanks article says Study 7b did the same closer replication for Greitemeyer et al. Experiment 2 measuring gambling, with identical gambling questions and male participants.	Mirrored Shanks article Methods for Study 7b report a final male sample of 106, larger than the original n = 42. Table 3 reports gambling risk-taking prime n = 53, M = 0.76, SD = 1.11 and control n = 53, M = 0.83, SD = 1.09; the Results section reports no priming effect, t(104) = -0.35.	Use OSF source-reported original d = 0.8064. Recompute replication D from Table 3 as abs((0.76 - 0.83) / pooled_sd), with pooled_sd from equal n = 53/53 and SD = 1.11/1.09, giving d = 0.0636. Study 7b used online collection, so retain the close-replication context in support text.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_c277b7121a99f632	batch012_value_mating_motives_greitemeyer_exp3_driving_risk_shanks_study5	IND-019	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_ind_019_mating_motive_prime_effect_on_male_risky_driving	Romantic motives and risk-taking: An evolutionary approach	10.1080/13669877.2012.713388	Romance, Risk, and Replication: Can Consumer Choices and Risk-Taking be Primed by Mating Motives?	10.1037/xge0000116	Mating-motive prime effect on male risky driving, Greitemeyer Experiment 3 / Shanks Study 5	1.6112	59	0.1904	79	data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_95f52a94846c.html | data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_627a68d5258e.html | data/raw/replication_projects/individual_search_batch001/IND-019/crossref_greitemeyer_2013_romantic_motives_risk_taking.json | data/raw/replication_projects/individual_search_batch001/IND-019/crossref_griskevicius_2007_blatant_benevolence.json | data/raw/replication_projects/individual_search_batch001/IND-019/osf_ytvj7_Priming_Mating_Motives_complete_data.xlsx | data/raw/replication_projects/individual_search_batch001/IND-019/osf_ytvj7_files_api.json | data/raw/replication_projects/individual_search_batch001/IND-019/osf_zubfs_Meta-analysis_data.xlsx | data/raw/replication_projects/individual_search_batch001/IND-019/osf_zubfs_files_api.json | data/raw/replication_projects/individual_search_batch001/IND-019/shanks_mating_motives_accepted_manuscript.pdf | data/raw/replication_projects/individual_search_batch001/IND-019/shanks_mating_motives_accepted_manuscript.txt	Mirrored OSF meta-analysis workbook `Meta-analysis_data.xlsx` row Greitemeyer et al. (2013), Experiment 3 reports male short-term mating-prime M = 56.33 SD = 17.32, long-term mating-prime M = 53.53 SD = 13.65, and control M = 32.37 SD = 11.83 for chances to drive recklessly, planned contrast t(110) = 6.09, n1 = 17 + 18, n2 = 24, d = 1.6112. The computation note says Cohen's d was computed from the means and SDs after averaging the short-term and long-term mating-prime conditions.	Mirrored Shanks article Table 2 maps Study 5 to Greitemeyer et al. (2013) Experiments 3 and 4 for male participants. Study 5 Methods state that risky driving behavior was assessed by Greitemeyer et al. (2013, Experiment 3) and used the same 10-item questionnaire. Table 3 reports risk-taking (driving), male prime n = 39, M = 34.19, SD = 15.81 and control n = 40, M = 37.19, SD = 15.71; the Results section reports no significant priming effect, t(77) = -0.85.	Use OSF source-reported original d = 1.6112 for the planned mating-prime versus control driving-risk contrast. Recompute replication D from Shanks Table 3 as abs((34.19 - 37.19) / pooled_sd), with pooled_sd from n = 39/40 and SD = 15.81/15.71, giving d = 0.1904. Figure 1 stores nonnegative D magnitudes.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_0a273a08f28b1a69	batch012_value_mating_motives_greitemeyer_exp1_sexual_risk_shanks_study6	IND-019	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_ind_019_mating_motive_prime_effect_on_male_sexual_risk_t	Romantic motives and risk-taking: An evolutionary approach	10.1080/13669877.2012.713388	Romance, Risk, and Replication: Can Consumer Choices and Risk-Taking be Primed by Mating Motives?	10.1037/xge0000116	Mating-motive prime effect on male sexual risk-taking, Greitemeyer Experiment 1 / Shanks Study 6	0.7799	31	0.3308	56	data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_95f52a94846c.html | data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_627a68d5258e.html | data/raw/replication_projects/individual_search_batch001/IND-019/crossref_greitemeyer_2013_romantic_motives_risk_taking.json | data/raw/replication_projects/individual_search_batch001/IND-019/crossref_griskevicius_2007_blatant_benevolence.json | data/raw/replication_projects/individual_search_batch001/IND-019/osf_ytvj7_Priming_Mating_Motives_complete_data.xlsx | data/raw/replication_projects/individual_search_batch001/IND-019/osf_ytvj7_files_api.json | data/raw/replication_projects/individual_search_batch001/IND-019/osf_zubfs_Meta-analysis_data.xlsx | data/raw/replication_projects/individual_search_batch001/IND-019/osf_zubfs_files_api.json | data/raw/replication_projects/individual_search_batch001/IND-019/shanks_mating_motives_accepted_manuscript.pdf | data/raw/replication_projects/individual_search_batch001/IND-019/shanks_mating_motives_accepted_manuscript.txt	Mirrored OSF meta-analysis workbook `Meta-analysis_data.xlsx` row Greitemeyer et al. (2013), Experiment 1 reports statistic t(29) = 2.17, n1 = 16, n2 = 15, d = 0.7799, and computation note `Cohen's d computed from t-value.`	Mirrored Shanks article says Study 6 is a replication of Greitemeyer et al. (2013) Experiments 1 and 2, in which sexual and gambling risk-taking were measured. Study 6 Methods report final male N = 56. Table 3 reports sexual risk-taking, male prime n = 25, M = 2.73, SD = 1.51 and male control n = 31, M = 3.25, SD = 1.62. The Results report no effect of priming condition, F(1,93) = 1.15, p = .29, eta_p2 = .011.	Use OSF source-reported original d = 0.7799. Recompute replication D from the male Study 6 Table 3 cells as abs((2.73 - 3.25) / pooled_sd), with pooled_sd from n = 25/31 and SD = 1.51/1.62, giving d = 0.3308. This is a separate, less exact replication than Study 7a; keep both source-result rows rather than collapsing them.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_f39aee7eaed74b85	batch012_value_mating_motives_greitemeyer_exp2_gambling_risk_shanks_study6	IND-019	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_ind_019_mating_motive_prime_effect_on_male_gambling_risk	Romantic motives and risk-taking: An evolutionary approach	10.1080/13669877.2012.713388	Romance, Risk, and Replication: Can Consumer Choices and Risk-Taking be Primed by Mating Motives?	10.1037/xge0000116	Mating-motive prime effect on male gambling risk-taking, Greitemeyer Experiment 2 / Shanks Study 6	0.8064	42	0.2204	56	data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_95f52a94846c.html | data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_627a68d5258e.html | data/raw/replication_projects/individual_search_batch001/IND-019/crossref_greitemeyer_2013_romantic_motives_risk_taking.json | data/raw/replication_projects/individual_search_batch001/IND-019/crossref_griskevicius_2007_blatant_benevolence.json | data/raw/replication_projects/individual_search_batch001/IND-019/osf_ytvj7_Priming_Mating_Motives_complete_data.xlsx | data/raw/replication_projects/individual_search_batch001/IND-019/osf_ytvj7_files_api.json | data/raw/replication_projects/individual_search_batch001/IND-019/osf_zubfs_Meta-analysis_data.xlsx | data/raw/replication_projects/individual_search_batch001/IND-019/osf_zubfs_files_api.json | data/raw/replication_projects/individual_search_batch001/IND-019/shanks_mating_motives_accepted_manuscript.pdf | data/raw/replication_projects/individual_search_batch001/IND-019/shanks_mating_motives_accepted_manuscript.txt	Mirrored OSF meta-analysis workbook `Meta-analysis_data.xlsx` row Greitemeyer et al. (2013), Experiment 2 reports statistic t(40) = 2.61, n1 = 22, n2 = 20, d = 0.8064, and computation note `Cohen's d computed from t-value.`	Mirrored Shanks article says Study 6 is a replication of Greitemeyer et al. (2013) Experiments 1 and 2, in which sexual and gambling risk-taking were measured. Study 6 Methods report final male N = 56 and that four gambling questions included two from Greitemeyer et al. plus two similar new items. Table 3 reports gambling risk-taking, male prime n = 25, M = 1.16, SD = 1.11 and male control n = 31, M = 1.45, SD = 1.46. The Results report no main effects and no interaction, Fs < 1.	Use OSF source-reported original d = 0.8064. Recompute replication D from the male Study 6 Table 3 cells as abs((1.16 - 1.45) / pooled_sd), with pooled_sd from n = 25/31 and SD = 1.11/1.46, giving d = 0.2204. This is a separate, less exact replication than Study 7b; keep both source-result rows rather than collapsing them.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
