result_option_disposition_id	value_scan_id	candidate_id	outcome	promotion_decision	final_result_status	root_pair_id	D_original	N_original	D_replication	N_replication	next_action
result_disposition_b8e1d41a51f85a91	batch002_notrow_180_genetic_associations_native_many_rows	api_candidate_a848f855bce57e2b	Over 180 self-reported medical-data genetic associations	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_18891bb42d0fa018	batch002_notrow_hiv_influential_studies_replication_review	api_candidate_099c6eb209be07e5	Replication of influential HIV prevention/treatment studies	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_eac27a8bc8487867	batch002_notrow_scopolamine_original_source_blocked	api_candidate_710fd7eb55fc9d77	Scopolamine antidepressant efficacy crossover replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition			18	1.2	22	manual_acquisition_of_original_scopolamine_article_or_authoritative_value_table
result_disposition_d4a04da9c0769033	batch003_notrow_social_distance_study1_policy	api_candidate_9db26ff9b8058473	Social-distance priming Study 1 near-versus-far food-judgment replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		0.76	56		44	do_not_promote_unless_policy_allows_smaller_focal_replication_or_original_study3_effect_is_extracted
result_disposition_37d0babfaf555663	batch003_value_kim_markus_pen_choice	api_candidate_87bcf07e36a43a1c	Kim and Markus Study 3 uncommon-pen choice by culture	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_29a1275cd10ff152	1.22	56	0.24	729	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_76bd71aee82b6d24	batch003_value_horton_picture_naming_exp2a	api_candidate_4a9bce8aeff2f1ff	Partner-specific memory associations and picture naming, Experiment 2a	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_b164d95299e20718	0.68	16	0.12	49	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_fee623b805fcab66	batch003_notrow_giessner_schubert_replication_n_smaller	api_candidate_a2cc98ea84de7e9f	Giessner and Schubert Study 3a leader power and vertical placement	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		0.86	155	1.21	126	retain_as_context_source_not_current_figure1_row
result_disposition_2713c0831da93b78	batch003_notrow_irrelevant_speech_repeated_measures_eta	api_candidate_be86ec9a8c504504	Irrelevant-speech visual-spatial working-memory sound-type effect	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		.27	35	.020	40	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_19f5ca87b522bac6	batch003_notrow_hamlin_one_arm_binary_choice	api_candidate_3c0735598afbf79a	Infant helper preference manual choice	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		14	28	16	32	retain_as_context_source_not_current_figure1_row
result_disposition_db0e95339b7aa023	batch003_notrow_zajonc_roaches_original_interaction_not_tested	api_candidate_bb6c827070cfa1f7	Cockroach audience by task-difficulty social-facilitation interaction	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			40		120	manual_acquisition_if_interaction_effects_become_in_scope
result_disposition_56a9878f320f38f7	batch003_notrow_prosocial_spending_original_effect_missing	api_candidate_112b3ad59e12752d	Prosocial spending and post-windfall happiness original specification	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			46	.001	133	manual_acquisition_of_original_dunn_aknin_norton_value_inputs_if_prioritized
result_disposition_e927f97aebcb65de	batch003_notrow_kovacs_mehler_native_mixed_eye_tracking	api_candidate_4047d23b0380c97b	Kovacs and Mehler infant anticipatory-looking switch task	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan					98	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_4fabacbd2aba1be4	batch003_notrow_haselton_repeated_misperception_native	api_candidate_3a85115b6a4aad63	Sexual over- and underperception repeated-measures replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan					308	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_8faf7fa93e0721dd	batch003_notrow_shen_image_credibility_source_blocked	api_candidate_d98523e0ce3e5e0d	Online image credibility contextual direct/conceptual replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_if_this_2025_communication_replication_is_prioritized
result_disposition_a67fb6970129fb6a	batch003_notrow_carotid_real_world_native_non_independent	api_candidate_7c25e95e83db7d9a	Real-world replication of carotid endarterectomy randomized trial results	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition						manual_acquisition_if_clinical_real_world_validation_rows_are_in_scope
result_disposition_b1aa1cfc321eb327	batch003_notrow_cash_transfer_cluster_reanalysis_native	api_candidate_d1eefaf8893a8a31	Cash transfers and HIV/HSV-2 cluster randomized trial replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_same_data_reanalysis_for_current_figure1
result_disposition_0af0222b4139b0ab	batch003_notrow_eimer_n2pc_native_eeg	api_candidate_2528b3da1b30e174	Eimer N2pc EEGManyLabs registered replication report	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_a530ab40b3c5d624	batch003_notrow_eimer_cortex_duplicate_native_eeg	api_candidate_4c7df68bfa95fc50	Eimer N2pc Cortex multilab direct replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_ee7a449c185265e0	batch003_notrow_plasmid_pij101_molecular_replication	api_candidate_e93d5e20d7b766a7	Plasmid pIJ101 molecular replication sequence	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_ad7c040cc775394d	batch003_notrow_plasmid_rk2_molecular_replication	api_candidate_2537eb141b71e9b2	Broad-host-range plasmid RK2 TrfA replication proteins	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_aec301a36ae2294b	batch003_notrow_code_mangler_software_replication	api_candidate_7130a003da58b46c	Original Code Mangler software-engineering replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_c77fb00810108c7d	batch003_notrow_genetics_pseudofailure_commentary	api_candidate_c9556197558f1594	Non-replication of association studies pseudo-failures	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_ab98810a5c94d58d	batch003_notrow_large_scale_in_silico_ecology	api_candidate_946c9540a38d0ea1	Large-scale in silico replication of ecological and evolutionary studies	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_b8a4647faaf59ead	batch003_notrow_genetics_association_native_batch	api_candidate_82f4a34ce6636a71	Failure to replicate a genetic association	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_f59e2bd9735c901a	batch003_notrow_grin2a_coffee_genetics_native	api_candidate_608fb620bd3f49af	GRIN2A-by-coffee interaction in Parkinson disease	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_0d375ffbfddcaf3a	batch003_notrow_myopia_gene_loci_many_associations	api_candidate_4333d130d009ceae	Identification and replication of myopia susceptibility loci	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_afdb103850574f10	batch003_notrow_temporal_lobe_epilepsy_genetics_native	api_candidate_c392991176e2020d	Failure to replicate temporal-lobe epilepsy genetic associations	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_16c936284153de6a	batch003_notrow_authentic_pedagogy_native	api_candidate_d69512d607ea08f3	Authentic pedagogy multilevel achievement replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_f190e2ffce8460b2	batch003_notrow_messenger_source_blocked	api_candidate_b9cdb8cc6a76d362	Passive priming verb-semantics replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			24		240	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_b30d638508fcd8b5	batch003_notrow_weissman_native	api_candidate_9a6b74a967e69dba	Congruency sequence effect registered replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			43			retain_as_native_or_context_source_not_current_figure1_row
result_disposition_e28d8b9708cc6eb6	batch003_notrow_xu_tenenbaum_native	api_candidate_6287214392755e51	Social context and lexical knowledge learning replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						manual_acquisition_if_native_learning_effects_are_in_scope
result_disposition_4ec1691b22874894	batch003_notrow_bock_animacy_source_blocked	api_candidate_786cc2f5ecc3de84	Animacy and structural priming replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan					496	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_ffd437a9fcf9b719	batch003_notrow_rabbitt_original_n_missing	api_candidate_c49eb133d5977b06	Rabbitt Experiment 2 speech masking direct replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition		0.19		0.19	200	manual_acquisition_of_rabbitt_1968_original_or_authoritative_table_with_original_n
result_disposition_7634bf0a98493be7	batch003_notrow_bem_study8_source_blocked	api_candidate_fbe05a26e9edabb8	Bem Study 8 procedure replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		99	100	111	112	already_represented_by_manual_bem_precognition_galak_2012_root_row
result_disposition_e9f8dca5ff28dbda	batch003_notrow_panero_commentary	api_candidate_5b9f95d4c0a9b686	Panero methods-caused-failure commentary/dispute	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
