paper_id,prereg,publication_standard,pub_year
EAbr,FALSE,Academy of Management Journal,2011
PbQY,FALSE,Academy of Management Journal,2011
K9gO,FALSE,Academy of Management Journal,2011
qQz2,FALSE,Academy of Management Journal,2011
RYZk,TRUE,Academy of Management Journal,2011
zqrY,FALSE,Academy of Management Journal,2011
kQeP,FALSE,Academy of Management Journal,2011
vPrO,FALSE,Academy of Management Journal,2011
9KLy,FALSE,Academy of Management Journal,2011
WNmw,FALSE,Academy of Management Journal,2011
Z8Q4,FALSE,Academy of Management Journal,2011
VYQA,FALSE,Academy of Management Journal,2011
EAbx,FALSE,Academy of Management Journal,2011
xVrO,FALSE,Academy of Management Journal,2011
JW1y,FALSE,Academy of Management Journal,2011
VYZA,FALSE,Academy of Management Journal,2011
rmr7,FALSE,Academy of Management Journal,2011
epe7,FALSE,Academy of Management Journal,2011
8r4R,FALSE,Academy of Management Journal,2011
RYQk,FALSE,Academy of Management Journal,2011
3akZ,FALSE,Academy of Management Journal,2011
OeQb,FALSE,Academy of Management Journal,2011
yArp,FALSE,Academy of Management Journal,2011
71m9,FALSE,Academy of Management Journal,2011
BPdG,FALSE,Academy of Management Journal,2011
pGem,FALSE,Academy of Management Journal,2011
4rkw,FALSE,Academy of Management Journal,2011
NYQQ,FALSE,Academy of Management Journal,2011
wBr4,FALSE,Academy of Management Journal,2011
mGeZ,FALSE,Academy of Management Journal,2011
OeZb,FALSE,Academy of Management Journal,2011
0WLr,FALSE,Academy of Management Journal,2011
BPOX,FALSE,Academy of Management Journal,2011
qQr2,FALSE,Academy of Management Journal,2011
5KLq,FALSE,Academy of Management Journal,2011
AEqz,FALSE,Academy of Management Journal,2011
gpeY,FALSE,Academy of Management Journal,2011
QLQm,FALSE,Academy of Management Journal,2011
lpl2,FALSE,Academy of Management Journal,2011
bye9,FALSE,Academy of Management Journal,2011
5Kjq,FALSE,Academy of Management Journal,2011
Y8Qp,FALSE,Academy of Management Journal,2011
dxOp,FALSE,Academy of Management Journal,2011
BPWX,FALSE,Academy of Management Journal,2012
lpLJ,FALSE,Academy of Management Journal,2012
8rxR,FALSE,Academy of Management Journal,2012
kQJP,FALSE,Academy of Management Journal,2012
a4OQ,FALSE,Academy of Management Journal,2012
VY2A,FALSE,Academy of Management Journal,2012
wBz4,FALSE,Academy of Management Journal,2012
WNKr,FALSE,Academy of Management Journal,2012
Gdbp,FALSE,Academy of Management Journal,2012
K9BO,FALSE,Academy of Management Journal,2012
yAzp,FALSE,Academy of Management Journal,2012
Pb5Z,FALSE,Academy of Management Journal,2012
qQLg,FALSE,Academy of Management Journal,2012
Z8Z4,FALSE,Academy of Management Journal,2012
NYq9,FALSE,Academy of Management Journal,2012
rmLG,FALSE,Academy of Management Journal,2012
epaQ,FALSE,Academy of Management Journal,2012
lp12,FALSE,Academy of Management Journal,2012
vPep,FALSE,Academy of Management Journal,2012
QLem,FALSE,Academy of Management Journal,2012
19x4,FALSE,Academy of Management Journal,2012
DVRX,FALSE,Academy of Management Journal,2012
mGzZ,FALSE,Academy of Management Journal,2012
RYWL,FALSE,Academy of Management Journal,2012
epW7,FALSE,Academy of Management Journal,2012
0Wxr,FALSE,Academy of Management Journal,2012
WNKw,FALSE,Academy of Management Journal,2012
rmz7,FALSE,Academy of Management Journal,2012
RYWk,FALSE,Academy of Management Journal,2012
Oed0,FALSE,Academy of Management Journal,2012
BPWd,FALSE,Academy of Management Journal,2012
DV9r,FALSE,Academy of Management Journal,2012
Pb5Y,FALSE,Academy of Management Journal,2012
LRZG,FALSE,Academy of Management Journal,2012
3aZZ,FALSE,Academy of Management Journal,2012
XYZ8,FALSE,Academy of Management Journal,2012
9KEq,FALSE,Academy of Management Journal,2012
EAaa,FALSE,Academy of Management Journal,2012
PbZY,FALSE,Academy of Management Journal,2012
5K7q,FALSE,Academy of Management Journal,2012
zqx4,FALSE,Academy of Management Journal,2012
qQL2,FALSE,Academy of Management Journal,2012
pGzm,FALSE,Academy of Management Journal,2012
AEOr,FALSE,Academy of Management Journal,2012
GdKd,FALSE,Academy of Management Journal,2012
5K7E,FALSE,Academy of Management Journal,2012
jQKQ,FALSE,Academy of Management Journal,2012
Y84p,FALSE,Academy of Management Journal,2012
4rxw,FALSE,Academy of Management Journal,2012
Y89x,FALSE,Academy of Management Journal,2013
71gL,FALSE,Academy of Management Journal,2013
XYWK,FALSE,Academy of Management Journal,2013
19gN,FALSE,Academy of Management Journal,2013
JW9k,FALSE,Academy of Management Journal,2013
dxdV,FALSE,Academy of Management Journal,2013
4rw8,FALSE,Academy of Management Journal,2013
mGPV,FALSE,Academy of Management Journal,2013
yAQV,FALSE,Academy of Management Journal,2013
PbEZ,FALSE,Academy of Management Journal,2013
Y8Wx,FALSE,Academy of Management Journal,2013
xVaN,FALSE,Academy of Management Journal,2013
VY5K,FALSE,Academy of Management Journal,2013
0WX8,FALSE,Academy of Management Journal,2013
9Kll,FALSE,Academy of Management Journal,2013
Gd5d,FALSE,Academy of Management Journal,2013
pGvE,FALSE,Academy of Management Journal,2013
jQLN,FALSE,Academy of Management Journal,2013
9Klq,FALSE,Academy of Management Journal,2013
xVDN,FALSE,Academy of Management Journal,2013
WN5r,FALSE,Academy of Management Journal,2013
5KzE,FALSE,Academy of Management Journal,2013
RYBV,FALSE,Academy of Management Journal,2013
VYdK,FALSE,Academy of Management Journal,2013
a4Vx,FALSE,Academy of Management Journal,2013
kQ2W,FALSE,Academy of Management Journal,2013
XYOK,FALSE,Academy of Management Journal,2013
gpKz,FALSE,Academy of Management Journal,2013
OeE0,FALSE,Academy of Management Journal,2013
WNOr,FALSE,Academy of Management Journal,2013
RYVL,FALSE,Academy of Management Journal,2013
dxJV,FALSE,Academy of Management Journal,2013
5KQE,FALSE,Academy of Management Journal,2013
AEQr,FALSE,Academy of Management Journal,2013
yA2V,FALSE,Academy of Management Journal,2013
2RrG,FALSE,Academy of Management Journal,2013
EAqa,FALSE,Academy of Management Journal,2013
a4px,FALSE,Academy of Management Journal,2013
8rbX,FALSE,Academy of Management Journal,2013
3agJ,FALSE,Academy of Management Journal,2013
K9Rl,FALSE,Academy of Management Journal,2013
19rN,FALSE,Academy of Management Journal,2013
qQ8g,FALSE,Academy of Management Journal,2013
QLBK,FALSE,Academy of Management Journal,2013
vPwp,FALSE,Academy of Management Journal,2013
2ReG,FALSE,Academy of Management Journal,2013
Z8RK,FALSE,Academy of Management Journal,2013
PbPZ,FALSE,Academy of Management Journal,2013
8rgX,FALSE,Academy of Management Journal,2013
DVAX,FALSE,Academy of Management Journal,2013
4rrB,FALSE,Academy of Management Journal,2014
8rr5,FALSE,Academy of Management Journal,2014
5KQm,FALSE,Academy of Management Journal,2014
1990,FALSE,Academy of Management Journal,2014
RYYV,FALSE,Academy of Management Journal,2014
mGGm,FALSE,Academy of Management Journal,2014
dxx2,FALSE,Academy of Management Journal,2014
a44O,FALSE,Academy of Management Journal,2014
pGwj,FALSE,Academy of Management Journal,2014
byv4,FALSE,Academy of Management Journal,2014
BPPQ,FALSE,Academy of Management Journal,2014
Oe2y,FALSE,Academy of Management Journal,2014
eppm,FALSE,Academy of Management Journal,2014
mG8m,FALSE,Academy of Management Journal,2014
epvm,FALSE,Academy of Management Journal,2014
gppA,FALSE,Academy of Management Journal,2014
lpEz,FALSE,Academy of Management Journal,2014
AEE9,FALSE,Academy of Management Journal,2014
QLLl,FALSE,Academy of Management Journal,2014
vPQx,FALSE,Academy of Management Journal,2014
XYYQ,FALSE,Academy of Management Journal,2014
BPEQ,FALSE,Academy of Management Journal,2014
kQYy,FALSE,Academy of Management Journal,2014
QLjl,FALSE,Academy of Management Journal,2014
rmmq,FALSE,Academy of Management Journal,2014
3aaj,FALSE,Academy of Management Journal,2014
vPPx,FALSE,Academy of Management Journal,2014
rm3q,FALSE,Academy of Management Journal,2014
DVVe,FALSE,Academy of Management Journal,2014
2RRk,FALSE,Academy of Management Journal,2014
NYYB,FALSE,Academy of Management Journal,2014
WNNN,FALSE,Academy of Management Journal,2014
8rv5,FALSE,Academy of Management Journal,2014
VYd1,FALSE,Academy of Management Journal,2014
EAAj,FALSE,Academy of Management Journal,2014
3avj,FALSE,Academy of Management Journal,2014
yAA4,FALSE,Academy of Management Journal,2014
qQqb,FALSE,Academy of Management Journal,2014
wBNk,FALSE,Academy of Management Journal,2014
0WW2,FALSE,Academy of Management Journal,2014
0Wv2,FALSE,Academy of Management Journal,2014
DVDe,FALSE,Academy of Management Journal,2014
JWWB,FALSE,Academy of Management Journal,2014
xVjP,FALSE,Academy of Management Journal,2014
K99J,FALSE,Academy of Management Journal,2014
Gdd4,FALSE,Academy of Management Journal,2014
7112,FALSE,Academy of Management Journal,2014
Gdq4,FALSE,Academy of Management Journal,2014
PbEJ,FALSE,Academy of Management Journal,2014
jQmd,FALSE,Academy of Management Journal,2014
zq1y,FALSE,Academy of Management Journal,2015
19D0,FALSE,Academy of Management Journal,2015
BPlQ,FALSE,Academy of Management Journal,2015
JWev,FALSE,Academy of Management Journal,2015
qQxw,FALSE,Academy of Management Journal,2015
3aew,FALSE,Academy of Management Journal,2015
by2J,FALSE,Academy of Management Journal,2015
NYxE,FALSE,Academy of Management Journal,2015
19ZW,FALSE,Academy of Management Journal,2015
5Kvm,FALSE,Academy of Management Journal,2015
VYxm,FALSE,Academy of Management Journal,2015
Pbew,FALSE,Academy of Management Journal,2015
RY7p,FALSE,Academy of Management Journal,2015
xVwj,FALSE,Academy of Management Journal,2015
jQZg,FALSE,Academy of Management Journal,2015
WNLp,FALSE,Academy of Management Journal,2015
VYL1,FALSE,Academy of Management Journal,2015
QL7Q,FALSE,Academy of Management Journal,2015
zq3y,FALSE,Academy of Management Journal,2015
GdJz,FALSE,Academy of Management Journal,2015
2Rvk,FALSE,Academy of Management Journal,2015
71yP,FALSE,Academy of Management Journal,2015
71w2,FALSE,Academy of Management Journal,2015
BPxg,FALSE,Academy of Management Journal,2015
lpYW,FALSE,Academy of Management Journal,2015
K97x,FALSE,Academy of Management Journal,2015
rmab,FALSE,Academy of Management Journal,2015
8ry7,FALSE,Academy of Management Journal,2015
qQlw,FALSE,Academy of Management Journal,2015
WNLN,FALSE,Academy of Management Journal,2015
epZ9,FALSE,Academy of Management Journal,2015
EAJy,FALSE,Academy of Management Journal,2015
wBZd,FALSE,Academy of Management Journal,2015
VYDm,FALSE,Academy of Management Journal,2015
OeDL,FALSE,Academy of Management Journal,2015
5Kmx,FALSE,Academy of Management Journal,2015
a4YO,FALSE,Academy of Management Journal,2015
AEG9,FALSE,Academy of Management Journal,2015
JWbB,FALSE,Academy of Management Journal,2015
Pb8w,FALSE,Academy of Management Journal,2015
4rjq,FALSE,Academy of Management Journal,2015
9Kwl,FALSE,Academy of Management Journal,2015
mGZj,FALSE,Academy of Management Journal,2015
Y8LK,FALSE,Academy of Management Journal,2015
AEDN,FALSE,Academy of Management Journal,2015
EA0y,FALSE,Academy of Management Journal,2015
OeyL,FALSE,Academy of Management Journal,2015
bykJ,FALSE,Academy of Management Journal,2015
DVgy,FALSE,Academy of Management Journal,2015
AExN,FALSE,Academy of Management Journal,2015
lpDv,FALSE,Academy of Management Journal,2016
dxbl,FALSE,Academy of Management Journal,2016
5K4B,FALSE,Academy of Management Journal,2016
mGxj,FALSE,Academy of Management Journal,2016
jQbb,FALSE,Academy of Management Journal,2016
xV2A,FALSE,Academy of Management Journal,2016
LRDR,FALSE,Academy of Management Journal,2016
Gd8z,FALSE,Academy of Management Journal,2016
LRxd,FALSE,Academy of Management Journal,2016
gpk9,FALSE,Academy of Management Journal,2016
epQW,FALSE,Academy of Management Journal,2016
EAvZ,FALSE,Academy of Management Journal,2016
0WV1,FALSE,Academy of Management Journal,2016
rmGb,FALSE,Academy of Management Journal,2016
lpmW,FALSE,Academy of Management Journal,2016
RYaN,FALSE,Academy of Management Journal,2016
QLmQ,FALSE,Academy of Management Journal,2016
XY8p,FALSE,Academy of Management Journal,2016
pGl4,FALSE,Academy of Management Journal,2016
vPlG,FALSE,Academy of Management Journal,2016
JWNJ,FALSE,Academy of Management Journal,2016
gpvg,FALSE,Academy of Management Journal,2016
qQGZ,FALSE,Academy of Management Journal,2016
VYkm,FALSE,Academy of Management Journal,2016
kQkG,FALSE,Academy of Management Journal,2016
JWrv,FALSE,Academy of Management Journal,2016
4r5v,FALSE,Academy of Management Journal,2016
Z8x9,FALSE,Academy of Management Journal,2016
a4GD,FALSE,Academy of Management Journal,2016
RYgN,FALSE,Academy of Management Journal,2016
wBld,FALSE,Academy of Management Journal,2016
yA3w,FALSE,Academy of Management Journal,2016
Oe43,FALSE,Academy of Management Journal,2016
2RZ4,FALSE,Academy of Management Journal,2016
9KRZ,FALSE,Academy of Management Journal,2016
0W1l,FALSE,Academy of Management Journal,2016
jQDg,FALSE,Academy of Management Journal,2016
vP1w,FALSE,Academy of Management Journal,2016
DV8R,FALSE,Academy of Management Journal,2016
kQx2,FALSE,Academy of Management Journal,2016
Y8NN,FALSE,Academy of Management Journal,2016
a4AR,FALSE,Academy of Management Journal,2016
RYjp,FALSE,Academy of Management Journal,2016
71RZ,FALSE,Academy of Management Journal,2016
pGx3,FALSE,Academy of Management Journal,2016
9KXY,FALSE,Academy of Management Journal,2016
DVGy,FALSE,Academy of Management Journal,2016
2R9g,FALSE,Academy of Management Journal,2016
Z8E7,FALSE,Academy of Management Journal,2016
K9Dx,FALSE,Academy of Management Journal,2016
dx9e,FALSE,Academy of Management Journal,2017
XYkw,FALSE,Academy of Management Journal,2017
9Kam,FALSE,Academy of Management Journal,2017
AERO,FALSE,Academy of Management Journal,2017
BP9K,FALSE,Academy of Management Journal,2017
yAJm,FALSE,Academy of Management Journal,2017
OeK3,FALSE,Academy of Management Journal,2017
xV3A,FALSE,Academy of Management Journal,2017
9K7m,FALSE,Academy of Management Journal,2017
OeWm,FALSE,Academy of Management Journal,2017
NY2j,FALSE,Academy of Management Journal,2017
4rWv,FALSE,Academy of Management Journal,2017
K9je,FALSE,Academy of Management Journal,2017
jQA4,FALSE,Academy of Management Journal,2017
9K7Z,FALSE,Academy of Management Journal,2017
VY15,FALSE,Academy of Management Journal,2017
LRNd,FALSE,Academy of Management Journal,2017
yANO,FALSE,Academy of Management Journal,2017
xVpL,FALSE,Academy of Management Journal,2017
EANZ,FALSE,Academy of Management Journal,2017
EAQZ,FALSE,Academy of Management Journal,2017
JWx2,FALSE,Academy of Management Journal,2017
mGlR,FALSE,Academy of Management Journal,2017
BPRE,FALSE,Academy of Management Journal,2017
3aRa,FALSE,Academy of Management Journal,2017
OeKm,FALSE,Academy of Management Journal,2017
71DZ,FALSE,Academy of Management Journal,2017
QLgG,FALSE,Academy of Management Journal,2017
WNyV,FALSE,Academy of Management Journal,2017
byqX,FALSE,Academy of Management Journal,2017
wBDW,FALSE,Academy of Management Journal,2017
zqN1,FALSE,Academy of Management Journal,2017
RYbN,FALSE,Academy of Management Journal,2017
EAQX,FALSE,Academy of Management Journal,2017
epLK,FALSE,Academy of Management Journal,2017
kQvG,FALSE,Academy of Management Journal,2017
2RDg,FALSE,Academy of Management Journal,2017
Z84L,FALSE,Academy of Management Journal,2017
19bE,FALSE,Academy of Management Journal,2017
mGJb,FALSE,Academy of Management Journal,2017
gp99,FALSE,Academy of Management Journal,2017
qQpZ,FALSE,Academy of Management Journal,2017
0W41,FALSE,Academy of Management Journal,2017
vPpv,FALSE,Academy of Management Journal,2017
RYbX,FALSE,Academy of Management Journal,2017
jQ7b,FALSE,Academy of Management Journal,2017
lpBw,FALSE,Academy of Management Journal,2017
rmjr,FALSE,Academy of Management Journal,2017
VY1X,FALSE,Academy of Management Journal,2017
19dY,FALSE,Academy of Management Journal,2017
XYpw,FALSE,Academy of Management Journal,2018
QLNV,FALSE,Academy of Management Journal,2018
Z8vJ,FALSE,Academy of Management Journal,2018
BPQE,FALSE,Academy of Management Journal,2018
QLJq,FALSE,Academy of Management Journal,2018
qQjz,TRUE,Academy of Management Journal,2018
ep1K,FALSE,Academy of Management Journal,2018
4r8N,FALSE,Academy of Management Journal,2018
AEvX,FALSE,Academy of Management Journal,2018
Gd7r,FALSE,Academy of Management Journal,2018
5KrD,FALSE,Academy of Management Journal,2018
LRGz,FALSE,Academy of Management Journal,2018
Y8vQ,FALSE,Academy of Management Journal,2018
mGyL,FALSE,Academy of Management Journal,2018
byDk,FALSE,Academy of Management Journal,2018
0WAk,FALSE,Academy of Management Journal,2018
BPej,FALSE,Academy of Management Journal,2018
9Kjm,FALSE,Academy of Management Journal,2018
71JG,FALSE,Academy of Management Journal,2018
rm5E,FALSE,Academy of Management Journal,2018
Z8GL,FALSE,Academy of Management Journal,2018
AEvO,FALSE,Academy of Management Journal,2018
a4vB,FALSE,Academy of Management Journal,2018
5Krl,FALSE,Academy of Management Journal,2018
xVOb,FALSE,Academy of Management Journal,2018
OeJm,FALSE,Academy of Management Journal,2018
VY4p,FALSE,Academy of Management Journal,2018
lpye,FALSE,Academy of Management Journal,2018
19q7,FALSE,Academy of Management Journal,2018
Gd1D,FALSE,Academy of Management Journal,2018
DVK2,FALSE,Academy of Management Journal,2018
WNGe,FALSE,Academy of Management Journal,2018
5K1l,FALSE,Academy of Management Journal,2018
EAeP,FALSE,Academy of Management Journal,2018
dxvm,FALSE,Academy of Management Journal,2018
XYNr,FALSE,Academy of Management Journal,2018
19XE,FALSE,Academy of Management Journal,2018
jQ24,FALSE,Academy of Management Journal,2018
pGkW,FALSE,Academy of Management Journal,2018
VY45,FALSE,Academy of Management Journal,2018
JW79,FALSE,Academy of Management Journal,2018
qQ3z,FALSE,Academy of Management Journal,2018
JWG2,FALSE,Academy of Management Journal,2018
2R4Q,FALSE,Academy of Management Journal,2018
71l4,FALSE,Academy of Management Journal,2018
rmee,FALSE,Academy of Management Journal,2018
lpkw,FALSE,Academy of Management Journal,2018
9KjX,FALSE,Academy of Management Journal,2018
zq92,FALSE,Academy of Management Journal,2018
XR5w,FALSE,American Economic Journal: Applied Economics,2009
RqPX,FALSE,American Economic Journal: Applied Economics,2009
5A0D,FALSE,American Economic Journal: Applied Economics,2009
W9dV,FALSE,American Economic Journal: Applied Economics,2009
KQvk,FALSE,American Economic Journal: Applied Economics,2009
mAXR,FALSE,American Economic Journal: Applied Economics,2009
Lmvz,FALSE,American Economic Journal: Applied Economics,2009
qODj,FALSE,American Economic Journal: Applied Economics,2009
2PpQ,FALSE,American Economic Journal: Applied Economics,2009
1E0E,FALSE,American Economic Journal: Applied Economics,2009
xJbL,FALSE,American Economic Journal: Applied Economics,2009
dkye,FALSE,American Economic Journal: Applied Economics,2009
A1rO,FALSE,American Economic Journal: Applied Economics,2009
PVmb,FALSE,American Economic Journal: Applied Economics,2009
W9de,FALSE,American Economic Journal: Applied Economics,2009
OBmv,FALSE,American Economic Journal: Applied Economics,2009
Z2WL,FALSE,American Economic Journal: Applied Economics,2009
dkym,FALSE,American Economic Journal: Applied Economics,2009
9O0m,FALSE,American Economic Journal: Applied Economics,2009
y1EO,FALSE,American Economic Journal: Applied Economics,2009
ax1B,FALSE,American Economic Journal: Applied Economics,2009
YaOl,FALSE,American Economic Journal: Applied Economics,2009
kBr8,FALSE,American Economic Journal: Applied Economics,2009
RqP7,FALSE,American Economic Journal: Applied Economics,2009
7dzG,FALSE,American Economic Journal: Applied Economics,2009
VWq5,FALSE,American Economic Journal: Applied Economics,2009
9O0X,FALSE,American Economic Journal: Applied Economics,2009
5A0l,FALSE,American Economic Journal: Applied Economics,2009
JXm2,FALSE,American Economic Journal: Applied Economics,2009
OBmm,FALSE,American Economic Journal: Applied Economics,2009
QAEq,FALSE,American Economic Journal: Applied Economics,2009
850d,FALSE,American Economic Journal: Applied Economics,2009
B7mE,FALSE,American Economic Journal: Applied Economics,2009
ExmX,FALSE,American Economic Journal: Applied Economics,2009
qODz,FALSE,American Economic Journal: Applied Economics,2009
axjY,FALSE,American Economic Journal: Applied Economics,2010
A1rX,FALSE,American Economic Journal: Applied Economics,2010
3Bm7,FALSE,American Economic Journal: Applied Economics,2010
wKWL,FALSE,American Economic Journal: Applied Economics,2010
rWAE,FALSE,American Economic Journal: Applied Economics,2010
bLN8,FALSE,American Economic Journal: Applied Economics,2010
1Ee7,FALSE,American Economic Journal: Applied Economics,2010
xJ9b,FALSE,American Economic Journal: Applied Economics,2010
jPjJ,FALSE,American Economic Journal: Applied Economics,2010
B7mj,FALSE,American Economic Journal: Applied Economics,2010
0mp5,FALSE,American Economic Journal: Applied Economics,2010
LmA2,FALSE,American Economic Journal: Applied Economics,2010
Z2YJ,FALSE,American Economic Journal: Applied Economics,2010
NPdW,FALSE,American Economic Journal: Applied Economics,2010
7dj4,FALSE,American Economic Journal: Applied Economics,2010
gQGQ,FALSE,American Economic Journal: Applied Economics,2010
kBj4,FALSE,American Economic Journal: Applied Economics,2010
JXB9,FALSE,American Economic Journal: Applied Economics,2010
p5B0,FALSE,American Economic Journal: Applied Economics,2010
QAWV,FALSE,American Economic Journal: Applied Economics,2010
2PmR,FALSE,American Economic Journal: Applied Economics,2010
y1RR,FALSE,American Economic Journal: Applied Economics,2010
Rq97,FALSE,American Economic Journal: Applied Economics,2010
VWqp,FALSE,American Economic Journal: Applied Economics,2010
e8jq,FALSE,American Economic Journal: Applied Economics,2010
4VzN,FALSE,American Economic Journal: Applied Economics,2010
W9Je,FALSE,American Economic Journal: Applied Economics,2010
PVmK,FALSE,American Economic Journal: Applied Economics,2010
KQVW,FALSE,American Economic Journal: Applied Economics,2010
DyZY,FALSE,American Economic Journal: Applied Economics,2010
XR1r,FALSE,American Economic Journal: Applied Economics,2010
9OzX,FALSE,American Economic Journal: Applied Economics,2010
85mW,FALSE,American Economic Journal: Applied Economics,2010
mAjL,FALSE,American Economic Journal: Applied Economics,2010
z7a2,FALSE,American Economic Journal: Applied Economics,2010
Ya7Q,FALSE,American Economic Journal: Applied Economics,2010
v2OE,FALSE,American Economic Journal: Applied Economics,2010
lVje,FALSE,American Economic Journal: Applied Economics,2010
xe4k,FALSE,American Economic Review,2012
ExmP,FALSE,American Economic Journal: Applied Economics,2010
GZgr,FALSE,American Economic Journal: Applied Economics,2010
p5e0,FALSE,American Economic Journal: Applied Economics,2011
A1ZX,FALSE,American Economic Journal: Applied Economics,2011
xe4k,FALSE,American Economic Review,2012
z7r2,FALSE,American Economic Journal: Applied Economics,2011
0mL5,FALSE,American Economic Journal: Applied Economics,2011
bLe8,FALSE,American Economic Journal: Applied Economics,2011
4VkN,FALSE,American Economic Journal: Applied Economics,2011
y1rR,FALSE,American Economic Journal: Applied Economics,2011
wKrL,FALSE,American Economic Journal: Applied Economics,2011
NPQW,FALSE,American Economic Journal: Applied Economics,2011
rWrE,FALSE,American Economic Journal: Applied Economics,2011
3Bk7,FALSE,American Economic Journal: Applied Economics,2011
qOVj,FALSE,American Economic Journal: Applied Economics,2011
kBe4,FALSE,American Economic Journal: Applied Economics,2011
xJrb,FALSE,American Economic Journal: Applied Economics,2011
XRer,FALSE,American Economic Journal: Applied Economics,2011
854W,FALSE,American Economic Journal: Applied Economics,2011
VWKp,FALSE,American Economic Journal: Applied Economics,2011
